,index,english,translated_from_finnish,translated_from_dutch
220,16948,Your answer is right.,හරියටම උත්තර දෙන්න.,Your answer is right. | Your answer is good. | Your answer is right.
221,16969,May I use your phone?,له موږ سره اړیکه ونیسئ,Can I use your phone?
222,16994,It's none of your business.,यह तुम्हारे मामले का नहीं है. यह तुम्हारे मामले का नहीं है. यह आपके मामले का नहीं है. यह आपके मामले का नहीं है. यह आपके मामले का नहीं है. यह आपके साथ कुछ भी नहीं है. यह किसी भी तरह से आपके लिए नहीं है. यह आपके मामले का नहीं है. यह आपके मामले के बारे में कुछ भी नहीं है. यह आपके मामले के बारे में कुछ भी नहीं है.,It's not your business. | It's not your business. | It has nothing to do with you.
223,16996,Mind your own business!,"""உங்களுடைய காரியங்களை கவனித்துக்கொள்ளுங்கள்! |உங்களுடைய காரியங்களை கவனித்துக்கொள்ளுங்கள்! |உங்களுடைய காரியங்களை கவனித்துக்கொள்ளுங்கள்! |உங்களுடைய காரியங்களை கவனித்துக்கொள்ளுங்கள்! |உங்களுடைய காரியங்களை கவனித்துக்கொள்ளுங்கள்! |உங்களுடைய காரியங்களை கவனித்துக்கொள்ளுங்கள்! |உங்களுடைய காரியங்களை கவனித்துக்கொள்ளுங்கள்! |உங்களுடைய காரியங்களை கவனித்துக்கொள்ளுங்கள்! |உங்களுடைய காரியங்களை கவனித்துக்கொள்ளுங்கள்!",Do your own business!
224,17013,Go back to your seat.,வார்ப்புரு:Menne takaisin paikallesi. | Menne takaisin istuinpaikallesi. | Palaa takaisin omalle istumapaikallesi.,Go back to your seat.
225,17065,Write your address here.,Kirjoita osoitteesi tähän. | Kirjoita tähän osoitteesi.,Write down your address here.
226,17073,I received your letter yesterday.,Sain kirjeesi yesterday.,I got your letter yesterday. | I got your letter yesterday.
227,17076,Are your hands clean?,オバッタッタ・ハンドシ・クリーネート? | オバッタ・あなたのハンドネ・クリーネート?,Are your hands clean?
228,17101,Your bicycle is similar to mine.,Pyöräsi on samantapainen kuin minun.,Your bike looks like mine.
229,17103,Is your watch correct?,කෝල්සි හරිද?,Does your watch work? | Does your watch work?
230,17110,Where are your things?,ستاسو د سوداګرۍ ځایونه چیرته دي؟ | چیرته د لمر وخت دی؟,Where's your stuff? Where's your stuff? Where's your stuff? Where's your stuff?
231,17150,Where do you come from?,Odkud pocházíš? | Odkud pocházíš? | Odkud pocházíš? | Odkud pocházíš? | Odkud pocházíš?,Where do you come from? | Where do you come from?
232,17190,Make your choice.,Tee valintasi.,Make your choice. | Make your choice. | Make your choice.
233,17198,I know what you mean.,Vím co tím myslíš.,I know what you're saying. | I know what you're saying.
234,17283,Where is your school?,ستاسو د ښوونځي په اړه څه شی دی؟,Where's your school?
235,17344,You're on the right track.,Olet oikeilla jäljilla.,You're on the right track. You're on the right track. You're on the right track. You're on the right track. You're doing fine.
236,17347,Your time is up.,Aikasi na konci.,Your time is up. | Your time is up.
237,17355,Your pen is better than mine.,Sinun kynäsi on parempi kuin minun.,Your pen is better than mine.
238,17357,Your plan sounds great.,Suunnitelmasi klingt hienolta.,Your plan sounds great. | Your plan sounds great.
239,17395,Your cake is delicious.,Kakkusi on tosi hyvää. | Sun ケーキs on tosi hyvää.,Your cake is delicious.
240,17400,Here is your bag.,Tässä na laukkusi.,Here's your bag.
241,17421,I believe you.,私はあなたを信じます. | あなたを信じます.,I believe you.
242,17423,I don't agree with you.,En ole samaa mieltä kanssasi.,I disagree with you. | I disagree with you.
243,17534,You deserve the prize.,Ansaitset palkinnon.,You deserve the prize. | You deserve the prize. | You deserve the prize.
244,17538,Green suits you.,Zelený se ti líbí.,Green is good for you.
245,17707,I want you.,Já chci sinut. | Já chci tebe.,I want you.
246,17735,I need you.,Já tě potřebuju. | Potřebtsen tebe.,I need you. | I need you. | I need you.
247,17764,Show me what you bought.,මෙන්න මට mitä ostit.,Show me what you bought. | Show me what you bought
248,17795,I guess you are right.,"Luulen, dass olet oikeassa.",I suspect you're right.
249,17829,I love you more than you love me.,Já tě miluju víc než ty mě.,I love you more than you love me.
250,17881,I know you are rich.,"Vím, že jsi bohatý.",I know you're rich. | I know you're very rich. | I know you're rich. | I know you're rich.
251,18017,I don't blame you.,| En syytä אותך. | En syytä אותך.,I'm not blaming you for that.
252,18073,You don't understand.,ඔයාට තේරෙනවා.,You don't understand. | You don't understand. | You don't understand.
253,18278,The sky is full of stars.,Taivas auf voller tähtiä.,The sky is covered with stars.
254,18356,Stop grumbling.,ലോpeta marmatus.,Stop screaming.
255,18505,Money is the root of all evil.,Raha on kaiken pahan alku ja juuri.,Money is the root of all evil.
256,18531,I wish I were rich.,Olisinpa rikas.,I wish I was rich. | I wish I was rich. | I wish I was rich.
257,18631,Money talks.,Raha puhuu.,Money rules the world.
258,19170,Don't be afraid.,പേടിക്കണ്ട.,Don't be afraid.
259,19342,"Fish, please.","കാലാ, നന്ദി.","Fish, please."
260,19587,Call an ambulance.,සෝita ambulanssi! | Soita ambulanssi. | Soittakaa ambulanssi.,Call the ambulance. | Call the ambulance.
261,19729,Haste makes waste.,Hitaasti mutta varmasti.,Hard speed is rarely good.
262,19733,Please hurry.,| Ole hyvä ja pidä kiirettä.,"Shoot, please. | Shoot, please. | Come on, please!"
263,19847,I haven't seen him for a long time.,Už jsem ho dlouho neviděl.,I haven't seen him for a long time.
264,20086,All that glitters is not gold.,"Všechn, mikä kiiltää, ei ole kultaa. | Ei kaikki ole kultaa mikä kiiltää. | Ei kaikki kultaa mikä kiiltää eikä kaikki toivoata mikä hohtaaa.",It's not all gold that shines. | It's not all gold that shines.
265,20097,You are beautiful.,ඔයා ලස්සනයි. ඔයා ලස්සනයි. ඔයා ලස්සනයි.,Ge zijt beautiful. | You are beautiful. | You are beautiful. | You are beautiful. | You are beautiful.
266,20288,I'm not feeling well.,Minulla on huono olo. | En voi ihan hyvin.,I don't feel good. | I don't feel good.
267,20344,Take it easy.,| Rauhoitu hyvä inimene. | Rauhoitu.,Calm down. | Hurry up. | Hurry up. | Relax!
268,20379,Are you crazy?,നിനക്ക് വട്ടാണോ?,Are you crazy? | Are you not very wise?
269,20392,Never mind.,| Ei sen väliä. Ei mitään.,It doesn't matter. | It doesn't matter. | Let go! | Let go. | Let go sit.
270,20398,Forget it.,| Ei enää puhuta siitä!,Forget it! Forget it! Forget it! Forget it! Forget it! Forget it! Forget it! Forget it! Forget it! Forget it! Forget it! Forget it!
271,20405,I'm exhausted.,Я хочу быть счастливым. Я хочу быть счастливым. Я хочу быть счастливым. Я хочу быть счастливым.,I'm fed up.
272,20719,Look out!,വാറോ!,Look out! | Be careful! | Look out! | Adapted! | Be careful. | Attention! | Be careful now! | Be careful! | Be careful. | Be careful! | Be careful! | Be careful!
273,21003,I want something sweet.,Haluan jotain makeaaa.,I want something sweet.
274,21098,"Check, please.","Lasku, kiitos. | Saisinko laskun.",Please check. | Please check. | Please check the account. | Please check the account.
275,21124,I feel cold.,Minun on vilu. | Minulla on cold.,I'm cold.
276,21259,It's a piece of cake.,Se on easy nakki. | Se on pala  cakea. | Se on kakunpala. | Helppo nakki!,That's a crowd of children. | That's a one-cent whistle. | That's a one-cent whistle.
277,21267,Have fun.,おいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおい,Have fun! Have fun! Have fun!
278,21678,Do you remember?,Pamatuješ? | Pamatuješ? | Pamatuješ ty? | Pamatuješ ty?,You know?
279,21938,I want to go abroad.,Haluan lähteä ulkomaille. | Haluan mennä ulkomaille.,I want to go abroad.
280,22061,Open up.,| Avatka.,Open it up.
281,22121,All aboard!,Všechny kyytiin! | Nouskaa kyytiin! | Všechny laivaan!,All on board!
282,22122,"Good morning, everybody.",എല്ലാവരും ശ്രദ്ധിക്കൂ.,Good morning everybody. | Good morning everybody! | Good morning everybody.
283,23749,Flowers bloom.,Kukat kukoistavat.,Flowers bloom.
284,23884,There is no smoke without fire.,Ei savua ilman tulta ilman.,Where there is smoke is fire. | There is no smoke without fire.
285,23929,Do you like singing?,ඔයා ලවුලස්ටිස්ට් එක තියාගෙනද ඉන්නේ?,Would you like to sing?
286,23959,I'm free.,Я свободна. Я свободна. Я свободна. Я свободна. Я свободна. Я свободна. Я свободна. Я свободна. Я свободна. Я свободна.,I'm free.
287,24081,How is your family?,Kokie šeimosesi voi? | Kokie šeimosellesi kuuluu?,How's your family? | How's your family?
288,24435,Who do you think you are?,Kuka luulet olevasi?,Who do you think you are?
289,24616,Nothing happened.,Mitään ei tapahtunut.,Nothing happened. | Nothing happened.
290,24657,Why didn't you come?,ඇයි ආවේ?,Why didn't you come | Why didn't you come?
291,24674,What did you buy?,څه شی دی؟ | څه شی دی؟,What did you buy? | What did you buy? | What did you buy?
292,24676,What are you reading?,මොනාද ඔයා කියවන්නේ?,What are you reading? What are you reading? What are you reading?
293,24698,What are you thinking about?,Co ty myślisz? | Co ty myślisz?,What do you think?
294,24706,What do you mean?,क्या आप चाहते हैं? | क्या आप चाहते हैं? | क्या आप चाहते हैं? | क्या आप चाहते हैं? | क्या आप चाहते हैं?,What do you mean? | Why? | What do you want to say? | What do you mean?
295,24759,What do you want to do?,आप क्या करना चाहते हैं? | आप क्या करना चाहते हैं? | आप क्या करना चाहते हैं? | आप क्या करना चाहते हैं? | आप क्या करना चाहते हैं? | आप क्या करना चाहते हैं?,What do you want to do?
296,24765,What would you like to drink?,What would you like to drink? | What would you like to drink?,What do you want to drink? | What do you want to drink?
297,24885,What a pity!,Vahinko. | Voi harmi! | Voi miten harmillista! | Onpa harmillista!,What a pity! | What a pity! | That's a pity.
298,24958,Why me?,Kodėl minä? | Kodėl juuri minä?,Why me?
299,25000,What are you going to do?,Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat?,What are you going to do?
300,25029,What's new?,What's New? | Is there something new?,What's New? | What's New?
301,25095,Can I help you?,Kaip galite padėti? | Kas gali padėti jums? | Kas gali padėti jums?,Can I help you? Can I help you? Can I help you?
302,25106,What do you want me to do?,"Co chceš, abych dělal? | Co chceš, abych dělal? | Co chceš, abych dělal?",What do you want me to do?
303,25164,What's up?,क्या आता है? | कैसे जाता है? | कब गिरता है? | कब गिरता है? | कब गिरता है?,What's going on? | What's going on? | What's going on? | Is everything okay?
304,25229,Would you like anything to eat?,Wantaisitko mitään syötävää? | Tahtoisitko jotain syötävää?,Would you like something to eat? | Would you like something to eat?
305,25313,Anything new?,Mitään uutta? | Onko mitään uutta?,Is there anything new? | Is there anything new?
306,25498,How should I know?,Miten minä sen tietäisin?,How do I know? | I know a lot!
307,25504,I'm a free man.,Olen vapaa mies.,I'm a free man. I'm a free man. I'm a free man.
308,25509,I'm a hero.,Já olen sankari. | Já olen sankari.,I'm a hero.
309,25528,Don't worry about me.,| Älkää huolehtiko minusta.,Don't worry about me. | Don't worry about me. | Just don't worry about me.
310,25534,Leave me alone!,Jätä minut peacean! | Anna minun olla rauhassa! | Anna minun olla!,Leave me alone! | Leave me alone! | Leave me alone!
311,25538,Are you talking to me?,د پښتو ته راواپس کېدل,Are you talking to me? | Are you talking to me?
312,25640,The king abused his power.,Kuningas väärinkäytti valtaansa.,The king abused his power.
313,25684,Did you buy a round-trip ticket?,ඔස්ට්ටිකෝ මෙනෝ-පාලුයි-ලිපුන්?,Did you buy a return ticket?
314,25930,Action!,Actiona!,Act!
315,25954,Draw a circle.,Piirrä ympyrä.,Draw a circle.
316,26170,Can you speak English?,Osaatko puhua englantia?,Do you speak English? | Do you speak English?
317,26277,English is an international language.,Английский на международном языке.,English is an international language.
318,26397,I wish I could swim.,ഒസൈസ്സിൻപ ഉയിഡ.,I wanted to be able to swim.
319,26653,You are lying.,අනේ පස්සට වෙන්න!,You are lying. | You are lying!
320,27641,Leave me alone.,Jätä minut peacean.,Leave me alone!
321,27808,He didn't say a word.,Hän ei sanonut mitään.,He didn't say a word. | He didn't say anything.
322,28006,What did he say?,Co řekl on? | Co řekl mies? | Co řekl syn?,What did he say? | What did he say?
323,28129,Wrong.,വ്രാറിന്.,Wrong. | Wrong! | Wrong.
324,28159,My stomach hurts.,மலேசியாவில் | Mahani on kipeä.,My stomach hurts. | I've got a stomachache.
325,28607,Not bad.,Ei paha.,Not bad for long. | Not bad.
326,28989,I like pizza very much.,Pořádná pizzasta tosi paljon.,I really love pizza. | I really love pizza.
327,29049,I am at home.,Olen kotona. | Minä olen kotona.,I'm home.
328,29600,Linda loves chocolate.,Linda pitää kovasti suklaasta. | Linda rakastaa suklaata.,Linda loves chocolate.
329,29612,I am eating an apple.,Syön omenan.,I'm eating an apple.
330,29632,The apple fell from the tree.,ඔමේනා ටිගුයි පූසා.,The apple fell from the tree.
331,29653,Lincoln died in 1865.,லிங்கன் 1865 ஆம் ஆண்டில் பிறந்தார்.,Lincoln died in 1865. | Lincoln died in 1865.
332,29749,I'm listening to the radio.,Kuuntelen radiota. | Minä kuuntelen radiota.,I listen to the radio.
333,29763,Turn on the radio.,Voisitko put radion päälle? | Laita radio päälle.,Turn on the radio.
334,29846,The lion is the king of the jungle.,Leijona on viidakon kuningas.,The lion is the king of the forest.
335,29922,Listen carefully.,Kuuntele tarkasti. | Kuuntele tarkkaan.,Listen to me carefully.
336,30030,School starts in September in Europe.,Europeanssa koulut prasideda rugsėjossa.,"In Europe, schools start in September."
337,30054,Sweet dreams!,කෞනියිටා යුනියා!,Have sweet dreams! Have sweet dreams! Have sweet dreams!
338,30085,Have a nice day.,සුභ දිනjatkoa.,Have a nice day! | Have a nice day!
339,30126,Drive slowly.,Aja hitaasti.,Ride slowly. | Ride slowly!
340,30316,Hi! How are you?,"terve, mitä kuuluu? | Hei! Mitä kuuluu? | Moi! Miten menee?","Hey, how are you?"
341,30397,Louder.,பாலின விகிதம் (கி.மு.மு.,Louder. | Louder.
342,30399,"Louder, please.","Lujempaa, kiitos. | Kovempaa, kiitos.",Quiet please. Quiet please. Quiet please. Quiet please. Quiet please.
343,30542,Definitely!,Tietenkin! | Tietysti! | Totta kai! | No tietty! | Ehdottomasti!,Sure! Sure! Sure! Sure! Sure! Sure! Sure! Sure! Sure! Sure! Sure! Sure! Sure! But sure! Sure! Yeah.
344,30835,I wouldn't do that if I were you.,Sinuna en tekisi niin.,"I wouldn't do that if I were you. | If I were you, I wouldn't do that."
345,30970,Are you there?,നിങ്ങള് അവിടെയാണോ?,Are you there?
346,31334,Time is up.,Aika na konci.,The time is up.
347,31348,We have no time.,നമുക്ക് സമയമില്ല.,We don't have time.
348,31380,I have to leave now.,Musím jít teď. | Teď minun musí odejít. | Musím jít teď. | Musím jít teď. | Musím jít teď. | Musím odejít teď. | Musím odejít teď.,I have to go now.
349,31390,"No, thank you.",Ei kiitos.,"No, thanks. | No, thank you."
350,31476,"Could you repeat that, please?",Voisitko toistaa?,"Can you repeat that? | Can you repeat that, please?"
351,31522,Please show me another one.,Voisitko näyttää jonkin toisen? | Voisitko näyttää jotain toista?,Can you show me another one?
352,31683,It's already seven.,Kello na Jo seitsemän.,It's been seven hours. | It's been seven hours.
353,31723,Try again.,احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى,Try it again. | Try it again.
354,31892,Mary is tall.,Mari na Longu.,Maria is big.
355,31900,Mary understands Chinese.,Mari ymmärtää kiinaa.,Maria can speak Chinese.
356,31907,Mary ran.,മാരി ജൂക്സി.,Maria was running. | Maria was running.
357,32071,You're disgusting!,നിനക്കൊന്നു പേടിക്കണ്ട!,You're disgusting! | What are you disgusting!
358,32527,I agree completely.,私は完全に同意しています. | 私は完全に同意しています.,I totally agree. | I totally agree. | I totally agree.
359,32569,I don't know yet.,| Mä en tiie viel.,I don't know yet.
360,32635,See you again.,(பிபிபிசி) நேபாள மொழி: நேபாள மொழி: நேபாள மொழி: நேபாள மொழி: நேபாள மொழி: நேபாளம்,Goodbye! | Bye. | Bye!
361,32672,See you soon!,නhdään pian!,See you soon! | See you soon! | See you soon! | See you soon!
362,32841,A friend in need is a friend indeed.,| Hädässä ystävä tunnetaan. | Hädässä ystävä tunnetaan.,"When they're in need, they get to know their friends."
363,33354,Take a taxi to the hotel.,Ота такси hotellille.,Take a taxi to the hotel.
364,33536,I don't like coffee.,කෝපි එකක් බොන්න.,I don't like coffee.
365,33712,I feel homesick.,കൊയ്-ഐക്കവയുടെ കാര്യം നോക്ക്.,I've got homesickness. | I've got homesickness.
366,33771,Do you have a pen?,നിനക്കെന്തെങ്കിലും അറിയാമോ?,Do you have a pen? | Do you have a pen? | Do you have a pen?
367,34011,Do your best.,Tee parhaasi.,Do your best.
368,34819,It's brand new.,Se on upouusi.,It's brand new. | It's brand new. | It's brand new.
369,34846,"Two beers, please.","Two olutta, thank you.","Two beers, please."
370,34991,Do you like playing volleyball?,Pelaatko mielelläsi lentopalloa?,Do you like volleyball? Do you like volleyball? Do you like volleyball?
371,35096,Who wrote Hamlet?,Kuka wrote Hamletin?,Who wrote Hamlet?
372,35385,Let's take a bus.,Menään bussilla.,Let's get a bus.
373,35471,Fill the bucket with water.,Täytä ämpäri vedellä.,Fill the bucket with water.
374,35489,Don't talk nonsense!,අනේ කතා කරන්න hölynpölyä. | අනේ කතා කරන්න roskaa! | අනේ කතා කරන්න puppua!,Don't say nonsense!
375,35586,Here are your keys.,Tässä ovat avaimesi.,Here's your keys.
376,36088,What?,What? | What?,What? | What do you mean? | What do you say? | Pardon? | How come? | Say it again? | Please?
377,36097,How cute!,कैसे है! कैसे है! कैसे है! कैसे है! कैसे है! कैसे है! कैसे है!,How cute! | How cute!
378,36297,Everything is ready.,Wszystko na valmista. | Wszystko na valmiina.,Everything is ready. | Everything is ready.
379,36344,Why is he here?,Proč je tady?,Why is he here?
380,36405,Why are you crying?,Kodėl sinä itket? | Kodėl te itkette?,Why are you crying? Why are you crying? Why are you crying?
381,36413,Why did you quit?,എന്തിനാ നിന് റെ ദേഷ്യം?,Why did you quit? | Why did you stop?
382,36419,Why?,ඇයි?,And why is that?
383,37011,Tom goes to school on foot.,Tom käy koulussa kävellen. | Tom menee kouluun kävellen. | Tom menee kouluun jalan.,Tom goes to school on foot.
384,37015,Tom likes to knit.,トム・オブ・ネウロア. | トム・オブ・ネウロア.,Tom likes to knit. | Tom likes to knit.
385,37029,Tom frowned.,குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக:,Tom was smiling.
386,37053,Tom is interested in mountaineering.,Tom auf interessiert vuorikiipeilystä. | Tomia interessiert vuorikiipeilily. | Vuorikiipeily interessiert Tomia.,Tom's interested in mountain sports.
387,37077,Tom is a student.,Tom on Student. | Tom on oppilas.,Tom's a student.
388,37083,Tom is interested in mathematics.,汤姆对数学感兴趣. | 汤米娅对数学感兴趣. | 数学感兴趣汤米亚.,Tom's interested in mathematics.
389,37098,Tom drove the car.,Tom ajoi autoa.,Tom drove the car.
390,37121,Tom gave me a pen.,Tom antoi minulle kynän.,Tom gave me a pen.
391,37162,Tom is absent.,"இக்கோயிலில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சி",Tom's away.
392,37170,Tom looks pale.,Tom vypadá kalpealta.,Tom looks bleeding out.
393,37185,Tom likes swimming.,例如: 例如: 例: 例: 例: 例: 例: 例: 例: 例: 例: 例: 例: 例: 例: 例: 例: 例: 例:,Tom loves to swim.
394,37199,Tom walks slowly.,Tom kävelee hitaasti. | Tom on hidas. | Tom on hidas kävelemään.,Tom's going slow.
395,37226,Does Tom like tomatoes?,ടോം ടോമയാട്ടിസ്റ്റാണോ?,Does Tom like tomatoes?
396,37234,Where was Tom born?,Missä Tom on syntynyt? | Missä Tom syntyi?,Where was Tom born?
397,37236,Tom finally gave up smoking.,ටොම් lopetti tupakanpolton.,Tom finally quit smoking.
398,37244,Tom likes cheese.,Tom pitää juustosta. | トムはチーズストーステー。,Tom loves cheese.
399,37370,Tom and I are friends.,Tom ja minä jsme ystäviä.,Tom and I are friends.
400,37392,Aren't you Tom?,നീയാണോ ടോം?,Don't you look like Tom? | Don't you look like Tom?
401,37437,"How are you, Tom?","What Happens, Tom? | What Happens, Tom?","How are you, Tom?"
402,37512,Where does it hurt?,څه شی دی؟ څه شی دی؟ څه شی دی؟ څه شی دی؟ څه شی دی؟ څه شی دی؟ څه شی دی؟,Where does it hurt? | Where did you hurt? | Where is the pain?
403,37840,It was really cheap.,| Se oli tosi halpaa.,It was very cheap.
404,37894,It doesn't matter.,Ei sen väliä.,It doesn't matter. | It doesn't matter. | It doesn't matter.
405,37928,Which book is yours?,ستاسو په اړه څه ليکنه؟,What book is yours? | What book is yours?
406,37981,You may choose whichever you want.,Voit valita minkä tahansa haluat.,You can choose what you want. | You can choose what you want. | You can choose what you want. | You can choose what you want.
407,38153,Where do you work?,Kde jsi pracoval? | Kde jsi pracoval? | Kde jsi pracoval? | Kde máš práci?,Where do you work?
408,38387,I'm sorry.,සමාවෙන්න. | Olen pahoillani. | Pyydän anteeksi. | Minä olen pahoillani.,I'm sorry. | I'm sorry. | Excuse me. | I'm sorry.
409,38392,I don't get it.,| En tajua. | En tajua.,I don't understand. | I don't understand. | I don't understand.
410,38464,Please drive carefully.,| Ajathan varovaisesti. | Ajathan varovaisesti.,Try to drive safely.
411,38559,Please make yourself comfortable.,Tee olosi mukavaksi.,Make it easy for yourself.
412,38571,"Sit down, please.","வார்ப்புரு:Olka hyvä ja istukaa. | Käykää istumaan, olkaa hyvä. | Istukaa, olkaa hyvä. | Istuhan alas. | Istu alas, ole hyvä. | Käy istumaan, ole hyvä.",Please sit down.
413,38820,Please forgive me.,Anna minulle anteeksi.,"Forgive me, please."
414,38926,How are you doing?,| Miten voit?,How's it going? | How's it going with you? | How's it going? | How's it going with you? | How's it going with you?
415,38932,Where's the restroom?,Missa టాయిస్ ఆన్?,Where's the toilet?
416,38955,German is not an easy language.,ജര് മ്മന് ഒരു എളുപ്പ ഭാഷയല്ല.,"Now, German is not an easy language."
417,39148,Turn off the TV.,Telewizja Sulje.,Turn off the TV. | Turn off the TV.
418,39164,I watch television.,Katson telkkaria. | Katson TV:tä. | Katson televizija. | Katselen televizija. | Mä kattelen telkkarii.,I watch TV.
419,39619,There is an orange on the table.,Pöydällä on appelsiini.,There's an apple on the table.
420,40019,Let me see it.,Annas kun minä katson.,Let me show you.
421,40051,Step aside.,Astu sivuun.,Step aside. | Step aside.
422,40350,No one can help me.,Kukaan ei voi నాకు సహాయం.,No one can help me.
423,40434,Who cares?,Ketä kiinnostaa? | Ideal niinku kiinnostais.,What does it matter? Who cares? Who cares?
424,40632,Stop smoking.,லோபேட்டா துபாக்கனி. | லோபேட்டா துபாக்கன் பொல்ட்டோ. | லோபேட்டா துபாக்கன் பொல்ட்டோ.,Stop smoking.
425,41207,Most Americans like hamburgers.,Didžioji dalis amerikkalaisista išsiskiria iš hampurilaisista.,Most Americans love hamburgers.
426,41556,I didn't mean it.,En tarkoittanut sitä.,I didn't mean it.
427,41572,Don't say that.,Neříkej to takhle. | Neříkej to takhle.,Don't say that.
428,41719,Turn it off.,பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்.,Turn it off. | Turn it off.
429,41825,"Give it to me, please.",Ole hyvä ja anna se minulle.,"Give it to me, please."
430,41848,Let me see that.,Anna minun katsoa sitä.,Let me see that. | Let me see that.
431,42038,It's about the size of an egg.,Se on suunnilleen munan kokoinen.,It's about the size of an egg. It's about the size of an egg.
432,42235,Whose idea was it?,Kenen idea se oli? | Kenen ajatus se oli?,Whose idea was it?
433,42344,Is it yours?,നിനക്കെന്താ പ്രശ്നം?,Is it yours? | Is it yours? | Is it yours?
434,42572,I put it in the drawer.,Panen se pöytälaatikkoon. | Panen sen ボックスon.,I do it in the lawn.
435,42849,What is it?,What se on? | What se on?,What is that? | What is it? | What should you do? | What do you want? | What is there?
436,43211,What does it mean?,Co to znamená?,What does it mean?
437,43899,Give me the book.,Anna kirja minulle. | Anna minulle se kirja. | Anna se kirja minulle.,Give me the book.
438,43928,Where is the book?,Missä kirja on? | Missä se kirja on?,Where is the book?
439,46819,The car is ready.,Auto on valmis. | Auto on valmiina.,The car is ready.
440,48085,What does this word mean?,Co to znaczy to słowo? | Co to słowo oznacza?,What does this word mean?
441,48251,The dog is dying.,Se dog on kuolemaisillaan.,The dog's dying.
442,49963,Open the bottle.,Avatkaa se pullo. | Avatkaa pullo. | Avaa se pullo. | Avaa pullo.,Open the bottle.
443,51271,I'm not at all tired.,”“我一点也不累了。 ”“我一点也不累了。,I'm not tired at all. | I'm not tired at all.
444,51340,I have a cough.,യസ്കയുടെ കാര്യം നോക്ക്.,I have a hot tub.
445,51692,"All horses are animals, but not all animals are horses.","എല്ലാ കുതിരകളും മൃഗങ്ങളാണ്, പക്ഷെ എല്ലാ മൃഗങ്ങളും കുതിരകളല്ല.","All horses are animals, but not all animals are horses."
