,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
8883,23959,I'm free.,I've got a vacancy.,I'm free.,I am free. | I am free. | I am free man. | I am free woman. | I have nothing to do. | I have time. | I am free.,I am free. | I am available.,I am free.,I am free. | I am free. | I am free. | I am free.,They're free. | They're free. | They're free. | They're free.,I am free. | I am free. | My hands are empty. | There is time.,I am free.,I'm free. I'm free. I'm free. I'm free.,I am free.,I am empty.,I'm free. I'm free. I'm free. I'm free. I'm free.
9000,24081,How is your family?,Are all your family all right?,How's your family? | How's your family?,How can my family? | What does my family have?,How is your family? | How is your family? | How is your family?,How’s your family? | How’s your family? | How’s your family? | How’s your family?,How's your family? | How's your family? | How's your family?,What's your family like? | What's his family like? | What's your family like?,How are your families doing? | How are your families doing? | How are your families doing? | How are your families doing?,How does your family behave?,How is your family? | How does your family live?,How is your family?,How is your family? | How is it really?,How's your family doing? | How's your family doing? | How's your family doing?
9339,24435,Who do you think you are?,Who were you when?,Who do you think you are?,Who do you think you are?,For whom do you take you? | For whom do you take you? | For whom do you take you? | For whom do you take you?,Who do you really think you are? Who do you think you are? Who do you think you are?,Who do you think you are? | Why are you!?,Who do you think you are? Who do you think you are? Who do you think you are? Who do you think you are? Who do you think you are? Who do you think you are?,what do you think of yourself? what do you think of yourself?,Who do you think you are?,Who do you think you are? | Who do you admire? | Who do you admire? | Who do you admire? | Who do you accept for? | Who do you accept for? | Who do you accept for? | Who do you accept for?,What have you believed? | Who believes you? | Who believed you? | Who believes you to be? | Who thought you to be? | Who believes you to be? | Who thinks you to be? | Who thinks you to be? | Who believes you to be you?,Do you know who he is?,Who the hell are you?
9511,24616,Nothing happened.,Nothing happened.,Nothing happened. | Nothing happened.,Nothing happened.,Nothing has happened.,Nothing happened. | Nothing happened.,Nothing happened.,Nothing happened. Nothing happened. Nothing happened. Nothing happened.,nothing happened. nothing happened. nothing happened.,Nothing happened.,Nothing happened. | Nothing happened.,Nothing happened.,Nothing happened.,Nothing happened. | Nothing happened.
9546,24657,Why didn't you come?,Why didn't you come?,Why didn't you come | Why didn't you come?,Why did they come?,Why didn't you come? | Why didn't you come? | Why didn't you come?,Why didn't you come? | Why didn't you come? | Why didn't you come? | Why didn't you come?,Why didn't you come? | Why didn't you come?,Why didn't you come? Why didn't you come? Why didn't you come? Why didn't you come? Why didn't you come?,Why didn't you come? | Why didn't you come?,Why didn't you come?,Why didn't you come? Why didn't you come? Why didn't you come? Why didn't you come? Why didn't you come?,Why did you not come? | Why did you not come?,Why didn't you come?,Why didn't you come? | Why didn't you come? | Why didn't you come?
9561,24674,What did you buy?,What did you buy?,What did you buy? | What did you buy? | What did you buy?,What did you do? | What did you do?,What did you buy? | What did you buy?,What did you buy?,What did you buy? | What did you buy?,What did you buy? What did you buy? What did you buy? What did he buy? What did you buy? What did you buy? What did you buy? What did you buy? What did he buy? What did he buy?,What did you buy?| What did you buy?| What did you buy?,What did you buy? | What did you buy?,What did you buy? What did you buy? What did you buy? What did you buy? What did you buy? What did you buy? What did you buy?,What are you buying? | What have you bought?,What did you buy?,What did you buy? | What did you buy? | What did you buy? | What did you buy?
9563,24676,What are you reading?,What are you watching?What are you watching?What are you watching?,What are you reading? What are you reading? What are you reading?,What are you reading?,What did you read? | What did you read? | What did you read? | What did you read? | What did you read?,What did you read? | What did you read there? | What did you read?,What are you reading? | What are you reading?,What do you read? What do you read? What are you reading? What are you reading? What are you reading? What do you read? What do you read? What do you read?,What are you reading?What are you reading?,What do you read? | What do you read?,What are you reading? What are you reading? What are you reading? What are you reading? What are you reading?,What are you reading? | What are you reading?,What are you reading?,What do you read? | What do you read? | What do you read? | What do you read?
9583,24698,What are you thinking about?,What are you thinking?What are you thinking?,What do you think?,What do you think? | What do you think?,What do you think? | What do you think? | What do you think?,What do you think about? | What do you think about? | What do you think about? | What do you think about? | What do you think about?,What do you think?,What are you thinking? What are you thinking? What are you thinking?,What are you thinking?What are you thinking?What are you thinking?,What are you thinking?,What do you think? What do you think? What do you think? What do you think now?,What are you thinking? What are you thinking? What are you thinking? What are you thinking?,What do you think about it?,What are you thinking? | What are you thinking?
9588,24706,What do you mean?,What do you mean?What do you want to say?,What do you mean? | Why? | What do you want to say? | What do you mean?,What do you mean? What do you mean? What do you mean? What do you mean?,What do you mean? | What do you mean? | What do you mean? | What do you mean?,What do you mean? | What do you mean? | What do you mean?,What do you mean? What do you mean? What do you mean? What do you mean? What do you mean? What do you mean? What do you mean? What does it mean?,What do you mean? What do you mean? What do you mean? What does it mean? What do you mean?,What do you mean?What does it mean?What does it mean?What does it mean?,What do you mean? | What do you mean?,What do you mean? What do you mean? What do you mean? What do you mean? What do you mean? What do you mean?,What do you mean? | What do you want to say? | What do you want to say? | What do you want to say?,What do you mean?,"What do you mean, """" what's the story? """" ""What's the story?"""
9624,24759,What do you want to do?,What do you want to do?,What do you want to do?,What do you want to do? What do you want to do? What do you want to do? What do you want to do?,What do you want to do?,What do you want to do? | What do you want to do? | What do you want to do?,What do you want to do? | What do you want to do?,What do you want to do? What do you want to do? What do you want to do? What do you want to do? What do you want to do?,What do you want? What do you want? What do you want? What do you want? What do you want?,What do you want to do?,What are you going to do? What are you going to do? What are you going to do?,What do you want to do? | What do you want to do? | What do you want to do?,What do you want to do? What do you want to do? What do you want to do?,What do you want to do?
9629,24765,What would you like to drink?,What do you want to drink?What do you want to drink?What do you want to drink?,What do you want to drink? | What do you want to drink?,What would you like to drink? | What would you like to drink?,What do you want to drink?,What would you like to drink? | What would you like to drink? | What would you like to drink? | What would you like to drink?,What would you like to drink?,What would you like to drink? What would you like to drink? What would you like to drink? What would you like to drink? What would you like to drink?,What would you like to drink? | What would you like to drink? | What would you like to drink? | What would you like to drink? | What would you like to drink?,What would you like to drink? | What would you like to drink?,What would you like to drink? | What would you like to drink? | What would you like to drink? | What would you like to drink?,What do you want to drink?,What do you want to drink? | What do you want to drink?,What do you want to drink? | What do you want to drink? | What do you want to drink?
9732,24885,What a pity!,Too bad! Too bad! Too bad! Too bad! Too bad!,What a pity! | What a pity! | That's a pity.,Perhaps. | What a pity! | What a pity! | What a pity!,What a loss! | What a loss! | What a loss!,Shame. | What a shame!,How silly! | Silly...,What a shame! | Fuck. | Fuck!,What a pity! | What a pity! | What a pity...! | How cute! | What a pity!,What a pity...,Sad. | What a pity! | What a pity!,What a pity! | What a pity! | What a pity! | What a pity!,Write. | What a pity!,So sorry! | Sorry. | But sorry!
9795,24958,Why me?,Why me?,Why me?,Why me? | Why me?,Why me?,Why me?,Why me? | Why me?,Why me?,Why am I? | Why am I?,Why me?,Why me?,Why me?,Why me? | Why me? | Why me?,Why me? Why me? Why me?
9833,25000,What are you going to do?,What are you gonna do?,What are you going to do?,What are you going to do? What are you going to do? What are you going to do? What are you going to do?,What are you going to do?,What will you do? | What will you do? | What will you do?,What are you going to do?,What are you going to do? | What are you going to do?,what are you going to do? what are you going to do? what are you going to do?,What are you going to do?,What will you do? | What will you do?,What are you going to do?,What will you do? | What will you do? | What will you do?,What are you going to do?
9858,25029,What's new?,What's new?,What's New? | What's New?,What is new? | Is there anything new?,What's new? | What's new? | What's new?,What's New? | What's New?,What's new?,What's new?,Are there any changes? Are there any changes? Are there any changes? Are there any changes?,What's new?,What's new? | What's new?,What's new? | What do you tell me?,What's the latest situation?,What's new?
9915,25095,Can I help you?,Can I help you?,Can I help you? Can I help you? Can I help you?,How can I help? Can I help you? Can I help you?,Can I help you? | Can I help you? | Can I help you? | Can I help you?,Can I help you? | Can I help you? | Can I help you? | Can I help you? | Can I help you? | Can I help you?,Can I help you? Can I help you? Can I help you? Can I help you? Can I help you? Can I help you?,Can I help her? Can I help you? Can I help you? Can I help you? Can I help you? Can I help you? Can I help her?,Can I help you? | Can I help you? | Can I help you?,Can I help you? | Can I help you? | Can I help you?,Can I help you? Can I help you? Can I help you? Can I help you? Can I help you? Can I help you with something? Can I help you?,Can I help? | Can I help you? | Can I help them in something? | Can I help you in something? | Can I help you? | Can I help?,Can I help you? Can I help you? Can I help you?,Can I help you? | Can I help you? | Can I help you? | Can I help you?
9926,25106,What do you want me to do?,What do you want me to do?,What do you want me to do?,What do you want me to do? What do you want me to do? What do you want me to do?,What do you want me to do? | What do you want me to do? | What do you want me to do?,What should I do? | What do you want me to do? | What do you want me to do? | What do you want me to do?,What do you want me to do? | What do you want me to do?,What do you want me to do? What do you want me to do? What do you want me to do? What do you want me to do? What do you want me to do? What do you want me to do? What do you want me to do? What do you want me to do?,What do you want me to do? | Do you have anything for me? | What do you want me to do?,What do you want me to do?,What do you want me to do? What do you want me to do? What do you want me to do? What do you want me to do?,What do you want me to do? | What do you want me to do? | What do you want me to do? | What do you want me to do?,What do you want me to do? | What do you want me to do?,What do you want me to do? | What do you want me to do? | What do you want me to do? | What do you want me to do?
9976,25164,What's up?,What are you doing,What's going on? | What's going on? | What's going on? | Is everything okay?,What is it? | How is it going? | When is it coming? | What is the hurry? | When is it hurrying?,What's beautiful? | What's new? | Is it okay? | What's there? | How are you? | What's new?,"What's going on? | What's going on? | Well, how's it going? | What's going on?",What's going on? | What's going on? | What's the situation? | What's the clouds?,How's it going? | How's it going?,what happened? | it's not changed? | what is it?,How does it fly? | What is it?,How's it going?,What wave? | What is there? | What is there?,What is it? | Naber?,What is it like? | What is it like? | What is life like?
10031,25229,Would you like anything to eat?,What do you want to eat | What do you want to eat,Would you like something to eat? | Would you like something to eat?,Would you like something to eat? | Would you like something to eat?,Do you want to eat something? | Do you want to eat something?,Would you like to eat something?,Would you like to eat something?,Would you like something to eat? | Would you like something to eat? | Would you like something to eat?,Do you want something to eat? | Do you want something to eat?,Do you want something to eat? | Do you eat something?,Do you want something to eat?,Would you like to eat something? | Would you like to eat something? | Would you like to eat something? | Would he like to eat something?,Would you like something to eat?,Do you want to eat something?
10101,25313,Anything new?,What's new?,Is there anything new? | Is there anything new?,Is there anything new? | Is there anything new?,What's new? | Is there anything new? | Is there anything new?,Is there anything new? | Is there anything new? | Is there anything new?,What's new? | Is there something new?,Nothing new? | Is there anything new?,what happened?,Something new?,What's new? | What's new?,Is it new?,Is there anything new?,What's new?
10274,25498,How should I know?,How do I know?,How do I know? | I know a lot!,How would I know?,How would I know? | And how can I know?,How should I know this?,How can I know? | How could I know? | How should I know?,How would I know? | How would I know?,I don't know. | Why do I know? | Why do I want to know? | Why do I want to know? | I don't know that. | Why do you say I know? | Don't ask me. | I won't know. | I don't know.,How do I know?,Where do I know? Where do I know? How do I know?,How would he know?,What am I talking about?,How do I know?
10279,25504,I'm a free man.,I am a free man.,I'm a free man. I'm a free man. I'm a free man.,I am a free man.,I am a free man.,I am a free man.,I'm a free man. | I'm a black man.,I am a free man. | I am a free man.,i'm a free man.,I am a free man.,I am a free man.,I am a free man.,I am a free person.,I'm a free person.
10284,25509,I'm a hero.,I'm a hero.,I'm a hero.,I am a hero | I am a hero.,I am a hero.,I am a hero.,I'm a hero.,I am a hero. | I am a hero.,i'm a hero.,I am a hero.,I am a hero. | I am a hero.,I am a hero.,I am a hero.,I'm a hero. | I'm a hero. | I'm a hero.
10301,25528,Don't worry about me.,Don't worry about me.,Don't worry about me. | Don't worry about me. | Just don't worry about me.,Do not take care of me. | Do not take care of me.,Don't worry about me. | Don't worry about me. | Don't worry about me.,Don't worry about me. | Don't worry about me. | Don't worry about me. | Don't worry about me.,Don't worry. | Don't worry. | Don't worry. | Don't worry. | Don't worry.,Don't worry about me. Don't worry about me. Don't worry about me. Don't worry about me. Don't worry about me.,don't worry about me. | don't worry about me. | don't worry about me.,Don't worry about me.,Don't worry about me. Don't worry about me. Don't worry about me. Don't worry about me. Don't worry about me.,Don't worry about me. | Don't worry about me.,Don't worry about my right.,Don't worry about me. | Don't worry about me. | Don't worry about me.
10307,25534,Leave me alone!,Don't bother me!,Leave me alone! | Leave me alone! | Leave me alone!,Leave me alone! | Let me alone! | Let me alone!,Leave me alone! | Leave me alone! | Leave me alone! | Leave me alone!,Let me calm down! | Let me calm down!,Leave me alone! | Leave me alone! | Leave me alone! | Leave me alone! | Leave me alone! | Leave me alone.,Let me go! | Let me go! | Let me go! | Let me go!,Leave me alone! Leave me alone! Leave me alone! Leave me alone! Leave me alone!,Leave me alone! | Leave me alone!,Leave me alone! | Stay away! | Leave me alone! | Stay away from me!,Peace be upon us! | Peace be upon us! | Peace be upon us! | Peace be upon us! | Peace be upon us!,Leave me alone!,Leave me alone.
10311,25538,Are you talking to me?,Are you talking to me? Are you talking to me?,Are you talking to me? | Are you talking to me?,Are you talking to me? | Are you talking to me? | Are you talking to me? | Are you talking to me?,Is it me you're talking to? | Is it me you're talking to?,Are you talking to me?,Are you talking to me? Are you kidding me? Are you kidding me? Are you talking about me?,Are you talking to me? Are you talking to me? Are you talking to me? Are you talking to me? Are you talking to me? Are you talking to me? Are you talking to me?,are you talking to me? are you talking to me?,Are you talking to me?,Are you talking to me? Are you talking to me? Are you talking to me? Are you talking to me? Are you me? Are you talking to me?,Are you talking to me? | Are you talking to me?,Are you talking to me?,Are you talking to me? | Are you talking to me? | Are you talking to me? | Are you talking to me?
10406,25640,The king abused his power.,The king abused his power.,The king abused his power.,The king abused his power.,The king abused his power. | The king abused his power.,The king abused his power. | The king abused his power.,The king was misused in his authority. | The king was misused in his power.,The king abused his power. The king abused his power.,The king abused his power.,The king abused his power.,The king abused power.,The king abused his power. | The king abused his power.,The king abused power. | The king abused his authority. | The king abused his power.,The king abused power.
10449,25684,Did you buy a round-trip ticket?,Did you buy the round-trip ticket?,Did you buy a return ticket?,Did you buy an expenditure return ticket?,Did you buy a return ticket?,Did you buy a return ticket? | Did you buy a return ticket?,Buying a credit card?,Did you buy a boarding pass? | Did you buy a boarding pass? | Did you buy a boarding pass?,Did you buy a round trip ticket?,Did you buy a return ticket?,Did you buy tickets back and forth? | Did you buy tickets back and forth?,Did you buy a round-trip ticket? | Did you buy a round-trip ticket? | Did you buy a round-trip ticket?,Did you get a return ticket? | Did you get a return ticket?,Did you buy a ticket back and forth? | Did you buy a ticket back and forth? | Did you buy a ticket back and forth?
10682,25930,Action!,Start!,Act!,Action!,Action! | Action!,Let's go!,E: Achoo!,Action!,start acting!,Action!,To fight! | Motor! | Started!,Action!,Motor! | action,Go to battle!
10706,25954,Draw a circle.,Draw a circle.,Draw a circle.,Turn around.,Draw a circle. | Draw a circle! | Draw a circle! | Draw a circle.,Draw a circle.,Draw a circle.,Design a circle. | Design a circle. | Design a circle.,draw a circle.,Draw a circle.,Draw circle. | Draw circle. | Draw circle. | Draw circle.,Draw a circle | Draw a circle.,Draw an apartment. | Draw an apartment.,Set the circle.
10903,26170,Can you speak English?,Will you speak English? Will you speak English? Will you speak English? Will you speak English?,Do you speak English? | Do you speak English?,Can you speak English?,Do you speak English? | Do you speak English?,Can you speak English? | Can you speak English?,Do you speak English?,Do you speak English?,Can you speak English? | Can you speak English?,Do you speak English?,Do you speak English?,Do you speak English?,Can you speak English? | Can you speak English? | Can you speak English?,Do you speak English? | Do you speak English? | Do you know English?
10995,26277,English is an international language.,English is an international language.,English is an international language.,England is an international language.,English is an international language.,English is an international language.,English is an international language English is an international language English is an international language,English is an international language.,English is an international language.,English is an international language.,English is an international language.,English is an international language.,English is an international language.,English is an international language.
11099,26397,I wish I could swim.,I wish I could swim. | I wish I could swim.,I wanted to be able to swim.,I wish I could swim.,I would like to know how to swim.,I wish I could swim.,I wish I could swim. | I wish I could swim.,I would love to swim.,I wish I could swim. I wish I could swim. I wish I could swim.,I would like to swim.,I wish I could swim. | I'm sorry I can't swim.,I wish I could swim. | I wish I could swim. | I wish I could swim.,I can face love.,I wish I could swim. | I wish I could swim. | I'm sorry I can't swim.
11336,26653,You are lying.,You're lying.,You are lying. | You are lying!,Don't lie!,You lie. | You lie. | You are lying. | You are lying.,You are lying. | They are lying.,You're lying.,You're lying. You're lying. She's lying. She's lying. You're lying. You're lying.,you're lying. | lie.,You're crying.,You are lying. You are lying. You are lying. You are lying. You are lying. You are lying. You are lying.,You are lying. | You are lying. | People.,You say the word.,You are lying. | You are lying. | You are lying.
12245,27641,Leave me alone.,Let me stay alone.,Leave me alone!,Leave me alone.,Leave me alone. | Leave me alone. | Leave me alone. | Leave me alone. | Leave me alone.,Let me rest! | Let me rest.,Leave me alone. | Leave me alone. | Leave me alone. | Leave me alone.,Leave me alone. | Leave me alone. | Leave me alone. | Leave me alone. | Leave me alone. | Leave me alone.,Leave me alone!Leave me alone!Leave me alone!Don't disturb me!Leave me alone!Leave me alone!Leave me alone!Leave me alone!,Leave me alone.,Leave me alone. | Leave me alone. | Leave me alone!,Let me alone. Let me alone! Let me alone. Let me alone.,Leave me alone. | Leave me alone.,Leave me alone. | Leave me alone.
12400,27808,He didn't say a word.,He didn't say anything.,He didn't say a word. | He didn't say anything.,He did not say anything.,He did not say a word. | He did absolutely nothing. | She did not say a word.,He didn't say a word. | He didn't say anything. | He didn't say a word. | He didn't say a word. | He didn't bring out a single word. | He didn't say a single word.,He didn't say a word. | He didn't say anything. | He didn't say anything and a half. | He didn't say a word.,He didn't say a word. | He didn't say a word. | He didn't say a word. | He didn't say a word.,He didn't say anything. | He didn't say a word. | He didn't say a word. | He didn't say a word. | He didn't say a word. | He didn't say a word. | He didn't say a word.,He did not say a word.,He did not say a word. | He did not speak a word.,He didn't say anything. | He didn't laugh.,He didn't say a word.,He didn't say a word.
12586,28006,What did he say?,What did he say?,What did he say? | What did he say?,What did the man say? What did the boy say?,What did he say? | What did he say?,What did he say?,What did he say?,What did he say? | What did he say? | What did he say?,What did he say?,What did he say?,What did he say?,What did he say? | What did he say?,What did he say? What did he say? What did he say?,What did he say?
12698,28129,Wrong.,False.,Wrong. | Wrong! | Wrong.,Far from it.,False. | Error! | False!,False.,Wrong.,Wrong.,that's not right. | ブッブー!,Sources.,Incorrect.,"(b) To take all necessary measures to ensure that all persons with disabilities have access to adequate health care, including access to safe drinking water and sanitation;",Wrong. | Misleading.,Wrong. | Wrong. | Error.
12727,28159,My stomach hurts.,I have a stomachache.I have a stomachache.I have a stomachache.,My stomach hurts. | I've got a stomachache.,My misfortunes happen. | My pain is painful.,My stomach hurts. | My stomach hurts me.,I have abdominal pain. | My stomach hurts. | I have stomach pain. | My stomach hurts me. | I have abdominal pain.,My stomach hurts. | My stomach hurts. | My stomach hurts.,It hurts my stomach.,my stomach hurts. | my stomach hurts. | my stomach hurts. | my stomach hurts. | my stomach hurts. | my stomach hurts.,My belly hurts.,My stomach hurts. | My stomach hurts. | My stomach hurts.,| My stomach hurts. | My stomach hurts. | My stomach hurts. | My throat hurts.,Midem is hungry.,My stomach hurts.
13148,28607,Not bad.,That's good.,Not bad for long. | Not bad.,It is not bad.,Not bad.,Not bad. | Not bad!,Not bad! | Not bad.,Not bad.,it's not bad.,Not bad.,Not good.,That is not bad.,It's not fena.,Not bad.
13494,28989,I like pizza very much.,I love Pisa very much.,I really love pizza. | I really love pizza.,I really enjoyed the pizza.,I love pizza very much. | I love pizza.,I like pizza very much. | I like pizza very much. | I love pizza.,I really love pizza.,I really like pizza. | I really like pizza.,I love pizza.,I really like pizza.,I like the pizza very much.,I really like the pizza.,I love pizza very much.,I love pizza.
13554,29049,I am at home.,I'm at home I'm at home.,I'm home.,I am at home. | I am at home.,I am at home.,I am at home. | I am at home.,I'm home.,I'm home. | I'm home.,I'm at home. | I'm at home. | I'm in the house. | I'm at home.,I'm at home.,I'm home.,I'm at home. | I'm at home.,I'm home. | I'm home.,I'm home.
14079,29600,Linda loves chocolate.,Linda likes chocolate.,Linda loves chocolate.,Linda loves chocolate. | Linda loves chocolate.,Linda loves chocolate.,Linda loves chocolate. | Linda loves chocolate.,Linda loves chocolate.,Linda loves chocolate. | Linda loves chocolate.,Linda loves chocolate. | Linda loves chocolate.,Linda loves chocolate.,Linda loves chocolate.,Linda loves chocolate.,Linda loves chocolate. | Linda loves chocolate. | Linda loves chocolate.,Linda loves chocolate.
14090,29612,I am eating an apple.,I'm eating an apple.,I'm eating an apple.,I am eating apples.,I eat a apple.,I'm eating an apple. | I'm eating an apple.,I'm eating an apple now. | I'm eating an apple. | I'm eating an apple.,I'm eating an apple. | I eat an apple. | I'm eating an apple.,I am eating apples. | I am eating apples now. | I am eating apples.,I eat apples.,I eat apples.,I am eating a apple. | I am eating a apple. | I am like a apple.,I am eating an apple. | I am eating an apple. | I am eating an apple.,I eat apples.
14108,29632,The apple fell from the tree.,The apple fell from the tree.,The apple fell from the tree.,The apple fell from the tree.,The apple fell from the tree. | The apple fell from the tree.,The apple fell from the tree. | The apple fell from the tree.,The apple fell out of the tree.,The apple fell from the tree.,The apple fell from the tree.,The apple fell from the tree.,The apple fell from the tree.,The apple fell from the tree.,The apple fell from the tree.,The apple fell from the tree.
14125,29653,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865. | Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.
14219,29749,I'm listening to the radio.,I'm listening to the radio.,I listen to the radio.,I listen to the radio. | I listen to the radio.,I listen to the radio.,I listen to radio.,I'm listening to radio. | I'm listening to radio.,I'm listening to radio. | I'm listening to radio.,I'm listening to radio. | I'm listening to radio.,I listen to the radio.,I listen to the radio.,I am listening to the radio.,I listen to the radio.,I listen to the radio.
14232,29763,Turn on the radio.,Open the radio.,Turn on the radio.,Could you put the radio on top? | Put the radio on top.,Turn on the radio.,Turn on the radio.,Turn on the radio. | Turn on the radio.,Turn on the radio. | Turn on the radio. | Turn on the radio.,Put on the radio. | Put on the radio. | Put on the radio.,Turn on the radio.,Turn on radio. | Turn on radio.,Turn on the radio. | Take the radio.,Open the radio. | Open the radio.,Turn on the radio. | Turn on the radio.
14311,29846,The lion is the king of the jungle.,The lion is the king of the jungle.,The lion is the king of the forest.,Leijona is the king of the jungle.,The lion is the king of the jungle.,The lion is the king of the jungle.,The elephant is king of the jungle.,The lion is the king of the jungle.,Lion is the king of the jungle.,The lion is the king of the jungle.,The lion is king of the jungle. The lion is king of the jungle.,The lion is the king of the jungle.,The lion is the king of the forest.,A lion is a king of the jungle.
14382,29922,Listen carefully.,Listen carefully.,Listen to me carefully.,Listen carefully. | Listen carefully.,Listen carefully. | Listen carefully. | Listen carefully! | Listen carefully! | Listen carefully! | Listen carefully! | Listen carefully! | Listen carefully.,Listen well! | Listen attentively.,Listen well. | Listen well. | Listen well. | Listen well. | Listen well.,Listen carefully. | Listen carefully. | Listen carefully. | Listen carefully. | Listen carefully. | Listen carefully.,listen carefully listen carefully listen carefully listen carefully listen carefully,Listen carefully.,Listen carefully! | Listen carefully.,Listen carefully. | Listen carefully.,Listen carefully.,Listen very carefully.
14483,30030,School starts in September in Europe.,Schools in Europe opened in September.,"In Europe, schools start in September.",Schools in Europe will start in September.,School starts in September in Europe. | Courses start in September in Europe.,"In Europe, the school starts in September.",Schools start in September in Europe.,Schools start in September in Europe. | Schools start in September in Europe.,Schools in Europe begin in September.,School in Europe starts in September.,"In Europe, schooling begins in September.","In Europe, classes start in September.",Schooling in Europe begins in September.,"In Europe, schooling begins in September."
14506,30054,Sweet dreams!,I wish you a good dream.,Have sweet dreams! Have sweet dreams! Have sweet dreams!,Wonderful dreams!,Make beautiful dreams! | Make beautiful dreams!,Sweet dreams! | Sweet dreams! | I wish you pleasant dreams! | Sweet dreams!,Fez Dreams! | Nice dreams!,Dreams of gold!,good dreams.,Sweet dreams!,Have sweet dreams!,Fair dreams! | Fair dreams!,Tasty dreams!,Have sweet dreams!
14536,30085,Have a nice day.,I wish you a happy day.,Have a nice day! | Have a nice day!,Have a good day.,Good day! | Have a good day. | I wish you good day! | Have a good day!,Have a nice day! | Have a nice day. | I wish you a nice day. | I wish you a nice day. | I wish you a nice day.,Have a nice day. | Have a nice day! | Have a nice day. | Have a nice day.,Have a great day.,Have a good day. Have a good day. Have a good day!,Good day.,Good day.,Have a good day.,Good days.,Good day. | Good day. | Good day. | Good day. | Good day. | Good day. | Good day.
14575,30126,Drive slowly.,Drive slower.,Ride slowly. | Ride slowly!,Time is running out.,Drive slowly. | Drive slowly!,Drive slowly. | Drive slowly!,Go slower. | Go slower.,Walk slowly. | Walk slowly. | Walk slowly.,drive slowly.,Go slowly.,Go slower. | Go slower. | Drive the car slowly! | Go slowly! | Drive slowly.,It operates slowly.,The drive is slow.,Eat slower. | Drive the car slowly.
14751,30316,Hi! How are you?,"Hi, how are you? Hi, how are you?","Hey, how are you?","Hello, what's up? | Hey! What's up? | Me! How's it going?",Hello! How are you? | Hello! How are you?,Hello! How are you? | Hello! How are you?,"Hey! How are you? | Hey! How are you? | Hello, how are you?",Hello! How are you?,hey! how are you?,Hi! How are you?,"Hello! How are you doing? | Hello! How are you? | Hello, how are you doing?",How are you? | How are you? | How are you?,Hello! How are you?,"Hello, how are you? | Hello! How are you? | Hello! How are you? | Hello. How are you? | Hello. How are you? | Hello! How are you?"
14824,30397,Louder.,Make a louder noise.,Louder. | Louder.,Stronger. | Louder. | More voices.,Stronger.,Louder.,Stronger. | More loud.,Stronger.,Make it bigger. | Raise.,Louder. | Louder!,Gromch.,"The Committee recommends that the State party take all necessary measures to ensure the full enjoyment of all human rights and fundamental freedoms by women, including the right to education, the right to health, the right to food, the right to adequate housing, the right to adequate shelter and the right to adequate housing.",It's louder.,Louder.
14826,30399,"Louder, please.",Please be loud.,Quiet please. Quiet please. Quiet please. Quiet please. Quiet please.,"Better, thank you. | Better, thank you.","Better, if you will.","Louder, please.",Louder please.,Louder please. | Louder please.,Please say it in a louder voice.,"Louder, please.","Gromch, please.","Stronger, please. | Higher cable, please.",Higher please.,"Louder, please."
14958,30542,Definitely!,Must be! Of course!,Sure! Sure! Sure! Sure! Sure! Sure! Sure! Sure! Sure! Sure! Sure! Sure! Sure! But sure! Sure! Yeah.,"Of course! | Of course! | Of course! | Well, of course! | Absolutely!",Of course!,Absolutely!,Absolutely!,Absolutely!,Of course! | Of course!,Absolutely!,Of course! | Definitely! | Definitely! | Undoubtedly!,Of course!,Absolutely!,"Of course! | Well, of course!"
15238,30835,I wouldn't do that if I were you.,"If I were you, I wouldn't do that.","I wouldn't do that if I were you. | If I were you, I wouldn't do that.",You would not do that.,I wouldn't do it if I were you. | I wouldn't do it if I were you.,"I wouldn't do it in your place. | If I were you, I wouldn't do it. | If I were you, I wouldn't do it. | If I were you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it.",I wouldn't do it if you were around. | I wouldn't do it if you were around. | I wouldn't do it if you were around. | I wouldn't do it if you were around. | I wouldn't do it if I were around.,I wouldn't do it if I was in you. I wouldn't do it if I was in you. I wouldn't do it if I was in her.,"if i were you, i wouldn't do that. if i were you, i wouldn't do that. if i were you, i wouldn't do that.",I wouldn't do it in your place. | I wouldn't do it in your place.,I wouldn't do it in your place. I wouldn't do it in your place. I wouldn't do it in your place.,"If I were you, I wouldn't do it; if I were you, I wouldn't do it; if I were you, I wouldn't do it; if you were me, I wouldn't do it.","If I'm there, I'll do it. | If I'm there, I'll do it.",I wouldn't do it in your place. | I wouldn't do it in your place.
