,index,english,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish
1736,16289,Do you study English?,Do you learn English? Do you learn English? Do you learn English?,Do you study English? Do you study English? Do you study English? Do you study English? Do you study English? Do you study English? Do you study English? Do you study English? Do you study English? Do you study English?,Do you study English?,Are you learning English?
1744,16300,Can you swim?,Can you swim? Can you swim? Can you swim?,"Do you know how to swim? Do you know how to swim... Do you know how to swim... do you know how to swim... do you know how to swim... do you know how to swim... do you know how to swim, do you know how to swim, do you know how to swim, do you know how to swim, do you know how to swim, do you know how to swim, do you know how to swim, do you know how to swim, do you know how to swim, do you know how to swim, do you know how to swim, do you know how to swim, do you know how to swim?",Can you swim?,Can you swim?
1859,16428,Can you speak French?,Do you speak French?,Do you know how to speak French? Do you know how to speak French? Do you know how to speak French? Do you know how to speak French? Do you know how to speak French?,Can you speak French?,Can you speak French?
1877,16449,Do you want anything?,Do you want anything?,Do you want something? Do you want something? Do you want something? Do you want something? Do you want something? Do you want something?,Do you want anything?,Do you need anything?
1899,16475,You look very tired.,"You look very tired, you look very tired, you look very tired, you look very tired.",You seem very tired. You seem very tired. You seem very tired. You seem very tired. You seem very tired. You seem very tired. You seem very tired. You seem very tired. You seem very tired. You seem very tired. You seem very tired.,You look very tired.,You look very tired.
1912,16491,How about you?,What about you?,What about you?,What about you?,What about you?
1913,16492,What are you doing?,What are you doing? What are you doing? What are you doing?,- What are you doing? - What are you doing? - What are you doing? - What are you doing? - What are you doing? - What are you doing? - What are you doing? - What are you doing? - What are you doing? - What are you doing?,What are you doing? what are you doing? what are you doing? what are you doing? what are you doing? what are you doing? what are you doing? what are you doing? what are you doing? what are you doing? what are you doing? what are you doing? what are you doing?,What are you doing?
1941,16525,You have many books.,"You've got a lot of books, you've got a lot of books, you've got a lot of books.",You have many books. You have many books.,You have a lot of books.,You've got a lot of books. You've got a lot of books.
2001,16590,Did you watch the game?,Did you watch the game?,Have you watched the game? Have you watched the game? Have you watched the game?,Did you see that game? Did you see that game?,Did you watch the game?
2116,16715,You can study here.,You can go here. You can go here. You can go here.,You can study here. • You can study here. • You can study here. • You can study here.,You can study here. You can study here.,You can study here. You can study here.
2144,16747,Aren't you happy?,You're not happy?,Aren't you happy? Aren't you happy? Aren't you happy? Aren't you happy? Aren't you happy? Aren't you happy?,Isn't she happy?,Aren't you happy?
2168,16774,What time do you usually get up?,What time do you usually get up?,At what time do you usually wake up? At what time do you usually get up? At what time do you usually get up? At what time do you usually get up?,What time do you always get up?,What time do you usually get up?
2328,16945,Compare your answer with Tom's.,"Compare your answer with Tom's answer, compare your answer with Tom's.",Compare your answer to Tom's.,Compare your answer with Tom's. Compare your answer with Tom's.,Compare your answer to Tom's answer.
2331,16948,Your answer is right.,Your answer is correct.,Your answer is the right one. Your answer is the right one. Your answer is the right one.,Your answer is correct. It's correct.,Your answer is correct.
2351,16969,May I use your phone?,"Can I use your phone, can I use your phone, can I use your phone?",Can I use your phone? Can I use your phone? Can I use your phone? Can I use your phone? Can I use your phone? Can I use your phone? Can I use your phone?,May I use your phone?,Can I use your phone?
2375,16994,It's none of your business.,It's none of your business.,It's none of your business. It's none of your business.,It's none of your business. It's none of your business.,It's none of your business.
2376,16996,Mind your own business!,"Mind your own business, mind your own business, stay out of your own business, stay out of your own business, stay out of your own business!","Mind your own business, mind your own business, mind your own business.",Don't talk about people. Don't talk about them. Don't talk about them. Don't talk about them.,Stay out of other things!
2392,17013,Go back to your seat.,Go back to your seat.? Get back to your seat.... Get back to your chair.,Go back to your place.,Go back to your seat. Go back to your seat.,Go back to your seat.
2440,17065,Write your address here.,Write your address here. Write your address here.,Write your address here. Please write your address here. □ Write your address here. □ Write your address here. □ Write your address here. □ Write your address here. □ Write your address here. □ Write your address here. □ Write your address here. □ Write your address here. □ Write your address here. □ Write your address here. □ Write your address here. □ Write your address here. □ Write your address here. □ Write your address here. □ Write your address here. □ Write your address here. □ Write your address here.,Write your address here.,Write your address here.
2447,17073,I received your letter yesterday.,I got your letter yesterday.,I received your letter yesterday. I received your letter yesterday. I received his letter yesterday.,I received your letter yesterday. I received your letter yesterday. I received your letter yesterday.,I received your letter yesterday.
2450,17076,Are your hands clean?,"Are your hands clean, your hands clean, your hands clean?",Are your hands clean? Are your hands clean? Are your hands clean? Are your hands clean?,Are your hands clean?,Are your hands clean?
2472,17101,Your bicycle is similar to mine.,Your bike is similar to mine.,Your bike is similar to mine. Your bike is similar to mine. Your bike is similar to mine.,Your bicycle is similar to mine. A bicycle is similar to mine. Your bicycle is similar to mine.,Your bike looks like mine.
2474,17103,Is your watch correct?,Is your watch accurate?,Does your watch make the right time? Does its watch make the right time? Is your watch making the right time?,Is your watch correct?,Does your watch go well?
2480,17110,Where are your things?,Where's your stuff?,Where are your things? ♪ Where are his things? ♪ Where are your things?,Where are your things?,Where's your stuff?
2516,17150,Where do you come from?,Where do you come from?,Where do you come from? Where do you come from? - Where do you come from? - Where do you come from? - Where do you come from? - Where do you come from?,Where are you from? Where are you from?,Where are you from? Where do you come from? Where do you come from?
2555,17190,Make your choice.,Make your choice.,Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice. □ Make your choice.,Choose what you like.,Pick one.
2562,17198,I know what you mean.,I know what you mean.,I know what you mean. I know what you mean.,"I know, I know. I know what you want to say. I know what you want to say.",I know what you're trying to say.
2643,17283,Where is your school?,Where's your school?,Where's your school? Where's his school? Where's your school?,Where is your school? &lt;i&gt;Where is your school?&lt;/i&gt; Where is your school? &lt;i&gt; Where is your school? &lt;i&gt; Where is your school?&lt;/i&gt;,Where's your school? Where's your school?
2703,17344,You're on the right track.,You're on the right track.,"You're on the right path. You're on the right road.       ♪ You're on the right road. ♪ You're on the right road. ♪ You're on the right road. ♪ You're on the right road. ♪ You're on the right road. ♪ You're on the right road. ♪ You're on the right road. ♪ You're on the right road. ♪ You're on the right road. ♪ You're on the right road. ♪ You're on the right road. ♪ You're on the right road. ♪ You're on the right road. ♪ You're on the right road. ♪ You're on the right road. ♪ You're on the right road. ♪ You're on the right road. ♪ You're on the right road. ♪ You're on the right road. ♪ You're on the right road. ♪ You're on the right road. ♪ You're on the right road, you're on the right road, you're on the right road, you're on the right road. ♪",What you're doing is not wrong.,You're on the right track.
2705,17347,Your time is up.,Your time is up. You're out of time.,Your time's up. Your time's up. Your time's up. Your time's up.,Your time is running out.,Your time is up.
2713,17355,Your pen is better than mine.,Your pen is better than mine.,Your pen is better than mine. Your pen is better than mine.,Your pen is better than mine. Your pen is better than mine. That pen is better than mine.,Your pen is better than mine. Your pen is better than mine.
2715,17357,Your plan sounds great.,Your plan looks great.,Your plan sounds great. Your plan looks great.,Your plan is great.,Your plan sounds great.
2749,17395,Your cake is delicious.,Your cake is delicious.,Your cake is delicious. Its cake is delicious. Your cake is delicious.,"Your cake is good, huh? Your cake is good.",Your cake is delicious.
2754,17400,Here is your bag.,Here's your bag.,Here's your bag. Here's his bag. Here's your bag.,Your bag is here.,Here's your bag.
2774,17421,I believe you.,I believe you.,I believe you. I believe you. I believe you. I believe you. I believe you.,I believe you. I believe what you say. I believe what you say. I believe what you say.,I believe you.
2776,17423,I don't agree with you.,I don't agree with you.,I disagree with you. I disagree with you. I disagree with you. I disagree with you. I disagree with you. I disagree with you. I disagree with you.,I can't agree with you. I can't agree with you.,I don't agree with you.
2880,17534,You deserve the prize.,"You deserve the reward, you deserve the reward, you earned the reward.",You deserve the prize. You deserve the prize. You deserve the prize. You deserve the prize. You deserve the prize. You deserve the prize. You deserve the prize. You deserve the prize. You deserve the prize. You deserve the prize. You deserve the prize. You deserve the prize. You deserve the prize. You deserve the prize. You deserve the prize.,You deserve the prize.,You deserve a reward.
2884,17538,Green suits you.,"Green suits you, green suits you.",Green looks good on you. Green looks good on you. Green looks good on you. Green looks good on you. Green looks good on you. Green looks good on you.,Green looks good on you.,Green suits you.
3032,17707,I want you.,I want you. I want you.,I want you. I want you. I want you. I want her.,I want you.,I want you.
3055,17735,I need you.,I need you.,I need you. I need you. I need her. I need you. I need you. I need you. I need you. I need her.,I need you. I need you.,I need you.
3082,17764,Show me what you bought.,Show me what you bought.,Show me what you bought. Show me what you bought. Show me what you bought.,Show me what you bought.,Show me what you bought. Show me what you bought. Show me what you bought.
3110,17795,I guess you are right.,I guess you're right.,I suppose you're right. I suppose you're right.,I think you're right.,I guess you're right.
3143,17829,I love you more than you love me.,I love you more than you love me.,I love you more than you love me.,I love you more than you love me. I love you more than you love me.,I love you more than you love me.
3185,17881,I know you are rich.,I know you're rich. I know you're rich. I know you're rich.,I know you're rich. I know you're rich. I know you're rich. I know you're rich. I know you're rich. I know you're rich.,I know you're rich. I know you're rich.,I know you're rich.
3310,18017,I don't blame you.,I don't blame you.,I don't blame you. I don't blame you. I don't blame you. I don't blame you. I don't blame you. I don't blame you.,It's natural for you to do that.,I don't blame you. I don't blame you.
3361,18073,You don't understand.,You don't understand.,"You don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand, you don't understand.",You don't understand.,You don't understand.
3552,18278,The sky is full of stars.,The sky is full of stars.,The sky is full of stars.,The sky is full of stars.,The sky is full of stars.
3619,18356,Stop grumbling.,Stop complaining. Stop complaining. Stop grumbling.,Stop complaining. Stop complaining. Stop complaining.,Stop complaining.,Stop complaining.
3758,18505,Money is the root of all evil.,Money is the root of all evil.,Money is the root of all evil.,Money is the root of all evil.,Money is the source of all evil. Money is the source of all evil.
3781,18531,I wish I were rich.,I wish I was rich.,I wish I was rich. I wish I was rich. I wish I was rich. I wish I was rich.,I wish I were rich.,I wish I was rich.
3870,18631,Money talks.,This is Memmon.,Money speaks. Money speaks.,Money says things.,Money has the power of persuasion.
4377,19170,Don't be afraid.,"Don't be afraid, don't be afraid, don't be afraid, don't be afraid, don't be afraid, don't be afraid, don't be afraid, don't be afraid, don't be afraid, don't be afraid, don't be afraid, don't be afraid, don't be afraid, don't be afraid, don't be afraid, don't be afraid, don't be afraid!",Don't be afraid. Don't be afraid. Don't be afraid. Don't be afraid.,Don't be afraid.,Don't be afraid.
4540,19342,"Fish, please.","Fish, please.","Some fish, please.","Fish, please.",I'll have a fish.
4770,19587,Call an ambulance.,Call an ambulance.,"Call an ambulance, call an ambulance, call an ambulance.",Please call an ambulance.,Call an ambulance.
4896,19729,Haste makes waste.,"The speed of the devil, the haste of the devil.","The haste is a bad counselor. The hasty cat makes the blind kittens. ""He who goes slow goes healthy and goes far.","If you hurry, panic will make you waste money. If you hurry, you'll waste money.","When you're in a hurry, the devil's happy."
4900,19733,Please hurry.,Please hurry!,Please hurry. Please hurry. Please hurry. Please hurry. Please hurry.,Hurry up.,"Please hurry, hurry, hurry, hurry, hurry, hurry, hurry, hurry, hurry, hurry."
5007,19847,I haven't seen him for a long time.,I haven't seen him in a while.,I haven't seen him in a long time. I haven't seen him in a long time.,I haven't seen him for a long time. I haven't seen him for a long time.,I haven't seen him in a while.
5224,20086,All that glitters is not gold.,Not all glitter is gold.,It is not all gold that shines. It is not all gold that shines. It is not all gold that shines.,Everything that shines is not gold. Everything that glows isn't necessarily gold.,Not all gold that shines.
5235,20097,You are beautiful.,You're beautiful.,You're beautiful. You're beautiful. You're beautiful. You're beautiful. You're beautiful. You're beautiful. You're beautiful. You're beautiful. You're beautiful. You're beautiful. You're beautiful.,You're beautiful.,You're beautiful.
5418,20288,I'm not feeling well.,I don't feel well.,I don't feel well.,I'm not feeling well. I'm not feeling well. I'm not feeling well.,I don't feel good.
5471,20344,Take it easy.,Take it easy.,It's okay. Don't take it easy.,Calm down. Don't force yourself. Let's go easy. Let's go easy.,Take it easy.
5504,20379,Are you crazy?,Are you crazy?,Are you crazy? Are you crazy? Are you crazy? Are you crazy? Are you crazy?,Are you crazy? Are you crazy?,Are you crazy?
5514,20392,Never mind.,Never mind. Never mind. Never mind.,It's okay. It's okay.,Don't worry about it.,Never mind.
5520,20398,Forget it.,Forget it. Forget it. Forget it.,Forget it. Forget it. Forget it. Forget it. Forget it. Forget it.,Don't worry about it. Forget it.,"Forget it, forget it, forget it, forget it, forget it, forget it, forget it, forget it, forget it, forget it, forget it, forget it, forget it, forget it, forget it, forget it, forget it, forget it, forget it, forget it, forget it, forget it, forget it, forget it, forget it, forget it, forget it, forget it, forget it!"
5526,20405,I'm exhausted.,I'm exhausted.,I'm exhausted. I'm tired. I'm exhausted. I'm exhausted.,I'm very tired. I'm really tired. I'm really tired. I'm really tired. I'm really tired. I'm really tired. I'm really tired. I'm tired and tired.,I'm exhausted.
5823,20719,Look out!,Look out! Look out! Look out!,Watch out!,Look out!,Look out!
6087,21003,I want something sweet.,I want something sweet.,I want something sweet.,I want something sweet.,I want something sweet.
6174,21098,"Check, please.","Check, please.","The bill, please. The bill, please.",Please check the bill. Please bring me the check.,"Can I have the check, please?"
6197,21124,I feel cold.,I'm cold.,I'm cold.,I feel cold. I'm cold.,I'm cold.
6326,21259,It's a piece of cake.,Piece of cake.,It's a piece of cake. It's a piece of cake. It's a piece of cake. It's a piece of cake. It's a piece of cake.,It's easy to win. That's like breakfast. That's right before breakfast.,It's a piece of cake.
6333,21267,Have fun.,Enjoy! Enjoy! Enjoy!,"Have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun!","Have fun, Seung Jo. Have fun.",Enjoy. Enjoy!
6711,21678,Do you remember?,Do you remember?,Do you remember? Do you remember?,Do you remember?,Do you remember?
6961,21938,I want to go abroad.,I want to go abroad.,I want to go abroad.,I want to go abroad. I want to go abroad.,I'd like to go abroad.
7080,22061,Open up.,Open up.,Open it. Open it. Open it. Open it. Open it. Open it. Open it.,Please open it. Please open it.,"Open up, open up, open up, open up, open up, open up, open up, open up, open up, open up, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open, open,"
7136,22121,All aboard!,"All aboard, all aboard!",All aboard!,"Ladies and gentlemen, please take a ride!",All aboard!
7137,22122,"Good morning, everybody.","Good morning, everyone.","Good morning, everyone.","Good morning, everyone.","Hello, everyone."
8687,23749,Flowers bloom.,Flowers bloom.,Flowers blossom. Flowers blossom. Flowers blossom. Flowers blossom.,The flowers bloom.,Flowers are blooming.
8818,23884,There is no smoke without fire.,There's no smoke without fire.,There's no smoke without fire.,There's no smoke where there's no fire. There's no smoke where there's no fire. There's no smoke where there's no fire.,There's no smoke without fire.
8859,23929,Do you like singing?,"Do you like to sing, do you like to sing, do you like to sing?",Do you like to sing? Do you like to sing? • Do you like to sing? • Do you like to sing? • Do you like to sing? • Do you like to sing?,Do you like to sing?,Do you like to sing?
8883,23959,I'm free.,I'm free. I'm free. I'm available.,I'm free. I'm free. I'm free. I'm free. I'm free.,I'm free. I'm free.,I'm free.
9000,24081,How is your family?,"How's your family, how's your family, how's your family?",How's your family? How's his family? How's your family?,How's the family? How's the family?,How's your family doing?
9339,24435,Who do you think you are?,Who do you think you are?,"Who do you think you are, who do you think you are, who do you think you are, who do you think you are, who do you think you are, who do you think you are, who do you think you are?",Who do you think you are? Who the hell do you think you are?,Who do you think you are?
9511,24616,Nothing happened.,Nothing happened.,Nothing happened. Nothing happened. Nothing happened.,Nothing happened.,It's okay.
9546,24657,Why didn't you come?,Why didn't you come?,Why didn't you come? □ Why didn't you come? □ Why didn't you come? □ Why didn't you come? □ Why didn't you come? □ Why didn't you come?,Why didn't you come? Why didn't you come?,Why didn't you come?
9561,24674,What did you buy?,What did you get?,What did you buy? • What did you buy? • What did you buy? • What did you buy? • What did you buy? • What did you buy? • What did you buy? • What did you buy? • What did you buy? • What did you buy? • What did you buy?,What did you buy?,What did you buy?
9563,24676,What are you reading?,What are you reading?,"What are you reading, what are you reading, what are you reading, what are you reading, what are you reading, what are you reading, what are you reading, what are you reading, what are you reading, what are you reading, what are you reading, what are you reading, what are you reading, what are you reading, what are you reading, what are you reading, what are you reading, what are you reading, what are you reading, what are you reading, what are you reading, what are you reading, what are you reading, what are you reading, what are you reading, what are you reading, what are you reading, what are reading, what are you reading, what are reading, what are you reading, what are reading, what are you reading, what are reading, what are you reading, what are reading, what are you reading, what are reading, what are you reading, what are reading?",What are you reading?,What are you reading?
9583,24698,What are you thinking about?,What are you thinking?,What are you thinking about? What are you thinking about? What are you thinking about?,What are you thinking? What are you thinking?,What are you thinking?
9588,24706,What do you mean?,What do you mean? What do you mean? What do you mean? What do you mean?,- What do you mean? - What do you mean? - What do you mean? - What do you mean? - What do you mean?,What are you talking about? What do you mean?,What do you mean?
9624,24759,What do you want to do?,What do you want to do?,"What are you gonna do? What are you gonna do, what are you gonna do, what are you gonna do, what are you gonna do, what are you gonna do, what are you gonna do, what are you gonna do?",What do you want to do? &lt;i&gt;What do you want to do? &lt;i&gt;What do you want to do?&lt;/i&gt; What do you want to do? &lt;i&gt;What do you want to do? &lt;i&gt;What do you want to do? &lt;i&gt;What do you want to do? &lt;i&gt;What do you want to do? &lt;i&gt;What do you want to do?,What do you want to do?
9629,24765,What would you like to drink?,What would you like to drink?,What would you like to drink? □ What would you like to drink? □ What would you like to drink? □ What would you like to drink? □ What would you like to drink? □ What would you like to drink?,What would you like to drink?,What would you like to drink? What would you like to drink?
9732,24885,What a pity!,That's too bad!,That's too bad.,I'm so sorry! I'm so sorry! I'm so sorry!,What a pity...
9795,24958,Why me?,Why me? Why me?,Why me?,Why me? Why me? Why me?,Why me?
9833,25000,What are you going to do?,What are you gonna do?,What are you gonna do? What are you gonna do?,What are you going to do?,What are you gonna do?
9858,25029,What's new?,What's new?,What's new?,Is everything okay? Is everything okay?,What's new?
9915,25095,Can I help you?,Can I help you? Can I help you? Can I help you?,Can I help you? • Can I help you? • Can I help you? • Can I help you? • Can I help you? • Can I help you?,Can I help you?,Can I help you? Can I help you? Can I help you?
9926,25106,What do you want me to do?,What do you want me to do?,- What do you want me to do? -What do you want me to do? -What do you want me to do? -What do you want me to do? -What do you want me to do? -What do you want me to do? -What do you want me to do? -What do you want me to do?,What do you want me to do?,What do you want me to do?
9976,25164,What's up?,What's going on?,What's up?,What's going on?,What's up?
10031,25229,Would you like anything to eat?,Would you like something to eat?,Would you like something to eat? Would you like something to eat? Would you like something to eat?,Do you want something to eat? Do you want something to eat?,Would you like something to eat?
10101,25313,Anything new?,What's new?,Anything new? Is there anything new?,What's going on?,Anything new?
10274,25498,How should I know?,How could I know? How could I know? How could you know?,How am I supposed to know? How am I supposed to know?,I don't know how I know. I don't know how I know.,How should I know?
10279,25504,I'm a free man.,I'm a free man.,I'm a free man. I'm a free man.,I'm a free man.,I'm a free man.
10284,25509,I'm a hero.,I'm a hero.,I'm a hero. I'm a hero.,I'm a hero.,I'm a hero.
10301,25528,Don't worry about me.,"Don't worry about me, don't worry about me, don't worry about me.",Don't worry about me. Don't worry about me. Don't worry about me. Don't worry about me. Don't worry about me. Don't worry about me.,Don't worry about me.,Don't worry about me.
10307,25534,Leave me alone!,Leave me alone! Leave me alone! Leave me alone!,Get off me! Get off me! Get off me! Get off me!,Leave me alone! Leave me alone! Leave me alone!,Leave me alone!
10311,25538,Are you talking to me?,"Are you talking to me, are you talking to me, are you talking to me, are you talking to me?",Are you talking to me? Are you talking to me? Are you talking to me? Are you talking to me? Are you talking to me? Are you talking to me?,Are you talking to me? Are you talking to me?,Are you talking to me?
10406,25640,The king abused his power.,The king misused his authority.,The king abused his power. The king abused his power.,The king abused his power.,The King abused his power.
10449,25684,Did you buy a round-trip ticket?,You bought a round trip ticket?,Did you buy a round-trip ticket? did you buy a round-trip ticket? did you buy a round-trip ticket?,Did you buy a round trip ticket?,Did you buy a return ticket?
10682,25930,Action!,Action!,Action!,Let's start acting!,Action!
10706,25954,Draw a circle.,Draw a circle.,Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle. • Draw a circle.,Draw a circle.,Draw a circle.
10903,26170,Can you speak English?,Do you speak English?,Do you speak English?,Can you speak English?,Do you speak English?
10995,26277,English is an international language.,English is an international language. English is an international language.,English is an international language.,English is an international language.,English is an international language.
11099,26397,I wish I could swim.,I wish I could swim.,I wish I could swim.,I wish I could swim. I wish I could swim. I wish I could swim.,I wish I could swim.
11336,26653,You are lying.,You're lying.,You're lying. You're lying. You're lying. You're lying.,"You're lying, aren't you?",You're lying.
12245,27641,Leave me alone.,"Leave me alone, leave me alone, leave me alone, leave me alone.","Leave me alone, leave me alone, leave me alone, leave me alone, leave me alone.",Leave me alone! Leave me alone! Leave me alone! Leave me alone! Leave me alone!,Leave me alone.
12400,27808,He didn't say a word.,"He didn't say a word, he didn't say a word, he didn't say a word.",He didn't say a word. He didn't say a word. He didn't say a word. He didn't say a word.,He didn't say anything. He didn't say anything.,He didn't say a word.
12586,28006,What did he say?,What did he say?,What did he say?,What did he say?,What did he say?
12698,28129,Wrong.,Wrong.,Wrong.,"No, it's not.",Wrong.
12727,28159,My stomach hurts.,"My stomach hurts, my stomach hurts.",My stomach hurts.,I have pain in my stomach. I have pain in my stomach. I have pain in my stomach.,My stomach hurts.
13148,28607,Not bad.,Not bad... not bad!,Not bad.,It's not bad.,Nice.
13494,28989,I like pizza very much.,I really like pizza.,I really like pizza. I really like pizza.,I love pizza.,I really like pizza.
13554,29049,I am at home.,I'm home.,I'm home. I'm home.,I'm at home. I'm at home. I'm at home.,I'm home.
14079,29600,Linda loves chocolate.,Linda loves chocolate.,Linda likes chocolate. Linda loves chocolate.,Linda likes chocolate.,Linda loves chocolate.
14090,29612,I am eating an apple.,I'm eating an apple now. I'm eating an apple. I'm eating an apple.,I'm eating an apple. I'm eating an apple. I'm eating an apple.,I'm eating an apple. I'm eating an apple now. I'm eating an apple.,I eat apples.
14108,29632,The apple fell from the tree.,The apple fell out of the tree.,The apple fell from the tree. The apple fell from the tree.,An apple fell from the tree.,The apple fell from the tree.
14125,29653,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865. Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.
14219,29749,I'm listening to the radio.,I'm listening to the radio.,I'm listening to the radio. I'm listening to the radio.,I'm listening to the radio. I'm listening to the radio.,I'm listening to the radio.
14232,29763,Turn on the radio.,Turn on the radio.,Turn on the radio. Turn on the radio. Turn on the radio.,Turn on the radio.,Turn on the radio.
14311,29846,The lion is the king of the jungle.,The lion is king of the jungle.,The lion is the king of the jungle.,The lion is the king of the jungle.,The lion is king of the jungle.
14382,29922,Listen carefully.,"Listen carefully, listen carefully, listen carefully.",Listen carefully. • Listen carefully. • Listen carefully. • Listen carefully. • Listen carefully. • Listen carefully. • Listen carefully.,Listen carefully. Listen carefully. Listen carefully!,Listen carefully.
14483,30030,School starts in September in Europe.,The school starts in September in Europe.,The school begins in September in Europe. The school begins in September in Europe.,School begins in September in Europe.,School in Europe starts in September.
14506,30054,Sweet dreams!,Sweet dreams!,Sweet dreams!,Have a good dream.,Sweet dreams!
14536,30085,Have a nice day.,Have a nice day. Have a nice day! Good day to you.,Have a good day.,Have a nice day.,Have a nice day.
14575,30126,Drive slowly.,Slow down.,Drive slowly. • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly • Drive slowly.,Drive slowly.,Drive slowly.
14751,30316,Hi! How are you?,"Hey, how are you? Hey, how are you? Hello, how are you?",How are you?,Hey! How are you?,How are you?
14824,30397,Louder.,Louder. Louder.,Harder.,Make it bigger. Make it bigger.,"Louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder, louder."
14826,30399,"Louder, please.","Harder, please.","Harder, please. Harder, please.",Please speak louder.,"Louder, please."
14958,30542,Definitely!,Absolutely!,Definitely!,Oh Ha Ni!,Definitely!
15238,30835,I wouldn't do that if I were you.,I wouldn't do that if I were you.,I wouldn't do it if I were you. I wouldn't do it if I were you. I wouldn't do it if I were you.,I wouldn't do that if I were you.,I wouldn't do that if I were you.
15358,30970,Are you there?,Are you there?,Are you there? Are you there? Is it there? Are you there? Are you there?,Hello? Are you there?,Are you there?
15690,31334,Time is up.,Your time is up. Your time is up. Time is up.,Time's up. Time's up. Time's up. Time's up.,It's over.,Time's up.
15703,31348,We have no time.,We don't have time.,We don't have time.,There's no time. We don't have time.,We don't have time.
15728,31380,I have to leave now.,I have to leave now. I have to go now. I have to go now.,I have to leave now. I have to leave now.,I have to go now. I have to go now. I have to go now.,I have to go now.
15737,31390,"No, thank you.","No, thank you.","No, thank you.","No, thank you. I'm fine.","No, thank you."
15814,31476,"Could you repeat that, please?","Would you repeat that, please?","Could you tell me again, please?",Please say it again.,Please say it again. Can you say it again?
