,index,english,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
5007,19847,I haven't seen him for a long time.,I haven't seen him in a while.,I haven't seen him for a long time. I haven't seen him for a long time. I haven't seen him for a long time.,I haven't seen him for a long time.,I haven't seen him in a long time.
5224,20086,All that glitters is not gold.,Not all the gold that shines.,It is not gold all that shines.  Not all that shines is gold.,Not everything that shines is gold. Don't always think of the bearded one as your grandfather. Don't think of every bearded one as your grandfather.,Not all that glitters is gold.
5235,20097,You are beautiful.,You're beautiful. You're beautiful. You're beautiful. You're beautiful.,You're beautiful.,You're beautiful.,You're beautiful. You're beautiful. &gt;&gt; You're beautiful. &gt;&gt; You're beautiful. &gt;&gt;&gt; You're beautiful. &gt;&gt; You're beautiful. &gt;&gt; You're beautiful. &gt;&gt; You're beautiful. &gt;&gt; You're beautiful. &gt;&gt; You're beautiful. &gt;&gt;
5418,20288,I'm not feeling well.,I don't feel so good.,I don't feel well.,I don't feel well. I don't feel well.,I'm not feeling very well.
5471,20344,Take it easy.,Don't worry. Don't worry. Don't take it personally. Don't take it personally. Don't take it personally.,Relax.,Take it easy.,Don't worry.
5504,20379,Are you crazy?,Are you crazy? Are you crazy? Are you crazy? Are you crazy?,Are you out of your mind? Are you out of your mind? Are you out of your mind?,Are you crazy?,Are you crazy?
5514,20392,Never mind.,It doesn't matter. It's okay.,Forget it.,Don't worry about it. Don't worry about it.,Never mind.
5520,20398,Forget it.,Forget it. Forget it. Forget it. Forget it.,Forget it. Let it go.,Forget it.,"Come on, let's forget about it."
5526,20405,I'm exhausted.,I'm exhausted. I'm exhausted. I'm exhausted. I'm exhausted. I'm exhausted.,I'm exhausted. I'm exhausted. I'm exhausted.,I'm so tired. I'm so tired.,I'm exhausted.
5823,20719,Look out!,Look out!,Waters! Be careful.,Look out!,Watch out!
6087,21003,I want something sweet.,I want something sweet.,I want something sweet.,I want something sweet.,I want something sweet.
6174,21098,"Check, please.","Check, please.","The check, please. The check, please!","Check, please.","The bill, please!"
6197,21124,I feel cold.,I'm cold.,I'm cold.,I'm cold.,I'm cold.
6326,21259,It's a piece of cake.,It's easier to spit.,It's a piece of cake. It's a piece of cake. It's a piece of cake.,It's very easy to do that.,It's easy to spit!
6333,21267,Have fun.,Enjoy. - Have fun.,Have fun! Have fun! Have fun! Have fun. Have fun. Have fun. Have fun.,Have fun.,Enjoy.
6711,21678,Do you remember?,Do you remember? Do you remember? Do you remember?,Remember?,Do you remember?,Do you remember?
6961,21938,I want to go abroad.,I want to go abroad. ♪ I want to go abroad. ♪ I want to go abroad. ♪ I want to go abroad.,I want to go abroad.,I want to go abroad. I want to go abroad.,I want to go abroad.
7080,22061,Open up.,Open it. Open it.,Open up.,Open up.,Open it.
7136,22121,All aboard!,All aboard! All aboard! All aboard! All aboard!,All aboard!,Don't leave passengers below! Come on! Get aboard! All aboard!,All aboard!
7137,22122,"Good morning, everybody.","Good morning, everyone.","Good morning, everyone.","Good morning, everyone.","Good morning, everyone!"
8687,23749,Flowers bloom.,Flowers bloom.,The flowers bloom. The flowers are unbuttoned.,Flowers bloom.,Flowers bloom.
8818,23884,There is no smoke without fire.,There's no smoke without fire. There's no smoke without fire. There's no smoke without fire.,"When the river sounds, water carries.  There is no smoke without fire.","Where there's smoke, there's fire.",There's no smoke without fire.
8859,23929,Do you like singing?,Do you like to sing? ♪ Do you like to sing? ♪ Do you like to sing?,Do you like to sing? Do you like to sing?,Do you like to sing?,Do you like singing?
8883,23959,I'm free.,I'm free. I'm free. I'm free. I'm free.,I'm free.,I'm free.,I'm free.... I'm free..... I'm free.
9000,24081,How is your family?,How's your family? ♪ How's your family? ♪ How's your family doing?,How's your family?,How is your family?,How's your family?
9339,24435,Who do you think you are?,Who do you think you are? Who do you think you are? Who do you think you are? Who do you think you are? Who do you think you are?,Who do you think you are?  Who do you think you are?  Who do you think you are?  Who do you think you are?  Who do you think you are?  Who do you think you are?  Who do you think you are?  Who do you think you are?,Who do you think you are?,Who are you anyway?
9511,24616,Nothing happened.,Nothing happened. ♪ Nothing happened. ♪ Nothing happened.,Nothing happened.,Nothing happened.,Nothing happened.
9546,24657,Why didn't you come?,Why didn't you come? Why didn't you come? Why didn't you come? Why didn't you come? Why didn't you come?,Why didn't you come?,Why didn't you come?,Why didn't you come?
9561,24674,What did you buy?,What did you buy? What did you buy? What did you buy? What did you buy? What did you buy? What did you buy?,What did you buy?,What did you buy?,What did you buy?
9563,24676,What are you reading?,What are you reading? ♪ What are you reading? ♪ What are you reading? ♪ What are you reading? ♪ What are you reading? ♪ What are you reading? ♪ What are you reading?,What are you reading?,What are you reading?,What are you reading?... What are you reading?... What are you reading?
9583,24698,What are you thinking about?,What are you thinking? ♪ What are you thinking? ♪ What are you thinking? ♪ What are you thinking now?,What are you thinking?  What are you thinking?  What do you think?  What are you thinking about?,What are you thinking about?,What are you thinking?
9588,24706,What do you mean?,What do you mean? What do you mean? What do you mean? What do you mean? What do you mean? What do you mean?,What do you mean?  What do you mean?  What do you mean?  What do you mean?,What do you mean?,What do you mean?
9624,24759,What do you want to do?,What do you want to do? What are you going to do? What are you going to do?,What do you want to do? What do you want to do?,What do you want to do? What do you want to do? What do you want to do?,What do you want to do?
9629,24765,What would you like to drink?,What would you like to drink? What would you like to drink? What would you like to drink? What would you like to drink?,What do you want to drink?,What would you like to drink?,What would you like to drink?... What would you like to drink?
9732,24885,What a pity!,That's too bad. That's too bad.,It's a shame! It's a shame. It's a shame. It's a shame!,What a pity.,I'm sorry!........
9795,24958,Why me?,Why me?,Why me?,Why me? Why me? Why me? Why me?,Why me?
9833,25000,What are you going to do?,What are you gonna do? What are you gonna do?,What are you gonna do?,What are you going to do? What are you going to do?,What are you going to do?
9858,25029,What's new?,What's new?,What's new?,What's the latest?,What's new?
9915,25095,Can I help you?,Can I help you? ♪ Can I help you? ♪ Can I help you? ♪ Can I help you? ♪ Can I help you? ♪ Can I help you? ♪ Can I help you?,Can I help you? Can I help you? Can I help you with something? Can I help you with something? Can I help you with something? Can I help you with something? Can I help you with something?,"Can I help you, can I help you?",Can I help you?.... Can I help you?.....
9926,25106,What do you want me to do?,What do you want me to do? What do you want me to do? What do you want me to do? What do you want me to do? What do you want me to do?,What do you want me to do?  What do you want me to do?  What do you want me to do?  What do you want me to do?  What do you want me to do?,What do you want me to do?,What do you want me to do?
9976,25164,What's up?,How's it going?,What's up? What's up?,What's up?,How are things?
10031,25229,Would you like anything to eat?,Do you want something to eat?,Would you like something to eat? Do you want something to eat? Do you want something to eat? Do you want something to eat? Do you want something to eat? Do you want something to eat?,Would you like something to eat?,Do you want something to eat?
10101,25313,Anything new?,Anything new?,Nothing new?,Anything new?,What's new?
10274,25498,How should I know?,How do I know? How do I know? How do I know? How do I know?,How would I know?,How should I know?,How should I know?
10279,25504,I'm a free man.,I'm a free man.,I'm a free man.,I'm a free man.,I'm a free man.
10284,25509,I'm a hero.,I'm a hero. I'm a hero.,I'm a hero.,I'm a hero.,I'm a hero. I'm a hero.
10301,25528,Don't worry about me.,Don't worry about me. Don't worry about me. Don't worry about me. Don't worry about me. Don't worry about me.,Don't worry about me. Don't worry about me.,Don't worry about me.,Don't worry about me.
10307,25534,Leave me alone!,Leave me alone! Leave me alone! Leave me alone!,Leave me alone! Leave me alone! Leave me alone! Leave me alone!,Leave me alone!,Leave me alone!
10311,25538,Are you talking to me?,Are you talking to me? ♪ Are you talking to me? ♪ Are you talking to me? ♪ Are you talking to me? ♪ Are you talking to me? ♪ Are you talking to me? ♪ Are you talking to me? ♪ Are you talking to me?,Are you talking to me?,Are you talking to me?,Are you talking to me?
10406,25640,The king abused his power.,The King abused power.,The king abused his power.,"The king abused his power, and the king abused his authority.",The king abused his power.
10449,25684,Did you buy a round-trip ticket?,Did you buy the ticket back and forth?,Did you buy a round trip ticket? Did you buy a round trip ticket? Did you buy a round trip ticket?,Did you buy a round-trip ticket?,Did you buy a round trip ticket?
10682,25930,Action!,"Let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go!",Action!,Action!,Let's go!
10706,25954,Draw a circle.,Draw a circle. ♪ Draw a circle. ♪ Draw a circle. ♪ Set a circle. ♪ Set a circle.,Draw a circle.,Draw a circle.,Draw a circle.
10903,26170,Can you speak English?,Do you speak English?,Can you speak English?,Can you speak English? Can you speak English?,Do you speak English?
10995,26277,English is an international language.,English is an international language.,English is an international language.,English is an international language.,English is an international language.
11099,26397,I wish I could swim.,I wish I could swim. I wish I could swim.,I wish I could swim. I wish I could swim. I wish I could swim. I wish I could swim.,I wish I could swim.,I wish I could swim.
11336,26653,You are lying.,You're lying. You're lying. You're lying.,You're lying. You're lying. You're lying.,You're lying.,You're lying.
12245,27641,Leave me alone.,Leave me alone. ♪ Leave me alone. ♪ Leave me alone. ♪ Leave me alone!,Leave me alone. Leave me alone. Leave me alone. Leave me alone.,Leave me alone.,Leave me alone.
12400,27808,He didn't say a word.,He didn't say a word. ♪ He didn't say a word.,He hasn't said a peep. He didn't say anything.,He didn't say a word.,He didn't say a word.
12586,28006,What did he say?,What did he say?,What did he say?,What did he say? What did he say?,What did he say?
12698,28129,Wrong.,Wrong.,False.  Wrong.  Wrong.,"Wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong,",Incorrect. יהוה Incorrect. ▸ Error.
12727,28159,My stomach hurts.,My stomach hurts. My stomach hurts. My stomach hurts.,My stomach aches. My stomach aches. My stomach aches. My stomach aches. My stomach aches.,My stomach hurts.,My stomach hurts.
13148,28607,Not bad.,Not bad.,Not bad.,Not bad.,Not bad.
13494,28989,I like pizza very much.,I really like pizza.,I really like pizza.,I love pizza.,I like pizza very much.
13554,29049,I am at home.,I'm home.,I'm home. I'm home now.,I'm home. I'm home.,I'm home.
14079,29600,Linda loves chocolate.,Linda likes chocolate.,Linda loves chocolate.,Linda likes chocolate.,Linda loves chocolate.
14090,29612,I am eating an apple.,I eat an apple.,I'm eating an apple. I'm eating an apple. I'm eating an apple.,I'm eating an apple. I'm eating an apple. I'm eating an apple.,I'm eating an apple.
14108,29632,The apple fell from the tree.,The apple fell from the tree.,The apple fell from the tree.,The apple fell from the tree.,The apple fell from the tree.
14125,29653,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.
14219,29749,I'm listening to the radio.,I'm listening to the radio.,I'm listening to the radio.,I'm listening to the radio.,I'm listening to the radio.
14232,29763,Turn on the radio.,Turn on the radio. ♪ Turn on the radio. ♪ Turn on the radio. ♪ Turn on the radio. ♪ Turn on the radio. ♪ Turn on the radio. ♪ Turn on the radio. ♪ Turn on the radio.,Turn on the radio. I turned on the radio.,Turn on the radio.,Turn on the radio.
14311,29846,The lion is the king of the jungle.,The lion is the king of the jungle. The lion is the king of the jungle. The lion is the king of the jungle.,The lion is the king of the jungle.,The lion is the king of the forest.,The lion is the king of the jungle.
14382,29922,Listen carefully.,Listen carefully!,Listen carefully.,Listen carefully.,Listen carefully.
14483,30030,School starts in September in Europe.,"In Europe, school starts in September.","In Europe, classes start in September.",School in Europe begins in September.,In Europe school begins in September.
14506,30054,Sweet dreams!,Sweet dreams!,Happy dreams! Sweet dreams!,Sweet dreams!,Sweet dreams!
14536,30085,Have a nice day.,Have a nice day.,Have a nice day.,Have a nice day.,Good afternoon.
14575,30126,Drive slowly.,Drive slowly. Drive slowly.,Drive slowly.,Drive slowly.,Drive slowly.
14751,30316,Hi! How are you?,"Hey, how you doing? Hey, how are you? Hey, how's it going?",Hello! How are you? Hello! How are you? Hello! How are you?,How are you?,"Hi, how are you?"
14824,30397,Louder.,Louder.,Higher.,Louder.,Louder.
14826,30399,"Louder, please.","Louder, please.","Stronger, please. Speak louder, please.","Louder, please.","Louder, please."
14958,30542,Definitely!,"Sure, sure, sure, sure, sure, sure, sure!",Definitely!,Exactly!,Of course!
15238,30835,I wouldn't do that if I were you.,"If I were you, I wouldn't do it. If I were you, I wouldn't do it. If I were you, I wouldn't do it.",If I were you I wouldn't do it. If I were you I wouldn't do it. I wouldn't do it if I were you. I wouldn't do it if I were you. I would recommend not doing it.,I wouldn't do that if I were you.,I wouldn't do that if I were you.
15358,30970,Are you there?,Are you there?,Are you?,Are you there?,Are you there?
15690,31334,Time is up.,Time's up. Time's up.,Time's up.,Time's up.,Time is up.
15703,31348,We have no time.,We don't have time.,We don't have time.,We don't have time.,We don't have time.
15728,31380,I have to leave now.,I have to go now. ♪ I have to go now. ♪ I have to go now. ♪ I have to go now.,I have to go now. I have to go now. I have to go now. I have to go now. I have to go now. I have to go now. I have to go now.,I have to go now.,I have to go.
15737,31390,"No, thank you.","No, thank you.","No, thank you.","No, thanks.","No, thanks."
15814,31476,"Could you repeat that, please?","Could you repeat it, please? ♪ Excuse me, could you repeat it? ♪ Excuse me, could you repeat it?","Could you repeat it, please?",Could you please repeat that?,Could you please repeat that?
15855,31522,Please show me another one.,Please show me another one. Please show me another one. Please show me another one. Please show me another one. Please show me another one. Please show me another one. Please show me another one.,Please show me another one.,Please show me another one.,Please show me another one.
16000,31683,It's already seven.,It's seven.,It's 7 o'clock now.,It's already 7:00.,It's already seven o'clock.
16038,31723,Try again.,Try again. ♪ Try again. ♪ Try again.,Try again. Try again. Try again. Try again. Try again. Try again.,Try again.,Try again..... try again..... try again! try again.
16201,31892,Mary is tall.,Mary is tall. Marie is tall.,Mary is tall.,Mary is tall.,Mary is tall.
16209,31900,Mary understands Chinese.,Mary understands Chinese.,Maria understands Chinese. Maria understands Chinese.,Mary understands Chinese.,Mary understands Chinese.
16216,31907,Mary ran.,Maria ran.,Mary ran.,Mary ran.,Mary ran.
16371,32071,You're disgusting!,You're disgusting!,You're disgusting!,You're disgusting!,You're disgusting!
16803,32527,I agree completely.,I totally agree. I totally agree. I totally agree.,I totally agree.,I totally agree.,I completely agree.
16844,32569,I don't know yet.,I don't know yet. ♪ I don't know yet. ♪ I don't know yet.,I don't know yet.,I don't know yet. I still don't.,I don't know yet.
16903,32635,See you again.,See you later.,See you next time. See you later.,I'll see you again.,See you later.
16937,32672,See you soon!,See you later!,See you later! See you soon!,See you soon!,See you soon!
17093,32841,A friend in need is a friend indeed.,A friend gets to know in trouble. ♪ Friends get to know in trouble.,A friend in need is a real friend.,A true friend is a true friend who is there when you need him.,You know your friends in trouble.
17588,33354,Take a taxi to the hotel.,Take a taxi to the hotel. Take a taxi to the hotel. Take a taxi to the hotel. Take a taxi to the hotel.,Take a taxi to the hotel.,Take a taxi to the hotel.,Take a taxi to a hotel.
17763,33536,I don't like coffee.,I don't like coffee.,I don't like coffee.,I don't like coffee.,I don't like coffee.
17933,33712,I feel homesick.,I miss the house.,I miss my home.,I feel homesick.,I miss home.
17991,33771,Do you have a pen?,Do you have a pen? Do you have a pen? Do you have a pen? Do you have a pen? Do you have a pen?,Do you have a pen?,Do you have a pen?,Do you have a pen?
18223,34011,Do your best.,Try!,Do your best.,Do your best.,Do your best.
18989,34819,It's brand new.,It's brand-new. It's brand-new. It's brand-new. It's brand-new.,It's completely new.,He's brand-new.,It's brand new. It's brand new.
19015,34846,"Two beers, please.","Two beers, please.","Two beers, please.","Two beers, please.","Two beers, please."
19153,34991,Do you like playing volleyball?,Do you like to play volleyball? ♪ Do you like to play volleyball? ♪ Do you like to play volleyball? ♪ Do you like to play volleyball?,Do you like to play volleyball? Do you like to play volleyball?,Do you like to play volleyball?,Do you like playing volleyball?
19253,35096,Who wrote Hamlet?,Who wrote Hamlet?,Who wrote Hamlet?,Who wrote Hamlet?,Who wrote Hamlet?
19520,35385,Let's take a bus.,Let's go by bus. Let's go by bus. Let's go by bus.,Let's catch a bus.,Let's get on the bus.,Let's take a bus.
19601,35471,Fill the bucket with water.,Fill the bucket with water. ♪ Fill the bucket with water. ♪ Fill the bucket with water. ♪ Fill the bucket with water. ♪ Fill the bucket with water.,Fill the bucket with water.,Fill the bucket with water.,Fill the bucket with water.
19616,35489,Don't talk nonsense!,Don't talk nonsense. Don't talk nonsense. Don't talk nonsense. Don't talk nonsense.,Don't talk nonsense! Don't talk nonsense! Don't talk nonsense!,Don't be ridiculous!,Don't talk nonsense!
19708,35586,Here are your keys.,Here are your keys. Here are your keys.,Here are your keys. Here are your keys.,Here are your keys.,Here are your keys.
20167,36088,What?,What?,What?,What?,What?
20174,36097,How cute!,That's cute!,What a charm!,How cute!,How sweet!
20359,36297,Everything is ready.,It's all set.,Everything is ready.,It's all set.,Everything's ready.
20396,36344,Why is he here?,Why is he here?,Why are you here?,Why is he there? Why is he here?,Why is he here?
20451,36405,Why are you crying?,Why are you crying? ♪ Why are you crying? ♪ Why are you crying? ♪ Why are you crying? ♪ Why are you crying? ♪ Why are you crying? ♪ Why are you crying? ♪ Why are you crying? ♪ Why are you crying? ♪ Why are you crying? ♪ Why are you crying? ♪ Why are you crying?,Why are you crying?  Why are you crying?  Why are you crying?,Why are you crying? Why are you crying? Why are you crying?,Why are you crying?
20459,36413,Why did you quit?,Why did you quit? Why did you quit? Why did you quit?,Why did you quit?,Why'd you quit?,Why did you quit?
20465,36419,Why?,Why?,Why?,"Why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why, why?",Why?
21008,37011,Tom goes to school on foot.,Tom walks to school.,Tom goes to school walking.,Tom goes to school on foot.,Tom goes to school on foot.
21012,37015,Tom likes to knit.,Tom likes to tie up.,Tom likes to knit.,Tom likes knitting.,Tom likes to knit.
21025,37029,Tom frowned.,Tom frowned. ♪ Tom got drunk.,Tom frowned.,Tom frowned.,Tom frowned.
21049,37053,Tom is interested in mountaineering.,Tom is into climbing.,Tom's interested in mountaineering.,Tom is interested in mountain climbing.,Tom is interested in mountaineering.
21073,37077,Tom is a student.,Tom is a student.,Tom is a student. Tom is a student.,Tom is a student.,Tom is a student.
21078,37083,Tom is interested in mathematics.,Tom is interested in mathematics.,Tom's interested in math.,Tom is interested in mathematics.,Tom is interested in mathematics.
21093,37098,Tom drove the car.,Tom drove the car. Tom drove the car.,Tom drove the car. Tom drove the car.,Tom drove the car.,Tom drove the car.
21115,37121,Tom gave me a pen.,Tom gave me a pen.,Tom gave me a pen. Tom gave me a pen.,Tom gave me a pen.,Tom gave me a pen.
21156,37162,Tom is absent.,Tom isn't here. Tom isn't here.,Tom's missing.,There's no Tom.,Tom is absent.
21164,37170,Tom looks pale.,Tom looks pale. Tom looks pale.,Tom looks pale.,Tom looks pale.,Tom looks pale.
21178,37185,Tom likes swimming.,Tom likes to swim.,Tom likes to swim.,Tom likes swimming.,Tom likes swimming.
21191,37199,Tom walks slowly.,Tom is walking slowly. Tom is walking slowly.,Tom walks slowly. Tom walks slowly.,Tom walks slowly.,Tom is walking slowly.
21217,37226,Does Tom like tomatoes?,Does Tom like tomatoes?,Tom likes tomatoes?,Does Tom like tomatoes?,Does Tom like tomatoes?
21224,37234,Where was Tom born?,Where was Tom born?,Where was Tom born?,Where was Tom born?,Where was Tom born?
21225,37236,Tom finally gave up smoking.,Tom finally quit smoking. ♪ Tom finally quit smoking. ♪ Tom finally quit smoking.,Tom finally quit smoking.,Tom finally stopped smoking.,Tom finally gave up smoking. □ Tom finally gave up smoking.
21233,37244,Tom likes cheese.,Tom likes cheese. Tom likes cheese.,Tom likes cheese.,Tom likes cheese.,Tom likes cheese.
21355,37370,Tom and I are friends.,Tom and I are friends.,Tom and I are friends.,Tom and I are friends.,Tom and I are friends.
21376,37392,Aren't you Tom?,Aren't you Tom?,Aren't you Tom?,Aren't you Tom?,Aren't you Tom?
21420,37437,"How are you, Tom?","How are you, Tom? How are you, Tom?","How are you, Tom?","How are you, Tom?","How are you doing, Tom?"
21493,37512,Where does it hurt?,Where does it hurt? Where does it hurt?,Where does it hurt?  Where does it hurt?  Where does it hurt?,Where does it hurt?,Where's the pain?.......
21787,37840,It was really cheap.,It was very cheap.,It was very cheap. It was really cheap.,It was really cheap.,And it was very cheap. &gt;&gt; It was very cheap. &gt;&gt; It was very cheap. &gt;&gt; It was very cheap. &gt;&gt; It was very cheap. &gt;&gt; It was very cheap. &gt;&gt;
21838,37894,It doesn't matter.,It doesn't matter. It doesn't matter. It doesn't matter.,It doesn't matter. It doesn't matter. It doesn't matter. It doesn't matter. It doesn't matter.,It doesn't matter. It doesn't matter.,It doesn't matter.
21871,37928,Which book is yours?,Which is your book? Which is your book? What is your book?,What's your book? What's your book?,Which book is yours?,Which book is yours?
21919,37981,You may choose whichever you want.,You can choose whatever you want.,You can choose the one you want. You can choose the one you want.,You can pick anything you want.,You can choose whichever you want.
22065,38153,Where do you work?,Where do you work? Where do you work? Where do you work?,Where do you work?  Where do you work?  Where do you work?  Where do you work?,Where do you work?,Where do you work?
22275,38387,I'm sorry.,Excuse me. Excuse me. I'm sorry. I'm sorry. I'm sorry.,I'm sorry.,I'm sorry. I'm sorry.,I'm sorry. I'm sorry.
22280,38392,I don't get it.,♪ I don't understand ♪ ♪ I don't understand ♪ ♪ I don't understand ♪ ♪ I don't understand ♪ ♪ I don't understand ♪,I don't understand. I don't understand. I don't understand. I don't get it.,I don't understand. I don't understand him.,I don't understand.
22349,38464,Please drive carefully.,"Drive carefully, please.","Drive carefully, please.",Please drive carefully.,Please drive carefully.
22414,38559,Please make yourself comfortable.,Please be comfortable. Please be comfortable. Please be comfortable.,"Make yourself comfortable, please.",Please be comfortable.,Please make yourself comfortable.
22420,38571,"Sit down, please.","Sit down, please. Please. Sit down, please.",Please sit down. Please sit down. Please sit down. Please sit down. Please sit down. Please sit down. Please sit down. Please sit down. Please sit down.,"Sit down, please.",Please sit down.
22633,38820,Please forgive me.,"Forgive me, please. Please forgive me. Forgive me, please. Excuse me, please.",Please forgive me. Please forgive me.,Please forgive me.,Please forgive me.
22726,38926,How are you doing?,How are you doing? How are you doing? How are you doing? How are you doing?,How are you doing?,How are you?,How are you?.... how are you?
22731,38932,Where's the restroom?,Where's the bathroom?,Where is the bathroom?  Where is the bathroom?  Where is the service?,Where's the bathroom?,Where is the bathroom?
22751,38955,German is not an easy language.,German is a difficult language.,German is not a simple language.,German is not an easy language.,German is not an easy language.
22919,39148,Turn off the TV.,Turn off the TV. ♪ Turn off the TV. ♪ Turn off the TV. ♪ Turn off the TV. ♪ Turn off the TV. ♪ Turn off the TV.,Turn off the TV. Turn off the TV. Turn off the TV.,Turn off the TV. Turn off the TV.,Turn off the TV.
22935,39164,I watch television.,I'm watching TV.,I'm watching TV. I'm watching TV.,I'm watching TV.,I watch TV.
23362,39619,There is an orange on the table.,There's an orange on the table.,There is an orange on the table. There is an orange on the table.,There's an orange on the table. There's an orange on the table.,There is an orange on the table.
23726,40019,Let me see it.,Let me see.,Let me see it.,Let me see that.,Let me see.
23755,40051,Step aside.,Step aside. Step aside. Move aside.,Step aside.,Step aside.,Stand aside.
24039,40350,No one can help me.,No one can help me. ♪ No one can help me. ♪ ♪ No one can help me.,No one can help me.,No one can help me. No one can help me.,Nobody can help me.
24119,40434,Who cares?,Who cares? Who cares?,Who cares?,Who cares?,Who cares?
24301,40632,Stop smoking.,Stop smoking. Stop smoking.,Stop smoking.,Stop smoking.,Stop smoking.
24829,41207,Most Americans like hamburgers.,Most Americans like hamburgers.,Most Americans like burgers.,Most Americans like hamburgers.,Most Americans like hamburgers.
25162,41556,I didn't mean it.,That's not what I meant. ♪ I didn't mean to. ♪ I didn't mean to. ♪ I didn't mean to. ♪ I didn't mean to. ♪ I didn't mean to. ♪ I didn't mean to. ♪ I didn't mean to. ♪ I didn't mean to. ♪ I didn't mean to.,I didn't do it aposta. I didn't do it on purpose. I didn't mean it.,That's not what I meant.,I didn't mean it.
25178,41572,Don't say that.,Don't say that. Don't say that. Don't say that.,Don't say that. Don't say that!,Don't say that. Don't say that.,Don't say that.
25310,41719,Turn it off.,Turn it off. Turn it off. Turn it off. Turn it off. Turn it off.,Turn it off.,Turn it off.,Turn it off.
25413,41825,"Give it to me, please.","Give it to me, please. Give it to me, please. Give it to me, please. Give it to me, please.","Give it to me, please.","Give it to me, please.",Please give it to me.
25435,41848,Let me see that.,Let me see. Let me see.,Let me see that.,Let me see him. Let me see him.,Let me see.
25615,42038,It's about the size of an egg.,It's about the size of an egg. It's about the size of an egg. It's about the size of an egg. It's about the size of an egg.,It is about the size of an egg. It is about the size of an egg.,It is about the size of an egg.,It's about the size of an egg.
25800,42235,Whose idea was it?,Whose idea was that?,Whose idea was that?,Whose idea was that?,Whose idea was that?
25903,42344,Is it yours?,Is this yours? Is it yours? Is it yours? Is it yours? Is it yours?,Is it yours? Is it yours? Is it yours?,Is he yours?,Is it yours?
26116,42572,I put it in the drawer.,I put it in the box. ♪ I put it in the box. ♪ I put it in the box. ♪ I put it in the box. ♪ I put it in the box. ♪ I put it in the box. ♪ I put it in the box. ♪ I put it in the box.,I left it in the drawer. I put it in the drawer.,I put it in the drawer.,I put it in the drawer.
26373,42849,What is it?,What's that?,What's that?,What's that?,What is this?
26708,43211,What does it mean?,What does that mean?,What does that mean?,What does that mean? What does that mean? What does that mean? What does that mean?,What does that mean?
27366,43899,Give me the book.,Give me the book. Give me the book.,Give me the book.  Give me that book.  Give me the book.,Give me the book.,Give me the book.
27393,43928,Where is the book?,Where's the book?,Where's the book?,Where's the book?,Where is the book?
30161,46819,The car is ready.,Car's ready.,The car's ready.,Car's ready.,Car's ready.
31360,48085,What does this word mean?,What does that word mean? What does that word mean?,What does this word mean? What does this word mean?,What does that word mean?,What is the meaning of this word?
31515,48251,The dog is dying.,The dog is dying.,The dog is dying. The dog is dying.,The dog is dying.,The dog is dying.
