,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
1006,2322,It's not important.,It doesn't matter.,It's not important.,It's not important.,It's not important.,It doesn't matter.,It's not important.,It's not important.,It doesn't matter.,It doesn't matter.,It doesn't matter.,It's not important.,It's okay.,It doesn't matter.
1007,2323,I don't care.,I don't care.,I don't care.,I don't care.,I don't care.,I don't care.,I'm beeping.,I don't care.,It doesn't matter at all.,I don't care.,I don't care.,I don't care.,I don't care.,I don't care.
1012,2329,Fifty-two per cent of British women prefer chocolate to sex.,Fifty-two percent of British women like chocolate over sex.,Fifty-two percent of British women prefer chocolate to sex.,Fifty-two percent of British women choose chocolate instead of sex.,Fifty-two percent of British women prefer chocolate over sex.,Fifty-two percent of British women prefer chocolate to sex.,Fifty-two percent of British women prefer chocolate to sex.,52 percent of British women prefer chocolate to sex.,Fifty-two percent of British women prefer chocolate to sex.,Fifty-two percent of British women prefer chocolate to sex.,Fifty-two per cent of British women prefer chocolate to sex.,Fifty-two percent of British women prefer chocolate instead of sex.,Fifty-two percent of British women prefer chocolate to sex.,Fifty - two percent of British women prefer chocolate to sex.
1026,2344,Better late than never.,To make up for it.,Better late than never.,Better late than never.,Better late than never.,Better late than never.,Better late than never.,Better late than never.,Better late than nothing.,Better late than never.,Better late than never.,Better late than never.,Better late than never.,Better late than never.
1027,2345,"Like father, like son.",And the father shall have his son.,"Like father, like son.",An apple doesn't fall far from a tree.,"Like father, like son.","Like the father, like the son.","Like father, like son.","Like father, like son.","If my father is my father, my son is my son.","Like father, like son.","As a father, so is a son.","Such a stick, such a splinter.",He looks just like his father.,What a father is such a son.
1030,2350,All cats are grey in the dark.,Cats are gray in the dark.,"In the dark, all cats are gray.",All cats are gray in the dark.,At night all cats are grey.,"At night, all cats are grey.",All cats are gray in the dark.,At night all cats are grey.,Every cat in the night is gray.,"In the dark, all cats are gray.","At night, all the cats are gray.",At night all cats are brown.,All cats are gray in the dark.,All cats are gray at night.
1032,2352,No news is good news.,No news is good news.,No news is good news.,It's a good sign if you don't hear from them.,"No news, good news.","No news, good news.",The absence of news is good news.,"No new, good new.",I haven't heard from you safely.,No news is good news.,No news is good news.,"If there's no news, that's good news.",It's good news that there's no news.,The absence of news is good news.
1048,2368,He's a good person.,He's a good man.,He's a good man.,He's a good person.,He's a good person.,He's a good person.,He's a good man.,He's a decent person.,He's a good man.,He's a good person.,He's a good man.,She's a good person.,He's a good person.,He is a good man.
1050,2370,Enjoy your meal!,Bon appétit!,Enjoy your meal!,Bon appétit!,Enjoy!,Enjoy!,Bon appetit!,Enjoy your meal!,Enjoy your meal.,Enjoy!,Enjoy your meal!,Good appetite!,Bon appétit!,Enjoy your meal!
1057,2378,Make yourself at home.,Just be at home.,Make yourself at home.,Make yourself at home.,Make yourself at home.,Make yourself at home.,Make yourself at home.,Make yourself at home.,Use whatever you want.,Make yourself at home.,Make yourself at home.,You're at home.,Make yourselves at home.,Make yourself at home.
1068,2389,I don't want it anymore.,I don't want it anymore.,I don't want it anymore.,I don't want it anymore.,I don't want any more.,I don't want this anymore!,I don't want it anymore.,I don't want any more.,I don't want it anymore.,I don't want it anymore.,I don't want that anymore.,I don't want it anymore.,I don't want him anymore.,I don't want it anymore.
1080,2401,I thought it was true.,I thought it was true.,I thought it was true.,I thought it was true.,I thought it was true.,I thought it was true.,I thought it was true.,I thought it was true.,I thought it was true.,I thought it was true.,I thought it was true.,I thought it was true.,I thought that was true.,I thought it was true.
1088,2409,I went to drink a beer with friends.,I went to have a beer with a friend.,I went out for a beer with friends.,I went out for a beer with my friends?,I went for a beer with friends.,I went out for a beer with friends.,I went for a beer with some friends.,I had a beer with some friends.,I went for a beer with a friend.,I went for a beer with my friends.,I went out for a beer with my friends.,I went to have a beer with the friends.,I went with my friends for a beer.,I went to drink a beer with my friends.
1091,2412,They quarreled.,They had a fight.,They were fighting.,They had a fight.,They had a fight.,They were fighting.,They were fighting.,They had a fight.,They argued.,They had a fight.,They had a fight.,They argued.,They argued.,They quarreled.
1092,2413,I ate caviar.,I ate caviar.,I ate caviar.,I ate caviar.,I ate caviar.,I ate caviar.,I had caviar.,I ate caviar.,I ate caviar.,I ate caviar.,I ate caviar.,I ate caviar.,I ate caviar.,I ate caviar.
1097,2418,How much is it?,How much is this?,How much is it?,How much is it?,How much does it cost?,How much is it?,How much is it?,How much is it?,How much?,How much is it?,How much is this?,How much is it?,How much is it?,How much does it cost?
1101,2423,Did you leave a tip?,Did you guys tip?,Did you tip him?,Did you leave a tip?,Did you leave a tip?,Did you leave a tip?,Did you leave a tip?,Did you leave your tip?,Did you put the chip down?,Did you leave a tip?,Did you leave it for tea?,Did you tip?,Did you leave a tip?,Did you leave a tip?
1102,2424,Don't forget the ticket.,Don't forget the tickets.,Don't forget the ticket.,Don't forget the flag.,Don't forget the ticket.,Don't forget the ticket.,Don't forget the card.,Don't forget the ticket.,Don't forget your ticket.,Don't forget your ticket.,Don't forget the ticket.,Don't forget the card.,Don't forget the ticket.,Don't forget your ticket.
1107,2429,I want you to tell me the truth.,I want you to tell me the truth.,I want you to tell me the truth.,I want you to tell me the truth.,I want you to tell me the truth.,I'd like you to tell me the truth.,I want you to tell me the truth.,I'd like you to tell me the truth.,I want you to tell me the truth.,I want you to tell me the truth.,I want you to tell me the truth.,I want you to tell me the truth.,I want you to tell me the truth.,I want you to tell me the truth.
1115,2437,I talked to friends.,I'm talking to my friends.,I've been talking to friends.,I talked to my friends.,I talked to some friends.,I talked to friends.,I talked to some friends.,I talked to some friends.,I spoke to my friend.,I talked to my friends.,I talked to my friends.,I talked to friends.,I talked to my friends.,I was talking to my friends.
1122,2444,Tell me what happened.,Tell me what happened.,Tell me what happened.,Tell me what happened.,Tell me what happened.,Tell me what happened.,Tell me what happened.,Tell me what happened.,Tell me what happened.,Tell me what happened.,Tell me what happened.,Tell me what happened.,Tell me what happened.,Tell me what happened.
1127,2449,It's more difficult than you think.,It's harder than you think.,It's harder than you think.,It's harder than you think.,It's harder than you think.,It's harder than you think.,It's harder than you think.,It's harder than you think.,It's harder than you think.,It's harder than you think.,It's harder than you think.,It's harder than you think.,It's harder than you think.,It's harder than you think.
1130,2453,I don't agree with him.,I disagree with him.,I don't agree with him.,I don't agree with him.,I don't agree with him.,I don't agree with him.,I don't agree with him.,I disagree with him.,I can't agree with him.,I don't agree with him.,I don't agree with him.,I don't agree with him.,I don't agree with him.,I don't agree with him.
1150,2474,I'd rather be a bird than a fish.,I'd rather be a bird than a fish.,I'd rather be a bird than a fish.,I'd rather be a bird than a fish.,I'd rather be a bird than a fish.,I'd rather be a bird than a fish.,I'd rather be a bird than a fish.,I'd like to be a bird more than a fish.,I would rather be a bird than a fish.,I'd rather be a bird than a fish.,I'd rather be a bird than a fish.,I'd rather be a bird than a fish.,I'd rather be a bird than a fish.,I'd rather be a bird than a fish.
1169,5944,Tell me about it!,Tell me about it.,Tell me about it!,Tell me about it!,Who are you telling?,Tell me about it!,Tell me about it!,Tell me about it!,Tell me!,Tell me about it!,Don't tell me!,Tell me about it!,Tell me about him!,Tell me about it!
1176,5999,I have to take medicine.,I have to take the pills.,I have to take medication.,I need to take some medicine.,I have to take some medicine.,I have to take medication.,I need to take some medication.,I need to get some medicine.,I have to take my medicine.,I have to take my meds.,I have to take my meds.,I have to take a medicine.,I have to take medicine.,I have to take the medicine.
1182,6019,I work even on Sunday.,I even work on Sundays.,I even work on Sundays.,I'm also working on Sunday.,I even work on Sundays.,I even work on Sundays.,I even work on Sunday.,I work even on Sundays.,"Even on Sunday, I work.",I even work on Sunday.,I work even on Sunday.,I work till Sundays.,I'll even work on Sunday.,I work even on Sunday.
1184,6024,It happened a long time ago.,This happened many years ago.,It happened a long time ago.,It happened a long time ago.,It happened a long time ago.,It happened a long time ago.,It happened a long time ago.,It was a long time ago.,It happened a long time ago.,It happened a long time ago.,It happened a long time ago.,That happened a long time ago.,That happened a long time ago.,It happened a long time ago.
1185,6026,Where have you been?,Where have you been?,Where have you been?,Where have you been?,Where have you been?,Where were you?,Where have you been?,Where have you been?,Where have you been?,Where have you been?,Where have you been?,Where have you been so far?,Where have you been?,Where have you been?
1188,6034,It's been snowing all night.,It snowed all night.,It snowed all night.,It's been snowing all night.,He's been snowing all night.,It snowed all night.,It was snowing all night.,It snowed all night.,It's snowing all night.,It was snowing all night.,It snows all night.,It's snowed all night.,It was snowing all night.,It's been snowing all night.
1198,6054,"He was born on July 28th, 1888.",He was born on 28 July 1888.,He was born on 28 July 1888.,"He was born on July 28,888.",He was born on 28 July 1888.,"He was born on July 28, 1888.","He was born on July 28, 1800.","He was born on July 28, 1888.","He was born on July 28, 188.","He was born on July 28, 1888.",He was born on 28 July 1888.,"He was born on July 28, 1888.","He was born on July 28, 1888.","He was born on July 28, 1888."
1207,6130,She is mad at me.,She's mad at me.,She's mad at me.,He's mad at me.,She's mad at me.,She's mad at me.,She's mad at me.,She's mad at me.,She's mad at me.,She's mad at me.,She's mad at me.,She's mad at me.,She's crazy about me.,She's mad at me.
1249,9905,You can rely on him.,You can count on him.,You can count on him.,You can trust him.,We can trust him.,You can rely on him.,He can be trusted.,You can trust him.,You can rely on him.,You can rely on him.,You can rely on him.,You can trust him.,You can trust him.,You can rely on him.
1260,13335,Did you meet her?,Did you touch her?,Have you met her?,Did you meet him?,Did you meet her?,Did you meet her?,Have you met her?,Did you meet her?,Did you see her?,Have you met her?,Did you meet her?,Did you meet her?,Did you meet him?,Have you met her?
1333,15859,Can you ride a horse?,Do you know how to ride a horse?,Can you ride a horse?,Do you know how to ride?,Do you know how to ride a horse?,Can you ride?,Can you ride a horse?,Can you ride a horse?,Can you ride a horse?,Do you know how to ride a horse?,Can you ride a horse?,Do you know how to ride a horse?,Can you ride?,Can you ride a horse?
1354,15882,Do you live here?,Do you live here?,Do you live here?,Do you live here?,Do you live here?,Do you live here?,You live here?,Do you live here?,Do you live here?,Do you live here?,Do you live here?,Do you live here?,Do you live here?,Do you live here?
1376,15904,Who are you waiting for?,Who are you waiting for?,Who are you waiting for?,Who are you waiting for?,Who are you waiting for?,Who are you waiting for?,Who are you waiting for?,Who are you waiting for?,Who are you waiting for?,Who are you waiting for?,Who are you waiting for?,Who are you waiting for?,Who are you waiting for?,Who are you waiting for?
1384,15913,I'm proud of you.,I'm proud of you.,I'm proud of you.,I'm proud of you.,I'm proud of you.,I'm proud of you.,I'm proud of you.,I'm proud of you.,I'm proud of you.,I'm proud of you.,I'm proud of you.,I'm proud of you.,I'm proud of you.,I'm proud of you.
1389,15918,You look bored.,You look bored.,You look bored.,You look bored.,You look bored.,You look bored.,You look bored.,You look bored.,You look bored.,You look bored.,You look bored.,You look bored.,You look bored.,You seem to be bored.
1460,15993,You work hard.,You work hard.,You work hard.,You work hard.,You're working hard.,You're working hard.,You work hard.,You work hard.,"You're a businessman, aren't you?",You work hard.,You work hard.,You work hard.,You work too hard.,You work hard.
1477,16010,Are you writing a letter?,Are you writing a letter?,You write a letter?,Are you writing a letter?,Are you writing a letter?,Are you writing a letter?,Are you writing a letter?,Are you writing a letter?,Are you writing a letter?,Are you writing a letter?,Are you writing a letter?,Are you writing a letter?,Are you writing a letter?,Do you write a letter?
1487,16020,Can you drive a car?,Do you know how to drive?,Can you drive?,Do you know how to drive a car?,Do you know how to drive?,Can you drive a car?,Can you drive the car?,Can you drive a car?,Can you drive a car?,Can you drive a car?,Do you know how to drive?,Can you drive a car?,Can you drive a car?,Can you drive?
1490,16023,You should apologize.,You should apologize.,You guys should be asking for an apology.,You should apologize.,You should apologize.,You should apologize.,You have to apologize.,You should apologize.,You should apologize.,You should ask forgiveness.,You should apologize.,You should apologize.,You should apologize.,You should apologize.
1580,16117,Why were you absent yesterday?,Why were you absent yesterday?,Why were you absent yesterday?,Why were you gone last night?,Why were you away yesterday?,Why weren't you there yesterday?,Why were you missing yesterday?,Why were you absent yesterday?,Why were you absent yesterday?,Why were you absent yesterday?,Why weren't you here yesterday?,Why did you leave yesterday?,Why weren't you there yesterday?,Why were you absent yesterday?
1584,16122,You must do your best.,You have to do the best.,You have to do your best.,You have to do your best.,You have to do your best.,You have to do your best.,You have to do your best.,You have to do your best.,You have to do your best.,You have to do your best.,You have to try.,You must do your best.,You must do your best.,You must do your best.
1591,16130,You look pale today.,You look pale today.,You look pale today.,You look pale today.,You look pale today.,You look pale today.,You look pale today.,You look pale today.,You look pale today.,You look pale today.,You look pale today.,You're a little pale today.,You look pale today.,You look pale today.
1614,16159,You have to go.,You guys have to go.,You have to go.,You have to go.,You have to go.,You have to go.,You have to go.,You have to go.,You have to go.,You have to go.,You have to go.,You have to go.,You have to go.,You have to go.
1616,16161,You'd better not go.,You better not go.,You shouldn't go.,You'd better not go.,You better not go.,You better not go.,You better not go.,You better not go.,You'd better not go.,You don't want to go.,You'd better not go.,You'd better not go.,You'd better not go.,You'd better not go.
1619,16164,Are you happy?,Are you happy?,Are you happy?,Are you happy?,Are you happy?,Are you happy?,Are you happy?,Are you happy?,Are you happy?,Are you happy?,Are you happy?,Are you happy?,Are you happy?,Are you happy?
1670,16216,You broke the rule.,You broke the rules.,You broke the rule.,You broke the rule.,You broke the rule.,You broke the rule.,You broke the law.,You broke the rule.,You broke the rules.,You broke the rule.,You broke the rule.,You broke the rule.,You broke the rule.,You broke the rule.
1678,16224,You look pale.,You look pale.,You look pale.,You look pale.,You look pale.,You look pale.,You look pale.,You look pale.,You look pale.,You're pale.,You look pale.,You look pale.,You look pale.,You look pale.
1699,16246,Will you stay at home?,Will you stay home?,Will you stay home?,Are you going to stay home?,You're staying home?,Will you stay home?,Stay home?,Are you gonna stay home?,Are you home?,Will you stay home?,Will you stay home?,Are you staying home?,Will you stay home?,Will you stay at home?
1708,16255,What are you looking for?,What are you looking for?,What are you looking for?,What are you looking for?,What are you looking for?,What are you looking for?,What are you looking for?,What are you looking for?,What are you looking for?,What are you looking for?,What are you looking for?,What are you looking for?,What are you looking for?,What are you looking for?
1709,16256,What are you looking at?,What are you looking at?,What are you looking at?,What are you looking at?,What are you looking at?,What are you looking at?,What are you looking at?,What are you looking at?,What are you looking at?,What are you looking at?,What are you looking at?,What are you looking at?,What are you looking at?,What are you looking at?
1711,16259,What do you intend to do?,What do you want to do?,What are you gonna do?,What are you gonna do?,What do you intend to do?,What do you intend to do?,What are you gonna do?,What are you gonna do?,What are you going to do?,What are you gonna do?,What do you intend to do?,What are you trying to do?,What do you intend to do?,What do you intend to do?
1714,16263,What do you want to be?,What do you want to be?,What do you want to be?,What do you want to be?,What do you want to be?,What do you want to be?,What do you want to be?,What do you want to be?,What do you want to be?,Who do you want to be?,What do you want to be?,What do you want to be?,What do you want to be?,What do you want to be?
1715,16265,What will you have?,What will you have?,What are you gonna have?,What are you gonna take?,What do you choose?,What do you get?,What'll it be?,What are you gonna get?,What do you want?,What do you have?,What will you have?,What are you wearing?,What do you want?,What'll you have?
1718,16268,What woke you up?,What woke you up?,What woke you up?,What woke you up?,What woke you up?,What woke you up?,What woke you up?,What woke you up?,Why did you wake up?,What woke you up?,What woke you up?,What woke you up?,What woke you up?,What woke you up?
1731,16283,You dropped your pencil.,You dropped your pencil.,You dropped your pencil.,You dropped your pen.,You dropped your pencil.,You dropped your pencil.,You dropped your pencil.,You dropped your pencil.,You dropped your pencil.,You dropped your pencil.,You dropped your pencil.,You dropped your pencil.,You dropped your pen.,You dropped your pencil.
1736,16289,Do you study English?,Do you study English?,Do you study English?,Do you study English?,Are you studying English?,Are you studying English?,You're learning English?,Do you study English?,Do you study English?,Are you learning English?,Do you study English?,Do you study English?,Do you study English?,Do you study English?
1744,16300,Can you swim?,Can you swim?,Can you swim?,Can you swim?,Can you swim?,Can you swim?,Can you swim?,Can you swim?,Can you swim?,Can you swim?,Can you swim?,Can you swim?,Can you swim?,Can you swim?
1859,16428,Can you speak French?,Do you speak French?,Can you speak French?,Do you speak French?,Do you speak French?,Can you speak French?,Do you speak French?,Can you speak French?,Can you speak French?,Can you speak French?,Do you speak French?,Can you speak French?,Do you speak French?,Do you speak French?
1877,16449,Do you want anything?,Do you want anything?,You want something?,Do you want anything?,Do you want anything?,Do you want anything?,Do you want anything?,You want something?,Do you want anything?,Do you need anything?,Do you want anything?,Do you want anything?,Do you want anything?,Do you want something?
1899,16475,You look very tired.,You look very tired.,You look very tired.,You look very tired.,You look very tired.,You look very tired.,You look very tired.,You look very tired.,You look very tired.,You look very tired.,You look very tired.,You look very tired.,You look so tired.,You look very tired.
1912,16491,How about you?,What about you?,What about you?,What about you?,What about you?,What about you?,What about you?,What about you?,What about you?,What about you?,And you?,What about you?,What about you?,And you?
1913,16492,What are you doing?,What are you doing?,What are you doing?,What are you doing?,What are you doing?,What are you doing?,What are you doing?,What are you doing?,What are you doing?,What are you doing?,What are you doing?,What are you doing?,What are you doing?,What are you doing?
1941,16525,You have many books.,You have a lot of books.,You have a lot of books.,You've got a lot of books.,You've got a lot of books.,You have a lot of books.,You have a lot of books.,You have a lot of books.,You have a lot of books.,You have a lot of books.,You have a lot of books.,You have a lot of books.,You have a lot of books.,You have a lot of books.
2001,16590,Did you watch the game?,Did you see the game?,Did you see the game?,Did you watch the game?,Did you watch the game?,Did you see the game?,Did you watch the game?,Did you watch the game?,Did you see that game?,Did you watch the game?,Have you seen this game?,Did you see the game?,Did you see the game?,Did you see the game?
2116,16715,You can study here.,You can learn here.,You can study here.,You can study here.,You can study here.,You can learn here.,You can go here.,You can study here.,You can study here.,You can study here.,You can study here.,You can study here.,You can work here.,You can study here.
2144,16747,Aren't you happy?,Aren't you happy?,Aren't you happy?,Aren't you happy?,Aren't you happy?,Aren't you happy?,You're not happy?,Aren't you happy?,Aren't you happy?,Aren't you happy?,Aren't you happy?,Aren't you happy?,Aren't you happy?,Aren't you happy?
2168,16774,What time do you usually get up?,What time do you usually get up?,What time do you usually get up?,What time do you usually wake up?,What time do you usually get up?,When do you usually get up?,What time do you usually get up?,What time do you usually wake up?,What time do you always get up?,What time do you usually get up?,What time do you usually wake up?,What time do you usually get up?,What time do you usually get up?,What time do you usually get up?
2184,16792,You've given me good advice.,You gave me good advice.,You gave me good advice.,You've given me some good advice.,You gave me good advice.,You gave me good advice.,You gave me good advice.,You gave me good advice.,You gave me good advice.,You gave me some good advice.,You gave me good advice.,You've given me good advice.,You gave me good advice.,You gave me good advice.
2311,16926,Your hair is too long.,Your hair's too long.,Your hair's too long.,Your hair's too long.,Your hair is too long.,Her hair's too long.,Your hair's too long.,Your hair is too long.,Your hair is too long.,Your hair is too long.,Your hair is too long.,Your hair's too long.,Your hair is too long.,Your hair is too long.
2328,16945,Compare your answer with Tom's.,Compare your and Tom's answers.,Compare your answer to Tom's.,Compare your answer to Tom's answer.,Compare your answer to Tom's.,Compare your answer to Tom's.,Compare the answer with Tom's answer.,Compare your answer to Tom's.,Compare your answer with Tom's.,Compare your answer to Tom's answer.,Compare your answer to Tom's answer.,Compare your answer to Tom's.,Compare your answer with Tom's.,Compare your answer with Tom's.
2331,16948,Your answer is right.,You're right.,Your answer is correct.,Your answer is correct.,Your answer is right.,Your answer is correct.,Your answer is correct.,Your answer is right.,Your answer is correct.,Your answer is correct.,Your answer is the right one.,Your answer is correct.,Your answer is correct.,That's the right answer.
2351,16969,May I use your phone?,Can I borrow your phone?,Can I use your phone?,Can I use your phone?,Can I use your phone?,Can I use your phone?,Can I use your phone?,Can I use your phone?,Will you lend me your phone?,Can I use your phone?,Can I use your phone?,Can I use your phone?,Can I use your phone?,May I use your phone?
2375,16994,It's none of your business.,It's none of your business.,That's none of your business.,It's not your business at all.,It's none of your business.,It's none of your business.,It's none of your business.,It's none of your business.,It's none of your business.,It's none of your business.,It's none of your business.,It's none of your business.,None of your business.,It's none of your business.
2376,16996,Mind your own business!,Mind your own business.,Mind your own business!,Mind your own business!,Mind your own business.,Take care of your own business!,Stay out of what's none of your business!,Mind your own business!,It's none of your business.,Stay out of other things!,Don't put your nose in the wrong place!,Mind your own business!,None of your business.,None of your business!
2392,17013,Go back to your seat.,Go back to your seat.,Go back to your seat.,Go back to your seat.,Go back to your place.,Go back to your seat.,Get back in your chair.,Go back to your place.,Go back to your seats.,Go back to your seat.,Get back to your seat.,Go back to your place.,Go back to your seat.,Go back to your seat.
2440,17065,Write your address here.,Write down your address here.,Write your address here.,Write down your address here.,Write your address here.,Write down your address here.,It says here your address.,Write your address here.,Write your address here.,Write your address here.,Write your address right here.,Write your address here.,Write your address down here.,Write your address here.
2447,17073,I received your letter yesterday.,I got your letter yesterday.,I got your letter yesterday.,I got your letter yesterday.,I received your letter yesterday.,I received your letter yesterday.,I got your letter yesterday.,I got your letter yesterday.,I received your letter yesterday.,I received your letter yesterday.,I got your letter yesterday.,I got your letter yesterday.,I got your letter yesterday.,I received your letter yesterday.
2450,17076,Are your hands clean?,Is your hand clean?,Are your hands clean?,Are your hands clean?,Are your hands clean?,Are your hands clean?,Are your hands clean?,Are your hands clean?,Are your hands clean?,Are your hands clean?,Do you have clean hands?,Do you have clean hands?,Are your hands clean?,Are your hands clean?
2472,17101,Your bicycle is similar to mine.,Your bike is very similar to mine.,Your bike looks like mine.,Your bike is like mine.,Your bike is similar to mine.,Your bike is similar to mine.,Your bikes look like mine.,Your bike is similar to mine.,Your bicycle is similar to mine.,Your bike looks like mine.,You have the same bike as me.,His bike is similar to mine.,Your bike looks like mine.,Your bicycle is the same as mine.
2474,17103,Is your watch correct?,Is your watch okay?,Is your watch running okay?,Is your watch right?,Is your watch accurate?,Is your watch going right?,Is your watch accurate?,Does your watch make the right time?,Is your watch correct?,Does your watch go well?,Your watch is going right?,Is your watch on time?,Is your watch correct?,Is your watch correct?
2480,17110,Where are your things?,Where's your stuff?,Where's your stuff?,Where's your stuff?,Where's your stuff?,Where are your things?,Where's your stuff?,Where are your things?,Where are your things?,Where's your stuff?,Where's your stuff?,Where are your things?,Where are your things?,Where are your things?
2516,17150,Where do you come from?,Where are you from?,Where are you from?,Where are you from?,Where are you from?,Where are you from?,Where do you come from?,Where are you from?,Where are you from?,Where are you from?,Where are you from?,Where are you from?,Where are you from?,Where are you from?
2555,17190,Make your choice.,Make your choice.,Make your choice.,Make your choice.,Make your choice.,Make your choice.,Make your choice.,Make your choice.,Choose what you like.,Pick one.,Pick something.,Make your choice.,Make your choice.,Make your choice.
2562,17198,I know what you mean.,I know what you mean.,I know what you're trying to say.,I know what you mean.,I know what you mean.,I know what you mean.,I know what you mean.,I know what you mean.,"I know, I know.",I know what you're trying to say.,I know what you mean.,I know what you mean.,I know what you mean.,I understand what you mean.
2643,17283,Where is your school?,Where's your school?,Where's your school?,Where's your school?,Where's your school?,Where's your school?,Where's your school?,Where's your school?,Where is your school?,Where's your school?,Where's your school?,Where's your school?,Where's your school?,Where's your school?
2703,17344,You're on the right track.,You're right.,You're on the right track.,You're on the right track.,You're on the right slope.,You're on the right track.,You're on the right track.,You're on the right track.,What you're doing is not wrong.,You're on the right track.,You're on the right track.,You're on the right track.,You're on the right track.,You're on the right track.
2705,17347,Your time is up.,Your time is up.,Time's up.,You're out of time.,Your time's up.,Your time's up.,Your time is up.,Your time is up.,Your time is over.,Your time is up.,Your time is up.,You're out of time.,Your time is up.,Your time is up.
2713,17355,Your pen is better than mine.,Your pen is better than mine.,Your pen is better than mine.,Your pen is better than mine.,Your pen is better than mine.,Your pen is better than mine.,Your pen is better than mine.,Your pen is better than mine.,Your pen is better than mine.,Your pen is better than mine.,Your pen is better than mine.,Your pen is better than mine.,Your pen is better than mine.,Your pen is better than mine.
2715,17357,Your plan sounds great.,Your plan sounds good.,Your plan sounds excellent.,Your plan sounds great.,Your plan looks great.,Your plan sounds great.,Your plan looks great.,Your plan sounds great.,Your plan is great.,Your plan sounds great.,Your plan sounds great.,Your plan sounds great.,Your plan looks amazing.,Your plan sounds great.
2749,17395,Your cake is delicious.,Your cake is delicious.,Your cake is delicious.,Your cake's really good.,Your cake is delicious.,Your cake tastes good.,Your cake is delicious.,Your cake is delicious.,Your cake is delicious.,Your cake is delicious.,Your cake is delicious.,Your cake is delicious.,Your cake is delicious.,Your cake is delicious.
2754,17400,Here is your bag.,Here's your bag.,Here's your bag.,Here's your bag.,Your bag's here.,Your bag is here.,Here's your bag.,Here's your bag.,Your bag is here.,Here's your bag.,Here's your bag.,Here's your bag.,Here's your bag.,Here's your bag.
2774,17421,I believe you.,I believe you.,I believe you.,I believe you.,I believe you.,I believe you.,I believe you.,I believe you.,I believe you.,I believe you.,I believe you.,I believe you.,I believe you.,I believe you.
2776,17423,I don't agree with you.,I disagree with you.,I don't agree with you.,I don't agree with you.,I don't agree with you.,I don't agree with you.,I don't agree with you.,I disagree with you.,I can't agree with you.,I don't agree with you.,I don't agree with you.,I don't agree with you.,I don't agree with you.,I disagree with you.
2806,17453,You are wanted on the phone.,There's your phone.,There's a phone call for you.,They need you on the phone.,They're asking for you on the phone.,There's someone on the phone for you.,They want you on the phone.,They're calling you on the phone.,There's a phone call for you.,You're on the phone.,They're asking for you on the phone.,The phone's for you.,You're wanted on the phone.,You're on the phone.
2880,17534,You deserve the prize.,You should get this bonus.,You deserve the prize.,You deserve a prize.,You deserve the prize.,You deserve the price.,You deserve the reward.,You deserve the prize.,You deserve the prize.,You deserve a reward.,You deserve this reward.,You deserve the prize.,You deserve a reward.,You deserve the prize.
2884,17538,Green suits you.,Green suits you.,Green looks good on you.,Green suits you.,The green looks good on you.,Green suits you.,The color green suits you.,Green looks good on you.,Green looks good on you.,Green suits you.,Green looks good on you.,Green fits you.,Green's fine with you.,Green suits you.
3032,17707,I want you.,I want you.,I want you.,I want you.,I want you.,I want you.,I want you.,I want you.,I want you.,I want you.,I want you.,I want you.,I want you.,I want you.
3055,17735,I need you.,I need you.,I need you.,I need you.,I need you.,I need you.,I need you.,I need you.,I need you.,I need you.,I need you.,I need you.,I need you.,I need you.
3082,17764,Show me what you bought.,Let me see what you bought.,Show me what you bought.,Show me what you bought.,Show me what you bought.,Show me what you bought.,Show me what you bought.,Show me what you bought.,Show me what you bought.,Show me what you bought.,Show me what you bought.,Show me what you bought.,Show me what you got.,Show me what you bought.
3110,17795,I guess you are right.,I guess you're right.,I guess you're right.,I think you're right.,I guess you're right.,I suspect you're right.,I guess you're right.,I suppose you're right.,I think you're right.,I guess you're right.,I think you're right.,I guess you're right.,I guess you're right.,I think you're right.
3143,17829,I love you more than you love me.,I love you more than you love me.,I love you more than you love me.,I love you more than you love me.,I love you more than you love me.,I love you more than you love me.,I love you more than you love me.,I love you more than you love me.,I love you more than you love me.,I love you more than you love me.,I love you more than you love me.,I love you more than you love me.,I love you more than you love me.,I love you more than you love me.
3185,17881,I know you are rich.,I know you're rich.,I know you're rich.,I know you're rich.,I know you're rich.,I know you're rich.,I know you're rich.,I know you're rich.,I know you're rich.,I know you're rich.,I know you're rich.,I know you're rich.,I know you're rich.,I know that you're rich.
3310,18017,I don't blame you.,I don't blame you.,I don't blame you.,I don't blame you for that.,I don't blame you.,I don't blame you.,I don't blame you.,I'm not blaming you.,It's natural for you to do that.,I don't blame you.,I don't blame you.,I don't blame you.,I don't blame you.,I don't blame you.
3361,18073,You don't understand.,You don't understand.,You don't understand.,You don't understand.,You don't understand.,You don't understand.,You don't understand.,You don't understand.,You don't understand.,You don't understand.,You don't understand.,You don't understand.,You don't understand.,You don't understand.
3552,18278,The sky is full of stars.,The stars in the sky.,The sky is dotted with stars.,The sky is full of stars.,The sky is full of stars.,The sky is full of stars.,The sky is full of stars.,The sky is full of stars.,The sky is full of stars.,The sky is full of stars.,The sky is full of stars.,The sky is full of stars.,The sky is full of stars.,The sky is full of stars.
