,index,english,translated_from_chinese
70203,253848,I have a computer.,I have a computer.
70649,254335,I don't know how to spell the word.,I don't know how to spell this word.
71093,254847,I'm glad to hear that.,I'm glad to hear that.
71253,255034,I like chocolate.,I like chocolate.
71273,255055,I hid under the table.,I hid under the table.
71297,255080,I like tennis.,I like tennis.
71529,255340,I'd like to live in New York.,I want to live in New York.
71804,255644,I'm happy to see you again.,It's good to see you again.
71867,255717,I gave Mary a book.,I gave Mary a book.
72048,255926,I like to eat apples.,I like apples.
72156,256043,I bought a book.,I bought a book.
72280,256178,I can swim.,I can swim.
72329,256236,I study English.,I learn English.
72890,256891,I like fish.,I like fish.
72970,256982,I'm going to the bank.,I'm going to the bank.
73077,257112,I like your car.,I like your car.
73078,257113,I need your help.,I need your help.
73156,257204,I'm married.,I'm married.
73213,257266,I have lost my key.,I lost my key.
73426,257499,I'm on vacation.,I'm on vacation.
73674,257783,He wrote a letter yesterday.,Yesterday he wrote a letter.
73698,257809,I was busy yesterday.,I was busy yesterday.
73707,257819,I retired last year.,I retired last year.
74284,258457,I wrote a letter.,I wrote a letter.
74510,258713,I laughed.,I laughed.
74564,258769,I overslept.,I overslept.
74638,258845,I know the truth.,I know the truth.
74773,258994,I'm not a student.,I'm not a student.
74799,259020,I have a new red car.,I have a new red car.
74809,259030,I've lost my ticket.,I lost my ticket.
74823,259045,I was in London last month.,I was in London last month.
74847,259069,I am a teacher.,I'm a teacher.
74848,259070,I am not a teacher.,I'm not a teacher.
74945,259190,I run.,I'm running.
74984,259233,I'm proud of my son.,I'm proud of my son.
75037,259288,I'm healthy.,I'm in good health.
75155,259413,I'm afraid of earthquakes.,I'm afraid of earthquakes.
75470,259747,I love reading books.,I love reading.
75593,259880,I do not have a cat.,I don't have a cat.
76817,261221,I love her.,I love her.
77052,261477,I'm poor.,I'm poor.
77065,261490,I've never climbed Mt. Fuji.,I've never climbed Mount Fuji before.
77275,261721,I'm busy.,I'm busy.
77387,261849,I run every day.,I run every day.
77726,262220,I live with my parents.,I live with my parents.
77743,262240,I like apples.,I love apples.
77810,262315,I broke my arm.,My arm's broken.
77834,262339,"I think so, too.",That's what I thought.
77908,262424,Please help me.,Please help me.
78717,263406,Poets write poems.,Poets write poems.
79144,263886,Time flies.,"Time flies, time flies, time passes."
79970,264824,Respect yourself.,A little self-esteem.
80319,265233,What actually happened?,What the hell happened?
80482,265406,I wish I had a car.,I wish I had a car.
80569,265500,Drive carefully.,"Drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe, drive safe."
80570,265501,Do you know how to drive a car?,Do you know how to drive?
81054,266051,Can I help?,Can I help you?
81063,266065,Help me.,Give me a hand.
81369,266400,Practice makes perfect.,Acupuncture can be a coincidence.
81701,266790,Get out!,"Out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out, out!"
82881,268087,Get down!,Get down!
83562,268828,Unbelievable!,I can't believe it!
84767,270147,Are you kidding?,Are you kidding me?
86352,271901,Try hard.,Work hard.
86481,272043,Keep quiet.,Keep quiet!
87954,273621,See above.,See above.
88018,273694,Everything went smoothly.,Everything is going well.
88107,273786,I have no idea.,I don't know.
88478,274210,Open the window.,"Open the window, please."
88496,274237,Close the window.,Close the window!
89422,275276,I am exhausted.,I'm tired.
89857,275743,Are you all right?,Are you okay?
90203,276105,Is anybody here?,Hello?
90204,276106,Is somebody there?,Is anyone there?
90373,276298,Is anybody home?,Is there anyone at home?
90434,276369,Who knows?,Who knows?
90652,276629,No one helped me.,No one helped me.
90948,276955,It's too expensive.,It's too expensive.
90985,276998,Ignorance is bliss.,Ignorance is happiness.
91027,277046,Knowledge is power.,Knowledge is power.
91406,277466,Let me in.,Let me in.
91640,277720,Stop talking.,Don't talk anymore.
91688,277773,Breakfast is ready.,Breakfast is ready.
92046,278174,Birds sing.,Birds sing.
92080,278213,Birds fly.,Bird fly.
92087,278220,Birds lay eggs.,Birds lay eggs.
92373,278535,It's my brother's.,It's my brother's.
92441,278606,Don't give up!,Don't give up!
92944,279153,Turn off the light.,Turn off the lights.
93063,279284,Answer the phone.,Pick up the phone.
93811,280125,My head aches.,I have a headache.
93842,280162,Cool off!,Calm down!
94051,280393,Are you lost?,Are you lost?
94219,280576,Are you single?,Are you single?
94881,281301,Have you decided to go to Japan?,Have you decided to go to Japan?
95165,281606,Japan is a rich country.,Japan is a rich country.
95175,281616,Welcome to Japan.,Welcome to Japan.
95690,282197,Years passed.,How many years have passed.
95715,282225,I am eighteen years old.,I'm 18 years old.
95938,282462,My back still hurts.,My back still hurts.
96815,283413,Guess what he told me.,Guess what he told me.
97008,283629,I like him.,I like him.
98404,285184,Grab him.,Get him.
99624,286516,Forget him.,Forget about him.
100128,287067,He has long legs.,His legs are long.
101076,288121,He has a dog.,He's got a dog.
101119,288166,He tries.,He'll try.
101596,288669,He is a DJ.,He's a DJ.
101885,288982,How old is he?,How old is he?
102029,289132,He is always with me.,He's been with me.
102666,289812,He doesn't like coffee.,He doesn't like coffee.
102873,290025,He likes playing soccer.,He likes to play soccer.
103154,290321,He accelerated.,He's speeding up.
104354,291622,He eats a lot.,He ate a lot.
104393,291665,He decided to quit smoking.,He decided to quit smoking.
104582,291872,He played tennis.,He played tennis.
104778,292088,He's very ill.,He's sick.
105129,292468,He became a pianist.,He became a pianist.
105267,292619,He can also speak French.,He also speaks French.
106651,294141,He was afraid of his wife.,He's afraid of his wife.
107427,294993,He knows a lot of people.,He knows a lot of people.
107699,295297,He's strong.,He's strong.
107748,295346,He is a teacher.,He's a teacher.
107795,295395,He fell backward.,He fell backwards.
108019,295648,He's stronger than you.,He's stronger than you.
108606,296292,He works in a factory.,He works at a factory.
108608,296294,He is happy.,He's happy.
109160,296902,He died yesterday.,He died yesterday.
109766,297564,He lied to me.,He lied to me.
110193,298043,He speaks English better than I do.,His English is better than mine.
110575,298463,He tried to kill himself.,He tried to kill himself.
110579,298467,He committed suicide.,He killed himself.
111763,299788,He is eating.,He's eating.
111790,299819,Is he sleeping?,Is he sleeping?
111946,299984,He told the truth.,He told the truth.
113611,301814,He's talking on the telephone.,He's on the phone.
114148,302395,He is not stupid.,He's not stupid.
114157,302406,Is he tall?,Is he tall?
114194,302443,He is a friendly person.,He's a friendly man.
115351,303714,He likes adventure.,He likes to take risks.
115573,303959,He is asleep.,He's asleep.
115912,304339,He's an excellent brain surgeon.,He's a good brain surgeon.
116868,305382,They are actors.,They're actors.
116995,305514,They don't always obey their parents.,They don't always obey their parents.
117401,305951,They hated Tom.,They hate Tom.
118204,306813,They went to Chicago by car.,They took the car to Chicago.
118642,307284,Are they Japanese?,Are they Japanese?
119825,308580,She opened the door.,She opened the door.
121111,309976,She tried.,She tried.
121341,310214,She is eight.,She's eight years old.
121613,310506,When was she born?,When was she born?
122819,311795,She is very intelligent.,She's smart.
122851,311828,She loves Tom.,She loves Tom.
122914,311898,She smiled.,She smiled.
123110,312110,She can speak French.,She speaks French.
123125,312125,Does she speak French?,Does she speak French?
123168,312168,She is my girlfriend.,She's my girlfriend.
123555,312575,She worked hard.,She worked hard.
123811,312850,She went home.,She's home.
124038,313091,She almost drowned.,She almost drowned.
124133,313193,She cried.,She cried.
124299,313373,Does she know you?,Does she know you?
125133,314287,She sat next to me.,She's sitting next to me.
126464,315731,Who is she?,Who is she?
126944,316246,She married him.,She married him.
127156,316478,She wanted to help them.,"In the past, she wanted to help them, and in the past, she wanted to help them."
127208,316540,She looks sad.,She looks sad.
127209,316541,She looked sad.,She looks sad.
127559,316925,She walks.,She's walking.
128303,317756,Don't be sad.,Don't be sad.
128371,317830,Are you tired?,Are you tired?
130313,319990,I know.,I know.
130613,320329,That's weird.,Strange.
130674,320395,Study!,Learn!
131189,320948,I'm breast-feeding my baby.,I'm feeding my baby breast milk.
131519,321324,It's not my fault.,It's not my fault.
131613,321441,Tell me the truth.,Tell me the truth.
131614,321442,Leave it to me.,Let me do it.
131654,321497,Do you love me?,Do you love me?
131743,321599,I have three cameras.,I have three cameras.
131805,321673,I'm so happy.,I'm so happy.
131829,321700,I have to go now.,I have to go.
131945,321846,I have a dictionary.,I have a dictionary.
131948,321849,I have two cars.,I have two cars.
131954,321857,I looked around me.,I looked around.
131964,321870,I want to sleep.,I want to sleep.
132036,321954,I have a cold.,I got a cold.
132064,321985,"Me, too.",Me too.
132082,322004,When can we eat?,When can we eat?
132232,322178,Many thanks.,Thank you very much!
132630,322631,Fill it up.,Fill it up.
132811,322841,Is it free?,Is this free?
133456,323576,Wood burns.,Wood is flammable.
133584,323728,My eyes are sore.,My eyes hurt.
133619,323770,Keep your eyes open.,Open your eyes.
133631,323789,Don't shut your eyes.,Don't close your eyes.
134223,324442,Ghosts exist.,Ghosts exist.
134290,324520,Let's play.,Let's play.
134514,324760,Don't eat too much.,Don't eat too much.
134619,324880,The leaves fell.,The leaves are falling.
134720,324997,Please come.,Please come.
135109,325429,Stand up!,Stand up!
135175,325503,The dragon is an imaginary creature.,Dragons are living things that people imagine.
135200,325529,Do you like to travel?,Do you like to travel?
135422,325769,The food is cold.,The food is cold.
135739,326126,History repeats itself.,History will repeat itself.
137296,327777,I bought a red tie.,I bought a red tie.
138103,328604,Fuck you!,"Go to hell, go to hell, go to hell, go to hell, go to hell!"
139102,329612,Which country are you from?,What country are you from?
139173,329684,This newspaper is free.,This newspaper is free.
139202,329713,Good morning!,Good morning!
139323,333156,Good evening.,Good evening.
139329,335138,I am Chinese.,I'm Chinese.
139401,341634,I have many friends.,I have a lot of friends.
139413,347331,Who is he?,Who is he?
139463,348091,Come in.,"Come in, come in, come in."
139472,348596,I'm pregnant.,I'm pregnant.
139476,349064,I don't know.,I don't know.
139564,354379,I like cats.,I like cats.
139593,355041,"Happy birthday, Muiriel!","Happy birthday, Muiriel!"
139615,356200,Who are you?,Who are you?
139643,357919,"I would love to write hundreds of sentences on Tatoeba, but I've got things to do.","I'd like to write a lot of sentences in Tatoeba, but I have other things to do."
139655,358152,Nobody is perfect.,No one's perfect.
139668,360558,See you later!,I'll see you later.
139676,361350,Happy New Year!,"Happy New Year, Happy New Year, Happy New Year, Happy New Year, Happy New Year, Happy New Year, Happy New Year, Happy New Year, Happy New Year, Happy New Year, Happy New Year, Happy New Year, Happy New Year, Happy New Year, Happy New Year, Happy New Year, Happy New Year, Happy New Year, Happy New Year, Happy New Year."
139679,361576,Achoo!,Sneeze!
139696,362737,I play the violin.,I play the violin.
139767,367935,I am a vegetarian.,I'm a vegetarian.
139815,370580,My wife is a doctor.,My wife is a doctor.
139824,370607,He raised his hand.,He raised his hand.
139846,370687,I love Arabic.,I like Arabic.
139848,370703,Where are you from?,Where are you from?
139850,370708,Where do you live?,Where do you live?
139910,371410,He is sick.,He's sick.
139919,371429,There's a monster under my bed.,There's a monster under my bed.
139995,372015,What do you want to eat?,What do you want to eat?
140020,372352,What is your blood type?,What's your blood type?
140040,372460,Cats don't like water.,Cats hate water.
140062,373215,Are you serious?,Are you serious?
140063,373216,Really?,Are you sure?
140102,373320,How are you?,How are you?
140104,373330,Hello!,Hello.
140144,374827,Thank you!,Thank you.
140199,376610,I do not understand.,I don't understand.
140200,376611,I don't understand.,I don't understand.
140288,378270,Do you speak English?,Do you speak English?
140299,378502,I have a dog.,I have a dog.
140341,379143,Do you want to go?,Are you leaving?
140552,386704,I am a man.,I'm a man.
140559,386729,Do you like music?,Do you like music?
140564,386734,He likes oranges.,He likes oranges.
140579,386766,Tomorrow is Christmas.,Tomorrow's Christmas.
140606,387411,It's a little cold today.,It's a little cold today.
140621,387427,Let's begin.,Let's get started.
140622,387428,Let's start!,Let's get started.
140631,387437,I have a high fever.,I'm burning really bad.
140864,388374,She hated her husband.,She hates her husband.
141043,388834,He likes watching TV.,He likes to watch TV.
141078,388869,We are men.,We're men.
141085,388890,What's she doing?,What is she doing?
141096,388978,He can read well.,He can read very well.
141316,391906,He loves traveling.,He loves to travel.
141375,392296,Finally!,Finally!
141425,393357,Please.,Please.
141456,393812,"All animals are equal, but some animals are more equal than others.","All animals are equal, but some are more equal than others."
141549,394633,He loves her.,He loves her.
141641,395036,I can't stand him.,I can't stand him.
141651,395051,I know those girls.,I know those girls.
141811,395934,Great!,"That's great, that's great, that's great, that's great, that's great, that's great, that's great, that's great, that's great, that's great, that's great, that's great, that's great, that's great, that's great, that's great, that's great, that's great, that's great, that's great, that's great."
141972,397714,I am tired.,I'm tired.
142052,398513,I'm just kidding.,I'm kidding.
142132,399205,He's smart.,He's smart.
142143,399354,Are you alone?,Are you alone?
142218,400184,What do you want to drink?,What do you want to drink?
142220,400191,What would you like to eat?,What do you want?
142259,400395,Speaking English isn't easy.,It's not easy to speak English.
142573,403063,Do you understand?,Do you understand?
142683,404046,I'm at home.,I'm at home.
142692,404096,I'm hungry!,I'm hungry!
142693,404098,Do you understand what I'm saying?,You know what I mean?
142767,405518,"You can do it, can't you?","You can do it, can't you?"
142782,405764,He's eating an apple.,He's eating an apple.
142783,405766,She's eating an apple.,She's eating an apple.
142784,405767,They're eating apples.,They're eating apples.
142785,405769,We're eating apples.,We're eating apples.
142860,406604,Tom is my friend.,Tom's my friend.
142915,407574,I missed you.,I miss you.
143005,408293,What's your name?,What's your name?
143134,410244,She is beautiful.,She's beautiful.
143186,410529,She likes oranges.,She likes oranges.
143204,410597,Wait a moment.,Hold on a second.
143227,410779,Am I wrong?,Am I wrong?
143228,410780,We need your help.,We need your help.
143316,411238,I can't remember his name.,I don't remember his name.
143324,411285,I'll pay.,I'll pay for it.
143344,411667,You're right.,You're right.
143440,412026,I was a student at that time.,I was a student.
143498,413058,Are you married?,Are you married?
143529,413611,No problem!,No problem!
143534,413731,"One, two, three, four, five, six, seven, eight, nine, ten.","One, two, three, four, five, six, seven, eight, nine, ten."
143539,413767,Come home.,Go home.
143548,413820,"Good evening, how are you?",Good evening. How are you?
143549,413821,What's this?,What is this?
143557,413831,I live near here.,I live around here.
143781,416367,Where are you going?,Where are you going?
143902,417801,My eyes hurt.,My eyes hurt.
143905,417891,I have a sore throat.,My throat hurts.
143935,418475,You idiot!,Idiot!
144218,424848,I know her.,I know her.
144290,425148,We often play chess.,We often play chess.
144443,426950,Good night!,Good night!
144560,428402,What time is it?,What time is it?
144791,430925,She is dead.,She's dead.
144819,431539,I'm bored.,I feel bored.
144848,432340,I was a teacher.,I was a teacher.
144962,433423,What did you say?,What did you say?
144965,433457,God exists.,God exists.
144967,433468,I understand.,"I got it, I got it, I got it, I got it."
144968,433472,I got it.,I got it.
144975,433491,Go away.,"Go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go!"
144976,433492,Of course.,"Of course, of course, of course, of course."
144982,433502,Don't move.,Don't move.
144984,433504,Excuse me.,"I'm sorry, I'm sorry."
144986,433510,Wonderful!,That's great!
144987,433511,Fantastic!,That's great!
144993,433518,Go away!,Get out of here!
145014,433594,Try it again.,Try again.
145027,433613,I have no money.,I don't have any money.
145028,433614,I don't have any money.,I don't have any money.
145061,433669,Do you have a fever?,Have you got a fever?
145065,433675,I'm serious.,I'm serious.
145067,433680,That's enough.,That's enough.
145070,433689,Did you call?,Have you called?
145093,433730,Of course!,Of course!
145099,433745,Don't worry about it.,Don't worry about it.
145100,433754,Follow him.,Follow him.
145112,433809,I'm very hungry.,I'm hungry.
145121,433849,Speak clearly.,Make it clear.
145123,433859,I've had enough.,I've had enough.
145124,433863,I'm full.,I'm full.
145218,434224,Anything else?,Anything else?
145227,434242,Are you hungry?,Are you hungry?
145232,434258,Are you thirsty?,Are you thirsty?
145302,434410,Can you help me?,Can you help me?
145324,434458,Come with me.,Come with me.
145430,434680,Enough!,Enough!
145562,434964,He likes to swim.,He likes to swim.
145620,435084,Help!,Help!
145653,435199,Did something happen?,Did something happen?
145671,435279,Whose turn is it?,Who's it going to be?
145685,435409,It's too big.,It's too big.
145711,435575,Calm down.,Calm down.
145735,435647,He can also speak Russian.,"He speaks Russian, too."
145751,435750,That's a good question.,That's a good question.
145754,435754,Has something happened?,Did something happen?
145763,435772,Life is fun.,Life is fun.
145785,436096,Fuck off!,Get out of here!
145852,436243,How old are you?,How old are you?
145866,436275,I am tall.,I'm tall.
145869,436281,I agree.,I agree.
145935,436423,I am ready.,I'm ready.
145944,436445,I am too short.,I'm too short.
145987,436541,I don't know what to say.,I don't know what to say.
146366,438930,Where are my glasses?,Where are my glasses?
146367,438940,We are happy.,We're happy.
146452,441955,It was a terrible day.,It was a bad day.
146472,442064,Who drew it?,Who drew it?
146478,442109,Prices went up.,Prices have risen.
146484,442130,That's a good idea.,That's a good idea.
146503,442957,Please open the bottle.,"Open the bottle, please."
146505,442964,That's not fair.,That's not fair.
146552,444986,I live here.,I live here.
146610,448320,Stop!,"Stop, stop, stop, stop!"
146659,448963,It's snowing.,It's snowing.
146671,449023,No one knows.,No one knows.
146672,449029,Catch him.,Get him.
146687,449095,Do you drink coffee?,Do you drink coffee?
146688,449105,I eat here.,I'm eating here.
146692,449111,Your dog is here.,Your dog's here.
146694,449118,This is your key.,Here's your key.
146709,449699,What should I do?,What am I supposed to do?
146725,450074,Come if you can.,Come if you can.
146778,451212,She has few friends.,She has very few friends.
147019,453219,Happy birthday!,Happy birthday!
147057,453394,Love is blind.,"Love is blind, love is blind, love is blind."
147078,453418,I ordered two hamburgers.,I ordered two burgers.
147352,454490,I don't know what to do.,I don't know what to do.
147369,454514,"I think, therefore I am.","I think so, I think so, so so I am."
147402,455290,What are you interested in?,What are you interested in?
147586,456157,It was love at first sight.,That was love at first sight.
147623,456237,It's raining.,"It's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining, it's raining."
147677,456357,May I help you?,Can I help you?
147798,456627,Please speak more slowly.,Please fill it up.
147840,456719,She is from France.,She's French.
147894,457629,Hungry?,Hungry?
147900,457741,I trust you.,I trust you.
147956,460021,My favorite color is red.,I love red.
147971,460058,I lost my key.,I lost my key.
147996,460198,Crazy!,Crazy!
148175,461908,Where is your dog?,Where's your dog?
148228,462430,Shut up!,Shut up!
148248,462476,Stay there.,Stay here.
148271,462526,That hurts.,It hurts.
148296,462578,"The bill, please.",Pay the bill.
148342,462670,The customer is always right.,Customers are always right.
148756,464282,Turn around.,Turn around.
148760,464290,Turn right.,Turn right.
148778,464330,Wash your hands.,Wash your hands.
148881,464546,What do you need?,What do you need?
148890,464566,What does this mean?,What does that mean?
149029,466624,What's your phone number?,"What's your phone number, what's your phone number, what's your phone number, what's your phone number, what's your phone number?"
149039,466728,Please wait five minutes.,"Five minutes, please."
149057,467339,Iron is a useful metal.,Iron is a useful metal.
149075,467672,Where is your father?,Where's your father?
149123,469126,She's my sister.,She's my sister.
149256,472091,I study Korean.,I studied Korean.
149275,472431,I was wrong.,I was wrong.
149288,473177,"Hi, how are you?","Hey, how are you?"
149538,477061,No.,"No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no."
149541,477086,Yes.,"Yeah, yeah, yeah, yeah, yeah."
149667,478255,He closed the door.,He closed the door.
149694,478568,I have no friends.,I don't have any friends.
149808,481593,Are they friends?,Are they friends?
149868,482303,Where is my book?,Where's my book?
149949,483350,Guns don't kill people. People kill people.,Guns don't kill people. People kill people.
150041,484648,Drive safely.,Drive safely.
150094,485099,Thanks anyway.,Still say thank you.
150159,486448,I must go now.,I have to go now.
150190,487006,Cheers!,Cheers!
150242,487828,Swimming is easy.,Swimming is easy.
150457,493028,Do you know the answer?,Do you know the answer?
150558,495717,I'm a journalist.,I'm a reporter.
150562,495838,Please close the door.,Please close the door.
150727,497969,See you tomorrow.,See you tomorrow.
150811,499689,Good afternoon.,Good afternoon.
150828,499998,I'm just looking.,I'm just looking around.
151264,506446,Don't worry.,"Don't worry, don't worry."
151303,506948,Do you smoke?,Do you smoke?
151505,508844,The dog is dead.,This dog is dead.
151757,513527,Tom was fired.,Tom's been fired.
151760,513534,He raised his hands.,He raised his hand.
151849,515472,That's life.,That's life.
151862,515572,Are you Japanese?,Are you Japanese?
151926,516321,Today is Monday.,It's Monday.
151946,516601,He is poor.,He's poor.
151972,516745,Goodbye!,Goodbye!
152040,518553,You may go.,You can go.
152216,521667,It's a good question.,It's a good question.
152365,525267,"Tatoeba means ""for example"" in Japanese.",Japanese “Tatoeba” is an example.
152581,528455,She woke up.,"She's awake, she's awake, she's awake, she's awake."
152677,529830,Don't tell anyone this.,Don't tell anyone about this.
152752,530595,He ordered a beer.,He ordered a beer.
152938,533100,Where is the most beautiful place in the world?,Where is the most beautiful place in the world?
153004,533746,How's your mother?,How's your mother?
153176,535419,Do you have a cellphone?,Do you have a cell phone?
153309,538123,Hi.,Hello.
153344,539017,He likes fishing.,He likes fishing.
153938,551318,Why did you lie?,Why are you lying?
153943,551443,No problem.,"It's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay."
154720,566026,Time is money.,Time is money.
154778,567368,I'm a student.,I'm a student.
155238,576084,I hate Mondays.,I hate Monday.
155418,580774,I'm a man.,I'm a man.
155444,582309,I need help.,I need help.
156353,607840,Go to hell!,You're going to fucking hell!
156468,611372,We want complete sentences.,We want the whole sentence.
156481,611769,You don't need to call me.,You don't have to call me.
156708,619636,Do you come here often?,Do you come here often?
157323,628213,Correct!,That's right!
157327,628230,We agree.,We agree.
157419,630620,This novel is boring.,This novel is boring.
157445,631038,Jump.,Jump.
157606,634028,Do you speak Turkish?,Do you speak Turkish?
157795,638544,Where is the train station?,Where's the train station?
158135,647456,Bye!,Bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye
158594,661572,Today is Saturday.,It's Saturday.
159294,672229,He ran.,He ran away.
159301,672252,You run.,You run.
159302,672254,He runs.,He ran.
159304,672264,She runs.,She ran.
163060,693617,Idiot!,Idiot!
163441,699465,I'm 18 years old.,I'm 18 years old.
163557,702472,Colorless green ideas sleep furiously.,"The colorless green mind sleeps madly, the colorless green mind sleeps angryly."
163670,703304,We're neighbors.,We're neighbors.
163907,706874,Happy Mother's Day!,Happy Mother's Day!
164129,707526,Count to thirty.,Count to 30.
165980,740214,I am a woman.,I'm a woman.
167003,757414,I'm listening to music.,I'm listening to music.
168429,785667,"You may write in any language you want. On Tatoeba, all languages are equal.","You can write in any language you want. In Tatoeba, all languages are equal. You can write in any language you want. In Tatoeba, all languages are equal."
168951,794758,I am not a witch.,I'm not a witch.
171915,811376,He lives alone.,He lives alone.
172646,827295,I hate you.,I hate you.
173753,847863,I'm always hungry.,I'm always hungry.
174179,854500,Get lost.,Get out of here.
175014,870628,Please continue.,Please continue.
176212,881861,I don't have a cat.,I don't have a cat.
176341,883062,Choose one.,Choose one.
177553,890415,Come!,Come on!
177627,891930,I want to die with Getter Jaani.,I want to die with John Gert.
178536,906328,Run!,Run!
179456,914029,What do you think?,What do you think?
180182,925077,It is too expensive.,It's too expensive.
181016,943665,Hooray!,Yes!
181351,953107,Are you on Facebook?,Are you on Facebook?
181446,953202,Do you like cooking?,Do you like cooking?
181468,953224,Do you think I'm stupid?,Do you think I'm stupid?
181530,953286,Have you eaten?,Did you eat?
181540,953296,Have you ever dyed your hair?,Have you dyed your hair?
181601,953358,How was your summer?,How was summer?
181609,953366,I ate too much.,I ate too much.
184000,982239,Do you like strawberries?,Do you like strawberries?
184037,983650,This is a horse.,It's a horse.
184118,987485,"Champagne, please.","Champagne, please."
184160,990384,Grammar is very complicated.,Syntax is very complex.
184235,993268,He died recently.,He recently passed away.
184422,997880,I don't drink coffee.,I don't drink coffee.
186312,1024693,Tom isn't here.,Tom's not here.
187666,1026051,Tom doesn't like cats.,Tom doesn't like cats.
188288,1026675,Tom closed his eyes.,Tom closed his eyes.
188621,1027009,Tom blushed.,Tom's blushing.
190239,1028631,Tom hugged Mary.,Tom hugged Mary.
193352,1064331,It wasn't my fault.,It wasn't my fault.
193634,1071653,Eat your soup before it gets cold.,Drink it before it's cold.
193744,1075501,May I put it here?,Can I put it here?
193745,1075502,We should always obey laws.,We must always abide by the law.
194256,1084522,I can't drink milk.,I can't drink milk.
196963,1094582,Tom disappeared.,Tom's gone.
199055,1098659,Read this.,Read this.
199703,1107280,The cat is black.,Cats are black.
200020,1110791,I'm afraid of heights.,I'm afraid of heights.
200054,1111548,Hop in.,Jump in.
200881,1122514,I'm a woman.,I'm a woman.
201009,1123763,Is she Japanese?,Is she Japanese?
201363,1126684,Help me!,Help!
203216,1151779,Today is Thursday.,It's Thursday.
203271,1152188,She is stubborn.,She's stubborn.
204054,1164341,Tom overslept.,Tom overslept.
206235,1194034,I'm not a doctor.,I'm not a doctor.
206742,1205289,Welcome to Tatoeba!,Welcome to Tatoeba.
207737,1222816,Horses are animals.,Horses are animals.
209573,1258802,Why did she do that?,Why would she do something like that?
209642,1260118,He's in the kitchen.,He's in the kitchen.
210112,1276135,This bird can't fly.,This bird can't fly.
210140,1276904,I have already finished reading this book.,I've read the book.
210311,1283955,That's a lie!,That's a lie.
210362,1285500,The apple doesn't fall far from the tree.,Apples don't fall far from the trunk.
210564,1292208,Don't wait.,Don't wait!
210887,1299275,Oh no!,No way.
210992,1300736,Follow that car.,Follow that car.
211002,1300804,I was at home.,I was just home.
211013,1300904,"She has about 2,000 books.","She has about 2,000 books."
211377,1308427,Is it far?,Is it far?
212376,1327057,Seriously?,Are you sure?
212604,1331062,I like horses.,I like horses.
213429,1342184,Disgusting!,Disgusting!
213650,1343997,Why do you love me?,Why do you like me?
214904,1359933,As you wish.,It's up to you.
215478,1369314,I have just finished eating.,I just finished.
215598,1370839,I want to eat ice cream.,I want ice cream.
215735,1383444,He's a DJ.,He's a DJ.
215944,1387288,What are you waiting for?,What are you waiting for?
216431,1394814,Hold the ball with both hands.,Hold the ball with your hands.
216537,1396177,I'm afraid of dogs.,I'm afraid of dogs.
216548,1396235,She wants to know who sent the flowers.,She wants to know who sent the flowers.
216560,1396333,It's already eleven.,It's 11 o'clock.
216601,1396428,You look just like your older brother.,You look just like your brother.
216827,1399479,Burj Khalifa is currently the tallest skyscraper in the world.,"The caliphate is the highest skyscraper in the world today, and the caliphate is the highest skyscraper in the world today."
217712,1417464,Are you coming?,Will you come?
218072,1423299,"In Japan, the new school year begins in April.",Japan’s New Year began in April.
218529,1435651,It rained.,It's raining.
219095,1442219,She disappeared.,She disappeared.
219405,1446280,He also speaks French.,"He speaks French, too."
219409,1446444,Something happened.,Something's wrong.
220201,1458036,Today is Wednesday.,Today is Wednesday.
221956,1486456,Be patient.,Patience waits.
222335,1488808,Tom was crying.,Tom was crying.
223223,1495917,Eat slowly.,Eat slowly.
225703,1531064,Tom nodded.,Tom noded his head.
227491,1553393,Step back.,Get back.
227624,1553532,Call me.,Contact me.
227821,1556167,We know.,We know.
231006,1627336,Welcome back.,Welcome back.
