,index,english,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german
1877,16449,Do you want anything?,Do you want something?,Do you want anything?,Do you want something?What do you want?What do you want?What do you want?,Do you want anything?
1899,16475,You look very tired.,You look very tired. You look very tired. You look very tired.,You look very tired.,"You look very tired, you look very tired, you look very tired, you look very tired, you look very tired, you look very tired, you look very tired, you look very tired, you look very tired.",You look very tired. You look very tired.
1912,16491,How about you?,What about you?,What about you?,What about you?,What about you? How about you? How about you? How about you? How about you? How about you? How about you? How about you? How about you? How about you?
1913,16492,What are you doing?,What are you doing? What are you doing? What are you doing? What are you doing? What are you doing? What are you doing? What are you doing? What are you doing? What are you doing?,What are you doing?,What are you doing?!What are you doing?!What are you doing?!What are you doing?!What are you doing now?!What are you doing?!What are you doing?!!What are you doing?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,What are you doing? What are you doing? What are you doing? What are you doing?
1941,16525,You have many books.,"You have lots of books, you have lots of books, you have lots of books.","You have many books, many books, many books, many books, many books.","You have a lot of books, you have a lot of books, you have a lot of books.",You have a lot of books. You have a lot of books.
2001,16590,Did you watch the game?,Did you see the game?,Did you watch the game?,Did you watch the game?: Did you watch the game?,Did you see the game?
2116,16715,You can study here.,"You can study here, you can study here, you can study here.",You can study here.,You can study here.,You can learn here. You can learn here. You can study here. You can study here.
2144,16747,Aren't you happy?,Aren't you happy?,Aren't you happy?,Aren't you happy?,Aren't you happy? Are you not happy? Are you not happy?
2168,16774,What time do you usually get up?,What time do you usually get up? What time do you usually get up?,What time do you usually wake up?,At what time do you usually get up?What time do you usually get up?,When do you usually get up? When do you usually get up? How much time do you usually get up? How much time do you usually get up?
2328,16945,Compare your answer with Tom's.,Compare your answer to Tom's. Compare your answer to Tom's.,Compare your answer with Tom’s answer.,Compare your answer with Tom's.. Compare your answer with Tom's..,Compare your answer to Tom's. 的 Compare your answer to Tom's.
2331,16948,Your answer is right.,Your answer is right. Your answer is right. Your answer is right.,Your answer is correct.,Your answer is right.: Your answer is right.,Your answer is correct.
2351,16969,May I use your phone?,Can I use your phone?,Can I use your phone?,Can I use your phone?: Can I use your phone?: Can I use your phone?: Can I use your phone?,Can I use your phone?
2375,16994,It's none of your business.,This has nothing to do with you.,It's none of your business. It's none of your business. It's none of your business. It's none of your business.,"It's none of your business, it's none of your business, it's none of your business, it's none of your business, it's none of your business.",It's none of your business. It's none of your business. It's none of your business. It's none of your business! It's none of your business!
2376,16996,Mind your own business!,Mind your own business!,Take care of your own business!,Take care of your own business!!!Take care of your own business!!Take care of your own business!!!Take care of your own business!!,Take care of your own business! - Take care of your own business!
2392,17013,Go back to your seat.,Go back to your seat.,Go back to your seat.,Go back to your place.,Go back to your seat. - Sit back down! - Go back to your seat.
2440,17065,Write your address here.,Write your address here.,Write down your address here.. Write down your address here.,Write your address here.: Enter your address here.: Enter your address here.,Write down your address here.
2447,17073,I received your letter yesterday.,I got your letter yesterday.,I got your letter yesterday.,"I received your letter yesterday, I received your letter yesterday.",I received your letter yesterday. I received your letter yesterday.
2450,17076,Are your hands clean?,Are your hands clean?,Are your hands clean?,Is your hands clean?: Are your hands clean?,Are your hands clean? Are your hands clean?
2472,17101,Your bicycle is similar to mine.,Your bike looks like mine.,Your bike is like mine.,"Your bike is similar to mine, and your bike is similar to mine.",Your bike is similar to mine.
2474,17103,Is your watch correct?,Is your watch running okay?,Is your watch right?,Is your watch correct?: Is your watch correct?,Is your watch going right?
2480,17110,Where are your things?,Where's your stuff? Where's your stuff? Where's your stuff? Where's your stuff? Where's your stuff?,Where's your stuff?,Where's your business?,Where are your things? Where are your things?
2516,17150,Where do you come from?,Where are you from?,Where are you from?,Where did you come from?Where did you come from?Where did you come from?Where did you come from?Where did you come from?Where did you come from?Where did you come from?Where did you come from?Where did you come from?,Where do you come from? Where do you come from? Where do you come from? Where do you come from? Where do you come from?
2555,17190,Make your choice.,Make your choice. Make your choice. Make your choice.,Make your choice.,Make your choice.,Make your choice.
2562,17198,I know what you mean.,I know what you're trying to say.,I know what you mean.,"I know what you mean, I know what you mean.",I know what you mean. I know what you mean. I know what you mean. I know what you mean. I know what you mean.
2643,17283,Where is your school?,Where's your school?,Where's your school?,Where's your school?: Where's your school?,Where is your school? Where is your school? Where is your school?
2703,17344,You're on the right track.,You're on the right track. You're on the right track. You're on the right track. You're on the right track. You're on the right track.,You're on the right track.,"You're on the right slope, you're on the right track, you're on the right track, you're on the right track, you're on the right track, you're on the right path.",You're on the right track.
2705,17347,Your time is up.,Your time is up. Your time is up.,You're out of time.,Your time's up.,Your time is up. Your time is up.
2713,17355,Your pen is better than mine.,Your pen is better than mine.,Your pen is better than mine.,Your pen is better than mine.,Your pen is better than mine.
2715,17357,Your plan sounds great.,Your plan sounds excellent. Your plan sounds excellent.,Your plan sounds great.,Your plan looks great.,Your plan sounds great.
2749,17395,Your cake is delicious.,Your cake is delicious.,Your cake's really good.,"Your cake is delicious, your cake is delicious.",Your cake tastes good. Your cake tastes good.
2754,17400,Here is your bag.,Here's your bag.,Here's your bag.,Here's your bag.'Here's your bag.'Here's your bag.''Here's your bag.',Your bag is here. Here's your bag. Here's your bag! Here's your bag.
2774,17421,I believe you.,I believe you.,I believe you.,"I believe you, I believe you.",I believe you. I believe you. I believe you.
2776,17423,I don't agree with you.,I don't agree with you.,I don't agree with you.,"I don't agree with you, I don't agree with you, I don't agree with you.",I don't agree with you. I don't agree with you. I don't agree with you. I don't agree with you. I don't agree with you.
2880,17534,You deserve the prize.,"You deserve the prize, you deserve the prize, you deserve the prize.",You deserve a prize.,"You deserve the prize, you deserve the prize.",You deserve the price.
2884,17538,Green suits you.,Green looks good on you.,Green suits you.,The green looks good on you.,Green suits you. Green suits you. Green suits you.
3032,17707,I want you.,I want you.,I want you.,"I want you, I want you, I want you, I want you, I want you.",I want you. I want you.
3055,17735,I need you.,"I need you, I need you, I need you.",I need you.,"I need you, I need you.",I need you. I need you. I need you.
3082,17764,Show me what you bought.,Show me what you bought.,Show me what you bought.,"Show me what you've bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought, show me what you bought.",Show me what you bought.
3110,17795,I guess you are right.,I guess you're right.,I think you're right.,"I guess you're right, I guess you're right.",I suspect you're right. I suspect you're right. I suspect you're right.
3143,17829,I love you more than you love me.,I love you more than you love me.,I love you more than you love me.,I love you more than you love me.,I love you more than you love me. I love you more than you love me.
3185,17881,I know you are rich.,I know you're rich. I know you're rich. I know you're rich. I know you're rich.,I know you're rich.,"I know you're rich, I know you're rich.",I know you're rich. I know you're rich. I know you're rich.
3310,18017,I don't blame you.,I don't blame you.,I don't blame you for that.,"I'm not blaming you, I'm not blaming you.",I don't blame you. I don't blame you. I don't blame you.
3361,18073,You don't understand.,"You don't understand, you don't understand, you don't understand.",You don't understand.,You don't understand.,They don't understand. You don't understand.
3552,18278,The sky is full of stars.,The sky is dotted with stars.,The sky is full of stars.,"The sky is full of stars, and the sky is full of stars.",The sky is full of stars. The sky is full of stars.
3619,18356,Stop grumbling.,Stop moaning.,Cut the marbles.,"Stop grinning, stop ringing.",Stop murmuring.
3758,18505,Money is the root of all evil.,Money is the root of all evil.,Money is the root of all evil.,Money is the root of all evils.,Money is the origin of all evils. Money is the root of all evils.
3781,18531,I wish I were rich.,I wish I was rich. I wish I was rich. I wish I was rich.,I wish I was rich.,"I wish I could be rich, I wish I could be rich, I wish I could be rich.",I wish I were rich. If only I were rich! 你 Would be nice if I were rich.
3870,18631,Money talks.,Money rules the world.,Money speaks.,Money is king.,Money rules the world.
4377,19170,Don't be afraid.,Don't be afraid.,Don't be afraid.,"Don't be afraid, don't be afraid, don't be afraid, don't be afraid, don't be afraid.",Don't be afraid.
4540,19342,"Fish, please.","Fish, please.","Fish, please.","Fish, please.","Fish, please."
4770,19587,Call an ambulance.,Call an ambulance.,"Call an ambulance, call an ambulance, call an ambulance, call an ambulance.",Call an ambulance.,Call an ambulance. Call an ambulance. Call an ambulance. Call an ambulance. Call an ambulance!
4896,19729,Haste makes waste.,Haste rush is rarely good.,Slowly but surely.,The speed creates loss.:::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::,Hurry for a while!
4900,19733,Please hurry.,Please hurry. Please hurry. Please hurry!,Please hurry. Please hurry.,"Hurry up, please.",Please hurry up. Please hurry up. Please hurry up. Please hurry up! Please hurry up!
5007,19847,I haven't seen him for a long time.,I haven't seen him in a while.,I haven't seen him in a long time.,I haven't seen him in a long time.,I haven't seen him in a long time. I haven't seen him in a long time.
5224,20086,All that glitters is not gold.,"It's not all the gold that shines, it's not all the gold that shines.",All that shines is not gold.,Everything that shines is not gold.: All that shines is not gold.,It's not all gold that shines. It's not just gold that shines.
5235,20097,You are beautiful.,"You're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful","You're beautiful, you're beautiful, you're beautiful, you're beautiful.","You're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful, you're beautiful.",You're beautiful.
5418,20288,I'm not feeling well.,I'm not feeling well.,I don't feel well.,I'm not feeling well.,I don't feel well. I'm not feeling well. I don't feel well.
5471,20344,Take it easy.,Relax. Relax. Relax. Relax. Relax!,"Take it easy.. Calm down, good person.","Just stay cool, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry, don't worry.","Calm down, calm down, calm down."
5504,20379,Are you crazy?,Are you crazy?,Are you crazy?,Are you crazy?Are you crazy?Are you crazy?,Are you crazy? 的 Are you still going? 的 Do you have a bird?
5514,20392,Never mind.,It's okay. It's okay. It's okay. It's okay.,It doesn't matter.,"It doesn't matter, it doesn't matter, it doesn't matter, it doesn't matter, it doesn't matter, it doesn't matter, it doesn't matter.",It doesn't matter.
5520,20398,Forget it.,Forget it. Forget it. Forget it. Forget it! Forget it! Forget it! Forget it. Forget it. Forget it. Forget it. Forget it. Forget it. Forget it.,Let's not talk about it anymore!,"Forget about it, forget about it, forget about it, forget about it, forget about it, forget about it.",Forget it.
5526,20405,I'm exhausted.,I'm exhausted.,I'm exhausted. I'm exhausted. I'm exhausted.,"I'm tired, I'm exhausted, I'm tired, I'm sick, I'm sick, I'm sick, I'm sick, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired.",I'm exhausted. I'm broken. I'm very tired.
5823,20719,Look out!,"Watch out, watch out, watch out, watch out, watch out, watch out, watch out, watch out, watch out, watch out, watch out!",Look out!,Be careful!!!!!!!!!! Be careful!!!!!!! Be careful!!!!!!!! Be careful!!!!,Watch out!
6087,21003,I want something sweet.,I want something sweet.,I want something sweet.,I want something sweet.: I want something sweet.: I want something sweet.: I want something sweet.,I want something sweet. I want something sweet.
6174,21098,"Check, please.",Please check. Please check the bill. Please check the bill.,"Check, please.","Check it, please.The check, please.I'd like the check,please.I'd like the check,please.I'd like the check,please.I'd like the check,please.I'd like the check,please.","The invoice, please! - The invoice, please. - The invoice, please."
6197,21124,I feel cold.,I'm cold.,I'm cold. I'm cold.,I'm cold.,I'm cold. I'm freezing.
6326,21259,It's a piece of cake.,It's a piece of cake. It's a piece of cake. That's a piece of cake.,It's an easy piece of cake. It's a piece of cake.,"It's a piece of cake, it's very easy, it's pie, it's cake, it's cake, it's butter, it's cooked, it's cake.",It's a piece of cake.
6333,21267,Have fun.,Have fun! Enjoy yourself! Enjoy yourselves!,"Have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun!","Have fun, enjoy yourself, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun, have fun,",Have a good time! - Have a good time! - Celebration beautiful!
6711,21678,Do you remember?,Remember?,Do you remember?,Do you remember?: Do you remember?: Do you remember?: Do you remember?: Do you remember?: Do you remember?: Do you remember?: Do you remember?: Do you remember?,Remember?
6961,21938,I want to go abroad.,I want to go abroad.,I want to go abroad.,"I want to go abroad, I want to go abroad.",I want to go abroad. I want to go abroad.
7080,22061,Open up.,Open up!,"Open up, open up, open up, open up, open up, open up, open up, open up.",Open up!,Open up!
7136,22121,All aboard!,All aboard!,"Everybody, get in the car!",Everybody on board!,All men on board!
7137,22122,"Good morning, everybody.","Good morning, everyone. Good morning, everyone.","Good morning, everyone.","Hello, everybody.","Good morning, everybody."
8687,23749,Flowers bloom.,Flowers bloom.,The flowers are blooming.,The flowers hatch.,The flowers are blooming.
8818,23884,There is no smoke without fire.,"Where there's smoke, there's fire, there's no smoke without fire.",No smoke without fire.,There is no smoke without fire.,"Where there's smoke, there's fire, too."
8859,23929,Do you like singing?,Do you like singing?,Do you like to sing?,Do you like to sing?: Do you like to sing?: Do you like to sing?,Do you like to sing? Do you like to sing?
8883,23959,I'm free.,I'm free.,I'm free. I'm free. I'm a free man. I'm a free woman.,"I'm free, I'm available.",I'm free.
9000,24081,How is your family?,How's your family?,How is your family?,How's your family?: How's your family?: How's your family?:,How's your family? How's your family? How's your family? How's your family? How's your family?
9339,24435,Who do you think you are?,Who do you think you are?,Who do you think you are?,Who do you think you are?!Who do you think you are?!Who do you think you are?!,"Who do you think you are, anyway? Who do you think you are? Who do you think you are?"
9511,24616,Nothing happened.,Nothing happened. Nothing happened.,Nothing happened.,Nothing happened.,"Nothing's happened, nothing's happened."
9546,24657,Why didn't you come?,Why didn't you come?,Why didn't you come?,Why didn't you come?Why didn't you come?Why didn't you come?,Why didn't you come? Why didn't you come? Why didn't you come? Why didn't you come?
9561,24674,What did you buy?,What did you buy? What did you buy? What did you buy?,What did you buy?,What did you buy?,What did you buy?
9563,24676,What are you reading?,What are you reading? What are you reading? What are you reading?,What are you reading?,What do you read?What do you read?What do you read?What do you read?What do you read?What do you read?,What are you reading? What are you reading? What are you reading?
9583,24698,What are you thinking about?,What are you thinking?,What are you thinking?,"What are you thinking about, what are you thinking about, what are you thinking?",What are you thinking about? What are you thinking about? What are you thinking about? What are you thinking about? What are you thinking about? What are you thinking about?
9588,24706,What do you mean?,What do you mean? What do you mean? What do you mean?,What are you talking about?,"What do you mean, what do you mean, what do you mean, what do you mean, what do you mean?","What do you mean, what do you mean, what do you mean, what do you mean?"
9624,24759,What do you want to do?,What do you want to do?,What do you want to do?,What do you want to do?,What do you want to do? What do you want to do? What do you want to do?
9629,24765,What would you like to drink?,What would you like to drink?,What would you like to drink?,What do you want to drink?,What do you want to drink? What do you want to drink? What do you want to drink? What do you want to drink? What do you want to drink?
9732,24885,What a pity!,"That's too bad! Oh, that's too bad!",It's too bad!,It's a shame. It's a shame. It's a pity.,Too bad.
9795,24958,Why me?,Why me?,Why me?,Why me?,Why me?
9833,25000,What are you going to do?,What are you planning to do?,What are you going to do? 。 What are you going to do? • What are you going to do? • What are you going to do? • What are you going to do? • What are you going to do? • What are you going to do? • What are you going to do? • What are you going to do? • What are you going to do? • What are you going to do? • What are you going to do?,What are you gonna do?,What will you do? What will you do? What will you do?
9858,25029,What's new?,What's new?,What's new?,"What's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up, what's up?",What's new? What's new?
9915,25095,Can I help you?,Can I help you? Can I help you? Can I help you?,What can I do for you?,Can I help you?: Can I help you?: Can I help you?: Can I help you?: Can I help you?: Can I help you?,Can I help you? Can I help you? Can I help you? Can I help you? Can I help you? Can I help you? Can I help you?
9926,25106,What do you want me to do?,What do you want me to do?,What do you want me to do? • What do you want me to do? • What do you want me to do?,What do you want me to do?What do you want me to do?What do you want me to do?What do you want me to do?,What do you want me to do? What do you want me to do? What do you want me to do? What do you want me to do? What do you want me to do?
9976,25164,What's up?,What's going on? How's it going? What's going on?,What's up?. What's up?,"What's up, what's up, what's up, what's up, how's up, what's up, what's up, what's up?",What's going on? What's going on? How's it going? What's going on?
10031,25229,Would you like anything to eat?,Would you like something to eat?,Would you like something to eat?,Would you like to eat something?,Would you like something to eat?
10101,25313,Anything new?,Is there anything new?,Anything new?,What's up?: What's up?: Is there anything new?,Is there something new? Is there something new? Is there something new?
10274,25498,How should I know?,How should I know?,How would I know that?,How would I know?'And how can I know?,How should I know?
10279,25504,I'm a free man.,I'm a free man. I'm a free man. I'm a free man.,I'm a free man.,I'm a free man.,I'm a free man.
10284,25509,I'm a hero.,I'm a hero.,I am a hero.,I'm a hero.,I'm a hero.
10301,25528,Don't worry about me.,Don't worry about me. Don't worry about me. Don't worry about me.,Don't worry about me.,"Don't worry about me, don't worry about me, don't worry about me.",Don't worry about me. Don't worry about me. Don't worry about me. Don't worry about me. Don't worry about me.
10307,25534,Leave me alone!,Leave me alone!,"Leave me alone, leave me alone, leave me alone, leave me alone!",Leave me alone. Leave me alone. Leave me alone. Leave me alone. Leave me alone. Leave me alone. Leave me alone. Leave me alone.,Leave me alone!
10311,25538,Are you talking to me?,Are you talking to me?,Are you talking to me?. Are you talking to me?. Are you talking to me?,Are you talking to me?,Are you speaking to me?
10406,25640,The king abused his power.,The king took advantage of his power.,The king abused his power.,"The king abused his power, and the king abused his power.",The king abused his power. 的 The king abused his power.
10449,25684,Did you buy a round-trip ticket?,Did you buy a return ticket?,Did you buy a going-back ticket?,Did you buy a round-trip ticket?,Did you buy a back and forth ticket? - Did you buy a return ticket?
10682,25930,Action!,Action!,"Let's go, let's go, let's go, let's go, let's go, let's go!",Action!,Come on!
10706,25954,Draw a circle.,Draw a circle.,Draw a circle.,Draw a circle... Draw a circle!.. Draw a circle..,Draw a circle.
10903,26170,Can you speak English?,Do you speak English?,Do you speak English?,Do you know how to speak English?,Can you speak English?
10995,26277,English is an international language.,English is an international language.,English is an international language.,English is an international language.,English is an international language.
11099,26397,I wish I could swim.,I wish I could swim.,I wish I could swim.,I'd like to know how to swim.,I wish I could swim.
11336,26653,You are lying.,You're lying.,Don't lie to me!,"You're lying, you're lying, you're lying, you're lying, you're lying.",You're lying.
12245,27641,Leave me alone.,Leave me alone!,Leave me alone.,"Leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone, leave me alone!",Leave me alone!
12400,27808,He didn't say a word.,He didn't say a word.,He didn't say anything.,"He didn't say a word, he didn't say a word, she didn't say a word.",He didn't say a word. He didn't say a word. He didn't say a word. He didn't say a word. He didn't bring out a single word. He didn't speak a single word.
12586,28006,What did he say?,What did he say?,What did he say?,What did he say?,What did he say?
12698,28129,Wrong.,"Wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong, wrong,",Wrong.,Wrong.: Error!: Wrong!,Wrong.
12727,28159,My stomach hurts.,My stomach hurts.,My stomach hurts.,My stomach hurts.,I have a stomach pain. My stomach hurts. --I have a stomach pain. --My stomach hurts me. --I have a stomach pain.
13148,28607,Not bad.,It's been a long time.,Not bad.,Not bad.,"Not bad, not bad, not bad."
13494,28989,I like pizza very much.,I really like pizza.,I like pizza so much.,"I like pizza a lot, I love pizza.",I like pizza very much. I like pizza very much. I love pizza.
13554,29049,I am at home.,I'm home.,I'm home. I'm home.,I'm home.,I'm home. I'm home.
14079,29600,Linda loves chocolate.,Linda likes chocolate.,Linda likes chocolate very much.. Linda loves chocolate.,Linda loves chocolate.,"Linda likes chocolate, and Linda loves chocolate."
14090,29612,I am eating an apple.,I'm eating an apple.,I'll eat an apple.,I'm eating an apple.,I'm eating an apple. I'm eating an apple right now.
14108,29632,The apple fell from the tree.,The apple fell off the tree.,The apple fell out of the tree.,"The apple fell out of the tree, and the apple fell out of the tree.",The apple has fallen from the tree. The apple fell from the tree.
14125,29653,Lincoln died in 1865.,Lincoln died in 1865. Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.
14219,29749,I'm listening to the radio.,I'm listening to the radio.,I'm listening to the radio.,I'm listening to the radio.,I'm listening to the radio.
14232,29763,Turn on the radio.,Turn on the radio.,Could you turn on the radio?,Turn on the radio.,Turn on the radio.
14311,29846,The lion is the king of the jungle.,The lion is the king of the jungle.,The lion is the king of the jungle.,The lion is the king of the jungle.,The lion is the king of the jungle.
14382,29922,Listen carefully.,Listen to me carefully.,Listen carefully.,"Listen carefully, listen carefully, listen carefully, listen carefully, listen carefully, listen carefully, listen carefully, listen carefully, listen carefully, listen carefully, listen carefully, listen carefully, listen carefully, listen carefully, listen carefully, listen carefully, listen carefully, listen carefully, listen carefully, listen carefully, listen carefully, listen carefully.",Listen carefully.
14483,30030,School starts in September in Europe.,Schools start in Europe in September.,"In Europe, schools start in September.","The school starts in September in Europe, and the classes start in September in Europe.","In Europe, the school starts in September."
14506,30054,Sweet dreams!,Sleep well! Dream soft! Sweet dreams! Good night!,Sweet dreams!,Sweet dreams!,Sweet dreams! Dream beautiful! I wish you pleasant dreams! I wish you pleasant dreams!
14536,30085,Have a nice day.,Have a nice day!,Have a nice day.,Have a good day!!!! Have a good day!!!! I wish you a good day!,Have a nice day! 的 Have a nice day. 的 I wish you a nice day. 的 I wish you a nice day. 的 I wish you a nice day.
